# =================================================
# Errors
# =================================================

error                                  Errore
help_taskmanager_1_kbd                 Crea oggetti in Darwinia disegnando figure nel Riquadro attività. Tieni premuto il tasto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività.
help_taskmanager_2_kbd                 Per visualizzare un elenco di figure disponibili, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività e poi scorri verso sinistra con il mouse o premendo il tasto di direzione [KEYMENULEFT].
help_taskmanager_3_kbd                 Puoi svolgere fino a TRE attività alla volta. Puoi chiudere l'attività in esecuzione nel modo seguente: tieni premuto [KEYGESTURESTASKMANAGERDISPLAY], premi il tasto TAB per selezionare l'attività e poi premi CTRL-C.
help_taskmanager_3_xin                 Puoi svolgere fino a TRE attività alla volta. Puoi chiudere le attività in corso.
help_taskmanager_4_kbd                 Per selezionare un'attività esistente, tieni premuto il tasto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività e poi col tasto TAB scorri tra le icone e seleziona quella che rappresenta l'attività desiderata.
help_showchatlog_kbd                   Per leggere l'archivio di ciò che è stato elencato finora, tieni premuto il tasto [KEYGESTURESCHATLOG].
help_taskmanager_1_icons_kbd           Per creare oggetti in Darwinia, devi aprire il Riquadro attività. Tieni premuto [KEYICONSTASKMANAGERDISPLAY] per accedervi.
help_taskmanager_1_icons_xin           Per creare oggetti in Darwinia, devi aprire il Riquadro attività.
help_taskmanager_2_icons_kbd           Puoi visualizzare un elenco di programmi disponibili tenendo premuto [KEYICONSTASKMANAGERDISPLAY]. Fai clic su uno di essi per creare un nuovo programma.
help_taskmanager_3_icons_kbd           Puoi svolgere fino a TRE attività alla volta. Puoi chiudere l'attività in corso premendo [KEYICONSTASKMANAGERENDTASK] o facendo clic sull'icona di eliminazione nel Riquadro attività.
help_taskmanager_3_icons_xin           Puoi svolgere fino a TRE attività alla volta.
help_taskmanager_4_icons_kbd           Per selezionare un'attività esistente, tieni premuto il tasto [KEYICONSTASKMANAGERDISPLAY] e fai clic sull'icona corrispondente, oppure premi un tasto numerico per selezionare le attività.
help_showchatlog_icons_kbd             Per leggere l'archivio di ciò che è stato elencato finora, tieni premuto il tasto [KEYICONSCHATLOG].

help_deselect_kbd                      Per deselezionare l'oggetto attuale, premi [KEYUNITDESELECT].
help_squad_summon_1_kbd                Per creare un plotone, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi disegnane la figura.
help_squad_summon_1_icons_kbd          Per creare un plotone, tieni premuto [KEYICONSTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi fai clic sull'icona del plotone.
help_squad_summon_2_kbd                Per posizionare il tuo plotone, fai clic su una delle aree iniziali, ora evidenziate.
help_squad_summon_2_xin                Seleziona una delle aree iniziali, ora evidenziate, per creare un plotone nel mondo di gioco.
help_squad_use_kbd                     Fai clic con il pulsante sinistro del mouse per muovere il plotone. Fai clic con il pulsante destro per usare i laser. Premi [KEYUNITDESELECT] per deselezionarlo. I plotoni non possono muoversi in acqua.
help_squad_use_1mb_kbd                 Fai clic per spostare il plotone. Fai clic e tieni premuto per usare i laser; premi [KEYUNITDESELECT] per deselezionarlo.
help_squad_grenade_kbd                 Puoi lanciare una granata facendo clic con il pulsante sinistro del mouse; utilizza invece il pulsante destro per usare i laser.
help_squad_grenade_1mb_kbd             Puoi lanciare una granata premendo il tasto Maiusc.
help_squad_setgrenade                  Per passare alle granate, disegnane la figura.
help_squad_setrocket                   Per passare ai razzi, disegnane la figura.
help_squad_setairstrike                Per passare all'attacco aereo, disegnane la figura.
help_squad_setgrenade_icons_kbd        Per passare alle granate, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic sull'icona Granata, vicino al tuo plotone.
help_squad_setgrenade_icons_xin        Per passare alle granate, accedi al Riquadro attività e seleziona l'icona Granata accanto al plotone.
help_squad_setrocket_icons_kbd         Per passare ai razzi, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic sull'icona Razzo, vicino al tuo plotone.
help_squad_setrocket_icons_xin         Per passare ai razzi, accedi al Riquadro attività e seleziona l'icona Razzo accanto al plotone.
help_squad_setairstrike_icons_kbd      Per passare all'attacco aereo, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic sull'icona Attacco aereo, vicino al tuo plotone.
help_squad_setairstrike_icons_xin      Per passare all'attacco aereo, accedi al Riquadro attività e seleziona l'icona Attacco aereo accanto al plotone.


help_building_reprogram                Devi riprogrammare questo edificio prima di poterlo riutilizzare; per farlo, crea un ingegnere e spostalo accanto alla torre di controllo più vicina.
help_engineer_summon_kbd               Il compito degli ingegneri è raccogliere le anime dei morti e riprogrammare edifici. Tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] e disegna questa figura per convocare un ingegnere.
help_engineer_summon_xin               Il compito degli ingegneri è raccogliere le anime dei morti e riprogrammare edifici. Per convocare un ingegnere, accedi al Riquadro attività e disegna questa figura.
help_engineer_summon_icons_kbd         Il compito degli ingegneri è raccogliere le anime dei morti e riprogrammare edifici. Tieni premuto [KEYICONSTASKMANAGERDISPLAY] e fai clic sull'icona dell'ingegnere per convocarlo.
help_engineer_summon_icons_xin         Il compito degli ingegneri è raccogliere le anime dei morti e riprogrammare edifici. Per convocare un ingegnere, accedi al Riquadro attività e seleziona l'icona relativa.
help_engineer_summon_2_kbd             Per creare il tuo ingegnere, fai clic col pulsante sinistro del mouse su una delle aree iniziali, ora evidenziate, oppure premi CTRL-C se desideri terminare il programma dell'ingegnere.
help_engineer_summon_2_xin             Seleziona una delle aree iniziali, ora evidenziate, per creare un ingegnere o per terminarne il programma.
help_engineer_summon_2_icons_kbd       Per creare il tuo ingegnere, fai clic col pulsante sinistro del mouse su una delle aree iniziali, ora evidenziate, oppure premi CTRL-C se desideri terminare il programma dell'ingegnere.
help_engineer_summon_2_icons_xin       Seleziona una delle aree iniziali, ora evidenziate, per creare un ingegnere o per terminarne il programma.
help_engineer_use_kbd                  Gli ingegneri svolgeranno ogni attività necessaria nei dintorni, come raccogliere anime o riprogrammare edifici. Fai clic con il pulsante sinistro del mouse per spostarli vicino alla loro attività.
help_engineer_use_xin                  Gli ingegneri svolgeranno ogni attività necessaria nei dintorni, come raccogliere anime o riprogrammare edifici. Spostali vicino alla loro attività.

help_officer_create_kbd                I Darwiniani comuni possono impartire ordini ad altri Darwiniani, una volta promossi al grado di ufficiali. Disegna la figura dell'ufficiale e fai clic su un Darwiniano.
help_officer_create_xin                I Darwiniani comuni possono impartire ordini ad altri Darwiniani, una volta promossi al grado di ufficiali. Disegna la figura dell'ufficiale e seleziona un Darwiniano.
help_officer_create_icons_kbd          I Darwiniani comuni possono impartire ordini ad altri Darwiniani, una volta promossi al grado di ufficiali. Accedi al Riquadro attività, fai clic sull'icona Ufficiale e quindi sul Darwiniano.
help_officer_create_icons_xin          I Darwiniani comuni possono impartire ordini ad altri Darwiniani, una volta promossi al grado di ufficiali. Accedi al Riquadro attività, seleziona l'icona Ufficiale e quindi il Darwiniano.
help_officer_create_2_kbd              Fai clic su un Darwiniano per promuoverlo al grado di ufficiale, oppure premi CTRL-C per terminare il programma dell'ufficiale.
help_officer_create_2_xin              Seleziona un Darwiniano per promuoverlo al grado di ufficiale, o per terminare il programma dell'ufficiale.
help_officer_create_2_icons_kbd        Fai clic su un Darwiniano per promuoverlo al grado di ufficiale, oppure premi [KEYICONSTASKMANAGERENDTASK] per terminare il programma dell'ufficiale.
help_officer_create_2_icons_xin        Seleziona un Darwiniano per promuoverlo al grado di ufficiale, o per terminare il programma dell'ufficiale.
help_officer_use_kbd                   Puoi spostare un ufficiale facendo clic col pulsante sinistro del mouse. Fai clic col pulsante destro sul terreno per impartire ordini di MOVIMENTO agli altri Darwiniani. Fai clic con il pulsante destro del mouse vicino all'ufficiale per annullare i suoi ordini.
help_officer_use_1mb_kbd               Puoi spostare un ufficiale facendo clic col pulsante sinistro del mouse. Tieni premuto il pulsante destro sul terreno per impartire ordini di MOVIMENTO agli altri Darwiniani. Tieni premuto il pulsante del mouse vicino all'ufficiale per annullare i suoi ordini.
help_officer_toggle_kbd                Per scorrere tutti gli ordini disponibili, fai clic col pulsante destro del mouse vicino all'ufficiale.
help_officer_toggle_1mb_kbd            Per scorrere tutti gli ordini disponibili, tieni premuto il pulsante del mouse vicino all'ufficiale.

help_showobjectives_kbd                Per visualizzare un elenco degli obiettivi, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi scorri verso destra muovendo il mouse verso il lato destro dello schermo o premendo [KEYCAMERARIGHT].
help_showobjectives_xin                Per visualizzare un elenco degli obiettivi, accedi al Riquadro attività e scorrilo verso destra.
help_showobjectives_icons_kbd          Per visualizzare un elenco degli obiettivi, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e scorri verso il basso muovendo il mouse verso il fondo dello schermo o premendo [KEYMENUDOWN].
help_showobjectives_icons_xin          Per visualizzare un elenco degli obiettivi, accedi al Riquadro attività e scorrilo verso il basso.
help_armour_summon_kbd                 Fai clic su una delle aree iniziali, ora evidenziate, per creare il tuo mezzo corazzato. Un mezzo corazzato può essere creato solo vicino alle porte di passaggio che controlli.
help_armour_summon_xin                 Seleziona una delle aree iniziali, ora evidenziate, per creare il tuo mezzo corazzato. Un mezzo corazzato può essere creato solo vicino alle porte di passaggio che controlli.
help_armour_use_kbd                    Fai clic con il pulsante sinistro del mouse per muovere il tuo mezzo corazzato. Fai clic col destro vicino al corazzato per attivare/disattivare il caricamento e lo scaricamento dei Darwiniani. Fai clic col destro sul terreno per schierare il tuo corazzato come cannone da battaglia.
help_armour_use_1mb_kbd                Fai clic con il pulsante sinistro del mouse per muovere il tuo mezzo corazzato. Tieni premuto il pulsante vicino al corazzato per attivare/disattivare il caricamento e lo scaricamento dei Darwiniani. Tieni premuto il pulsante sul terreno per schierare il tuo corazzato come cannone da battaglia.

help_radardish_1_kbd                   Puoi usare il radar per effettuare dei trasferimenti verso altri radar. Fai clic su ciascuno di essi per controllarli.
help_radardish_1_xin                   Puoi usare il radar per effettuare dei trasferimenti verso altri radar. Selezionalo per controllarlo.
help_radardish_2_kbd                   Puoi direzionare il radar semplicemente facendo clic sul radar verso cui intendi spostarti. Il radar ricevente dovrà essere orientato verso di te. Premi [KEYUNITDESELECT] per deselezionare il radar.
help_radardish_2_xin                   Puoi direzionare il radar semplicemente selezionando il radar verso cui intendi spostarti. Il radar ricevente dovrà essere orientato verso di te.
help_incubator                         Questa struttura è un'incubatrice: puoi usare ingegneri per trasportarvi le anime, che poi rinasceranno come nuovi Darwiniani.
help_trunkport                         Questa è una porta di passaggio: funziona come punto di trasferimento tra due differenti settori di Darwinia.
help_refinery                          Questa è la raffineria principale; fa funzionare l'intero sistema di miniere su queste isole. Per renderla operativa, dovrai scortare alcuni Darwiniani fin qui.
help_mine                              Questa struttura è una miniera. Puoi estrarre poligoni grezzi dai fianchi delle colline e metterli nei carrelli che passano di lì. Sono necessari molti Darwiniani per farla funzionare.
help_anthill                           Disgustoso! Quest'area è infestata da formiche! Questo sembra essere uno dei loro nidi. Alcune granate ben piazzate dovrebbero risolvere la situazione.
help_controltower                      Questa è la torre di controllo. Invia uno degli ingegneri per riprogrammarla e potrai servirti dell'edificio a cui essa è collegata.
help_researchitem                      Hai trovato una parte dei dati della mia ricerca! Perfetto. Crea alcuni ingegneri nelle vicinanze ed essi li caricheranno nel mio sistema. Speriamo che servano a qualcosa.
help_gunturret_1_kbd                   Dei Darwiniani devono manovrare questo cannone da battaglia per renderlo operativo. Spareranno automaticamente a ogni nemico nelle vicinanze; puoi tuttavia controllarlo personalmente facendo clic su di esso.
help_gunturret_1_xin                   Dei Darwiniani devono manovrare questo cannone da battaglia per renderlo operativo. Spareranno automaticamente a ogni nemico nelle vicinanze; puoi tuttavia controllarlo personalmente selezionandolo.
help_gunturret_2_kbd                   Questo cannone da battaglia segue il tuo cursore. Premi [KEYUNITDESELECT] per deselezionarlo.
help_gunturret_2_1mb_kbd               Questo cannone da battaglia segue il tuo cursore. Tieni premuto per sparare. Premi [KEYUNITDESELECT] per deselezionarlo.

help_pressh_kbd                        Premi [KEYSEPULVEDAHELP] per chiedere aiuto
help_keyboardshortcut                  Tasti di scelta rapida
help_explainobjective                  Spiega questo obiettivo

language_english                       Inglese
language_french                        Francese
language_german                        Tedesco
language_italian                       Italiano
language_spanish                       Spagnolo


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 Tipo non valido
entityname_engineer                    Ingegnere
entityname_virii                       Virii
entityname_squadie                     Plotone
entityname_egg                         Uovo
entityname_sporegenerator              Generatore di spore
entityname_centipede                   Centipede
entityname_spaceinvader                Invasore
entityname_spider                      Ragno
entityname_darwinian                   Darwiniano
entityname_officer                     Ufficiale
entityname_armyant                     Esercito di formiche
entityname_armour                      Mezzo corazzato
entityname_souldestroyer               Distruttore di anime
entityname_triffidegg                  Uovo di trifido
entityname_ai                          IA
entityname_lander                      Lander
entityname_lasertroop                  Truppe laser
entityname_tripod                      Tripode


# ================================================
# Engineer states
# ================================================

engineer_idle                          inattivo
engineer_towaypoint                    movimento
engineer_tospirit                      raccogli
engineer_toincubator                   torna
engineer_reprogramming                 riprogramma
engineer_researching                   ricerca
engineer_bridge                        ponte

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       ESEGUIRE IL PROGRAMMA
taskmanager_msg1                       ERRORE DI SINTASSI
taskmanager_msg2                       PROGRAMMA TERMINATO
taskmanager_msg3                       ACQUISITO
taskmanager_msg4                       POTENZIATO
taskmanager_msg5                       OBIETTIVI COMPLETATI
taskmanager_mapeditor                  Editor di mappe
taskmanager_accessallareas             Accesso a tutti i settori

taskmanager_taskmanager                RIQUADRO ATTIVITÀ
taskmanager_research                   RICERCA
taskmanager_objectives                 OBIETTIVI
taskmanager_primarys                   OBIETTIVI PRINCIPALI
taskmanager_secondarys                 OBIETTIVI SECONDARI
taskmanager_complete                   COMPLETATO
taskmanager_incomplete                 NON COMPLETATO


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  Non puoi eseguire altri programmi. Prova a chiuderne alcuni in questo modo: tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi scorri tra i vecchi programmi col tasto TAB e premi CTRL-C.
task_manager_full_xin                  Non puoi eseguire altri programmi. Prova a chiuderne alcuni.
task_manager_full_icons_kbd            Non puoi eseguire altri programmi. Prova a chiuderne alcuni tenendo premuto [KEYICONSTASKMANAGERDISPLAY] per liberare la memoria e poi fai clic sulle icone di chiusura.
task_manager_full_icons_xin            Non puoi eseguire altri programmi.
task_manager_targetfirst_kbd           Non puoi creare altri programmi finché non hai posizionato quello esistente: fai clic su un'area iniziale per posizionarlo.
task_manager_targetfirst_xin           Non puoi creare altri programmi finché non hai posizionato quello esistente: seleziona un'area iniziale per posizionarlo.
task_manager_needsquadfirst            Devi creare un plotone prima di scegliere le armi.
officer_notwalkable                    Mi dispiace, i Darwiniani non sono abbastanza astuti da trovare la strada da soli; devono vedere dove stanno andando.
armour_cantconvert                     Il pendio è troppo ripido... Puoi posizionare i cannoni da battaglia solo su un territorio pianeggiante.

objective_capture_trunk                Attiva la porta di passaggio
objective_research                     Raccogli i dati di ricerca
objective_capturetrunk_1               Ora devi aprire questa porta di passaggio per me.
objective_capturetrunk_2               C'è una torre di controllo nelle vicinanze: manda uno dei tuoi ingegneri per riprogrammarla.
objective_capturetrunk_3               Una volta riprogrammata, potrai disporre della zona a cui essa è collegata.
objective_research_1                   Posso vedere alcuni dei miei dati di ricerca da lontano. Voglio che tu vada a recuperarli.
objective_research_2                   Crea un ingegnere nelle vicinanze e lui scaricherà i dati di ricerca sul mio computer, sperando che siano utili per sconfiggere l'infezione virale.

building_captured                      Gli ingegneri hanno finito di riprogrammare un edificio.
primaryObjectivesComplete_kbd          Ottimo lavoro! A quanto pare, hai portato a termine tutti gli obiettivi principali. Premi [KEYMENUESCAPE] per lasciare questa zona, quando lo desideri.
primaryObjectivesComplete_xin          Ottimo lavoro! A quanto pare, hai portato a termine tutti gli obiettivi principali.
primaryObjectiveComplete               Obiettivo principale completato.
primaryObjectiveFail_kbd               A quanto pare, non sei riuscito a completare la missione: ritenta! Premi [KEYMENUESCAPE].
primaryObjectiveFail_xin               A quanto pare, non sei riuscito a completare la missione: ritenta!

privatedemo1                           BUILD PRE-ALPHA INTERNA PER QUALCUNO
privatedemo2                           > STRETTAMENTE CONFIDENZIALE
privatedemo3_kbd                       > Premi [KEYCREATESCREENSHOT] per salvare un'immagine

sepulveda_pressreturn_kbd              (premi [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (premi [KEYSKIPMESSAGE] per saltare il filmato)

objective_currentcount                 Conteggio corrente
objective_totalinfection               Infezione totale
objective_output                       produzione
objective_refined                      raffinato
objective_fuelpressure                 Pressione carburante
objective_fuel                         Carburante
objective_passengers                   Passeggeri
objective_redpopulation                popolazione rossa
objective_throughput                   produttività


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwiniani
researchname_squad                     Plotone
researchname_engineer                  Ingegnere
researchname_laser                     Laser
researchname_grenade                   Granata
researchname_rocket                    Razzo
researchname_airstrike                 Attacco aereo
researchname_armour                    Mezzo corazzato
researchname_taskmanager               Riquadro attività
researchname_officer                   Ufficiale
researchname_controller                Controllore

research_notyetavailable               Non ho ancora completato le ricerche su quel programma, dovrai attendere prima di poterlo utilizzare.
research_nomorepossible                Non credo di poter migliorare ulteriormente questo programma. Penso che dovresti assegnarmi un altro progetto su cui lavorare.

research_squad                         Lavorerò per migliorare il programma del plotone. Dovrei essere in grado di accrescere il numero di soldati.
# research_squad_v1                  Unused
research_squad_v2                      Ho potenziato il programma del plotone che stai utilizzando. Ora può avere quattro membri.
research_squad_v3                      Ho apportato qualche miglioramento al programma del plotone... Ora sarà costituito da 5 membri.
research_squad_v4                      Ho fatto il possibile per migliorare il programma del plotone: ora è composto da 6 membri. Non credo di poter fare di meglio.

research_laser                         Proverò a migliorare il programma dei laser per te. Spero di poterne accrescere la portata.
# research_laser_v1                  Unused
research_laser_v2                      Ho migliorato i laser. Dovrebbero avere una gittata maggiore ora.
research_laser_v3                      Ho aumentato ulteriormente la gittata dei laser.
research_laser_v4                      Questi laser sono sorprendenti ora. Hanno una gittata tre volte superiore a quella originaria. Credo di aver terminato con questo programma.

research_grenade                       Lavorerò sul programma delle granate. Dovrei essere in grado di accrescerne la portata.
research_grenade_v1_kbd                Hai trovato i miei dati di ricerca sulle granate! Fantastico! Mentre usi i laser del tuo plotone, premi il pulsante sinistro del mouse per lanciare una granata.
research_grenade_v1_xin                Hai trovato i miei dati di ricerca sulle granate! Fantastico! Ora il tuo plotone può lanciare granate.
research_grenade_v1_1mb_kbd            Hai trovato i miei dati di ricerca sulle granate! Fantastico! Premi Maiusc mentre fai clic per lanciare una granata.
research_grenade_v2                    Ho aumentato la portata del programma delle granate.
research_grenade_v3                    Ho incrementato ulteriormente la portata del programma delle granate.
research_grenade_v4                    Fatto, ho terminato con le granate. La gittata è stata potenziata al massimo.

research_rocket                        Lavorerò sui razzi. Spero di poterne aumentare la portata massima.
research_rocket_v1_kbd                 Magnifico! Hai recuperato il programma dei razzi. Puoi selezionare quest'arma con la relativa figura e lanciarla facendo clic col pulsante sinistro del mouse.
research_rocket_v1_xin                 Magnifico! Hai recuperato il programma dei razzi. Puoi selezionare quest'arma con la relativa figura. Ora il tuo plotone può lanciare razzi.

research_rocket_v1_icons_kbd           Magnifico! Hai recuperato il programma dei razzi. Puoi selezionare quest'arma facendo clic sull'icona Razzo, vicino al tuo plotone, nel Riquadro attività. Mentre usi i laser del tuo plotone, fai clic col pulsante sinistro del mouse per lanciare un razzo.
research_rocket_v1_icons_xin           Magnifico! Hai recuperato il programma dei razzi. Puoi selezionare quest'arma usando l'icona Razzo, vicino al tuo plotone, nel Riquadro attività. Ora il tuo plotone può lanciare razzi.
research_rocket_v1_1mb_kbd             Magnifico! Hai recuperato il programma dei razzi. Puoi selezionare quest'arma con la relativa figura e lanciarla premendo Maiusc mentre fai clic.
research_rocket_v2                     Il razzo dispone ora di una portata superiore.
research_rocket_v3                     Ho fatto in modo di aumentare la portata del razzo.
research_rocket_v4                     La portata del razzo è al massimo ora.

research_airstrike                     Proverò a migliorare l'attacco aereo per te.
research_airstrike_v1                  Ma è fantastico, hai trovato il programma dell'attacco aereo! Selezionalo come arma per il tuo plotone disegnandolo, poi lancia un segnale granata per indicare al programma dove bombardare.
research_airstrike_v1_icons_kbd        Ma è fantastico, hai trovato il programma dell'attacco aereo! Fai clic sull'icona Attacco aereo nel Riquadro attività per selezionare questa arma, poi lancia un segnale granata per indicare al programma dove bombardare.
research_airstrike_v1_icons_xin        Ma è fantastico, hai trovato il programma dell'attacco aereo! Seleziona l'icona Attacco aereo nel Riquadro attività per scegliere questa arma, poi lancia un segnale granata per indicare al programma dove bombardare.
research_airstrike_v2                  Ho migliorato il programma dell'attacco aereo. Ogni segnale granata ordinerà a due invasori di sganciare le bombe.
research_airstrike_v3                  Ho aggiunto un altro invasore a ciascuna unità di attacco aereo.
research_airstrike_v4                  Ora ci saranno quattro invasori per ogni segnale di attacco aereo.

research_taskmanager                   Lavorerò per migliorare il Riquadro attività per te. Apportando qualche modifica, si dovrebbero poter eseguire più programmi alla volta.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
research_taskmanager_v3                Ho apportato alcune modifiche al Riquadro attività. Ora puoi eseguire fino a quattro programmi contemporaneamente.
research_taskmanager_v4                Ho potenziato il Riquadro attività: ora puoi eseguire fino a cinque programmi alla volta. Il sistema ha raggiunto i limiti delle sue potenzialità: non credo di poterlo migliorare ulteriormente.

research_darwinian                     Proverò a migliorare il programma base dei Darwiniani. Dovrei essere in grado di assegnare loro delle armi utili per difendersi.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  Ho potenziato i Darwiniani, così ora possono usare i laser! Questo dovrebbe aiutarli a difendersi dagli attacchi virali.
research_darwinian_v4                  Ho dotato i Darwiniani di granate: questa prospettiva fa un po' paura, ma devono avere la possibilità di difendersi contro nemici più forti. Ho fatto tutto ciò che potevo con loro.

research_engineer                      Lavorerò per migliorare gli ingegneri. Penso di poter aumentare il numero di anime trasportabili.
# research_engineer_v1               Unused
research_engineer_v2                   Ora gli ingegneri possono trasportare fino a 15 anime.
research_engineer_v3                   Ora gli ingegneri possono trasportare fino a 25 anime.
research_engineer_v4                   Ora gli ingegneri possono trasportare fino a 30 anime. Ho finito di lavorare sugli ingegneri.

research_armour                        Lavorerò un po' sul programma dei mezzi corazzati. Penso di poter aumentare la loro capienza e forse anche la gittata del cannone da battaglia.
# research_armour_v1                 Unused
research_armour_v2                     Ho potenziato il programma dei mezzi corazzati. Ora possono trasportare fino a 20 Darwiniani. Ho aumentato anche la gittata dei cannoni da battaglia.
