# =================================================
# Errors
# =================================================

error                                  Error
help_camera_zoom_kbd                   Si dispones de un botón central en el ratón, púlsalo para acercar la cámara. También es posible utilizar la tecla [KEYCAMERAZOOM].
help_camera_movefast_kbd               Puedes conseguir que la cámara se desplace a más velocidad manteniendo pulsada la tecla [KEYCAMERASPEEDUP] mientras te estás moviendo.
help_taskmanager_1_kbd                 Para crear cosas en Darwinia se trazan gestos en el Administrador de Tareas. Para acceder a él, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY].
help_taskmanager_2_kbd                 Para ver una lista de los gestos que se encuentran disponibles, mantén pulsada la tecla [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas y desplázate hacia la izquierda moviendo el ratón hacia esa dirección de la pantalla, o pulsando [KEYMENULEFT].
help_taskmanager_3_kbd                 Sólo puedes ejecutar hasta TRES tareas al mismo tiempo. Es posible cerrar las tareas existentes manteniendo pulsada la tecla [KEYGESTURESTASKMANAGERDISPLAY], utilizando la tecla de tabulación hasta llegar a la tarea, y presionando CTRL-C.
help_taskmanager_3_xin                 Sólo puedes ejecutar hasta TRES tareas al mismo tiempo. Puedes cerrar tareas existentes.
help_taskmanager_4_kbd                 Para seleccionar de nuevo una tarea existente, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para así acceder al Administrador de Tareas y pulsa la tecla de tabulación hasta llegar al icono que la representa.
help_showchatlog_kbd                   Para leer un registro de todo lo que he dicho, mantén pulsada la tecla [KEYGESTURESCHATLOG].
help_taskmanager_1_icons_kbd           Para crear cosas en Darwinia es necesario activar el Administrador de Tareas. Para acceder a él, mantén pulsada la tecla [KEYICONSTASKMANAGERDISPLAY].
help_taskmanager_1_icons_xin           Para crear cosas en Darwinia es necesario activar el Administrador de Tareas.
help_taskmanager_2_icons_kbd           Puedes observar una lista de los programas disponibles manteniendo [KEYICONSTASKMANAGERDISPLAY] pulsada. Haz clic en cualquiera de ellos para crear un nuevo programa.
help_taskmanager_3_icons_kbd           Sólo puedes ejecutar hasta TRES tareas al mismo tiempo. Es posible cerrar la tarea actual pulsando [KEYICONSTASKMANAGERENDTASK], o haciendo clic en el icono de borrar de la misma situado dentro del Administrador de Tareas.
help_taskmanager_3_icons_xin           Sólo puedes ejecutar hasta TRES tareas al mismo tiempo.
help_taskmanager_4_icons_kbd           Para seleccionar de nuevo una tarea existente, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y haz clic en su icono. También puedes utilizar las teclas numéricas para seleccionar tareas.
help_showchatlog_icons_kbd             Para leer un registro de todo lo que he dicho, mantén pulsada la tecla [KEYICONSCHATLOG].

help_deselect_kbd                      Para dejar de seleccionar el objeto actual pulsa [KEYUNITDESELECT]
help_squad_summon_1_kbd                Para crear una Escuadra, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de tareas, y a continuación traza este gesto.
help_squad_summon_1_icons_kbd          Para crear una Escuadra, mantén pulsada [KEYICONSTASKMANAGERDISPLAY] para acceder al Administrador de tareas, y a continuación pulsa en el icono que la representa.
help_squad_summon_2_kbd                Haz clic en una de las zonas de inicio que aparecen ahora destacadas para crear tu escuadra dentro del mundo.
help_squad_summon_2_xin                Selecciona una de las zonas de inicio que aparecen ahora destacadas para crear tu escuadra dentro del mundo.
help_squad_use_kbd                     Pulsa con el Botón Izquierdo para mover la escuadra. Haz clic con el Botón Derecho para que disparen con sus láseres. Pulsa [KEYUNITDESELECT] para dejar de seleccionarla. Las escuadras no pueden entrar dentro del agua.
help_squad_use_1mb_kbd                 Haz clic para mover la escuadra. Mantén pulsado el botón para que disparen sus láseres. Pulsa [KEYUNITDESELECT] para dejar de seleccionarla.
help_squad_grenade_kbd                 Puedes lanzar una granada pulsando el Botón Izquierdo del Ratón al mismo tiempo que disparas los láseres con el Botón Derecho.
help_squad_grenade_1mb_kbd             Puedes lanzar una granada pulsando mayúsculas y el botón del ratón.
help_squad_setgrenade                  Para cambiar el armamento a Granada, traza el gesto de Granada.
help_squad_setrocket                   Para cambiar el armamento a Misil, traza el gesto de Misil.
help_squad_setairstrike                Para cambiar el armamento a Ataque Aéreo, traza el gesto de Ataque aéreo.
help_squad_setgrenade_icons_kbd        Para cambiar el armamento a Granada, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y haz clic en el icono de este tipo de arma que aparece junto a tu Escuadra.
help_squad_setgrenade_icons_xin        Para cambiar el armamento a Granada, abre el Administrador de Tareas y selecciona el icono de este tipo de arma que aparece junto a tu Escuadra.
help_squad_setrocket_icons_kbd         Para cambiar a el armamento a Misil, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y haz clic en el icono de este tipo de arma que aparece junto a tu Escuadra.
help_squad_setrocket_icons_xin         Para cambiar el armamento a Misil, abre el Administrador de Tareas y selecciona el icono de este tipo de arma que aparece junto a tu Escuadra.
help_squad_setairstrike_icons_kbd      Para cambiar el armamento a Ataque Aéreo, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y haz clic en el icono de este tipo de arma que aparece junto a tu Escuadra.
help_squad_setairstrike_icons_xin      Para cambiar el armamento a Ataque Aéreo, abre el Administrador de Tareas y selecciona el icono de este tipo de arma que aparece junto a tu Escuadra.


help_building_reprogram                Este edificio ha de ser reprogramado antes de que pueda utilizarse. Para hacerlo, tienes que crear un Ingeniero y conducirlo hasta el interior del radio de acción de la Torre de Control cercana.
help_engineer_summon_kbd               Los ingenieros se utilizan para recoger espíritus muertos y reprogramar edificios. Mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] y traza este gesto para convocar a un Ingeniero.
help_engineer_summon_xin               Los ingenieros se utilizan para recoger espíritus muertos y reprogramar edificios. Abre el Administrador de Tareas y traza este gesto para convocar a un Ingeniero.
help_engineer_summon_icons_kbd         Los ingenieros se utilizan para recoger espíritus muertos, y reprogramar edificios. Mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y presiona en el icono de esta unidad para convocar a uno.
help_engineer_summon_icons_xin         Los ingenieros se utilizan para recoger espíritus muertos y reprogramar edificios. Abre el Administrador de Tareas y selecciona el icono de esta unidad para convocar a uno.
help_engineer_summon_2_kbd             Haz clic en una de las zonas de inicio que aparecen ahora destacadas para crear a tu Ingeniero. También puedes pulsar CTRL-C para finalizar el programa Ingeniero.
help_engineer_summon_2_xin             Selecciona una de las zonas de inicio que aparecen ahora destacadas para crear tu Ingeniero. También puedes finalizar el programa Ingeniero.
help_engineer_summon_2_icons_kbd       Haz clic dentro de una de las zonas de inicio que aparecen ahora destacadas para crear tu Ingeniero. También puedes pulsar CTRL-C para finalizar el programa Ingeniero.
help_engineer_summon_2_icons_xin       Selecciona una de las zonas de inicio que aparecen ahora destacadas para crear tu Ingeniero. También puedes finalizar el programa Ingeniero.
help_engineer_use_kbd                  Los ingenieros realizarán de forma automática todo lo que se necesite en los alrededores, como por ejemplo recoger espíritus muertos o reprogramar edificios. Pulsa con el Botón Izquierdo para conducirlos hasta las cercanías de una tarea.
help_engineer_use_xin                  Los ingenieros realizarán de forma automática todo lo que se necesite en los alrededores, como por ejemplo recoger espíritus muertos o reprogramar edificios. Para ello condúcelos hasta las cercanías de una tarea.

help_officer_create_kbd                Puedes utilizar darwinianos comunes para dar órdenes a otros darwinianos de los alrededores, si los asciendes a oficiales. Traza este gesto para Oficial y haz clic en un darwiniano.
help_officer_create_xin                Puedes utilizar darwinianos comunes para dar órdenes a otros darwinianos de los alrededores, si los asciendes a oficiales. Traza este gesto para Oficial y selecciona a un darwiniano.
help_officer_create_icons_kbd          Puedes utilizar darwinianos comunes para dar órdenes a otros darwinianos de los alrededores, si los asciendes a oficiales. Activa el Administrador de Tareas y pulsa en el icono de Oficial, y a continuación haz clic sobre un darwiniano.
help_officer_create_icons_xin          Puedes utilizar darwinianos comunes para dar órdenes a otros darwinianos de los alrededores, si los asciendes a oficiales. Activa el Administrador de Tareas y selecciona el icono de Oficial, y a continuación selecciona a un darwiniano.
help_officer_create_2_kbd              Haz clic en un darwiniano para ascenderlo a Oficial, o pulsa CTRL-C para finalizar el programa Oficial.
help_officer_create_2_xin              Selecciona a un darwiniano para ascenderlo a Oficial, o finaliza el programa Oficial.
help_officer_create_2_icons_kbd        Haz clic en un darwiniano para ascenderlo a Oficial, o pulsa [KEYICONSTASKMANAGERENDTASK] para finalizar el programa Oficial.
help_officer_create_2_icons_xin        Selecciona a un darwiniano para ascenderlo a Oficial, o finaliza el programa Oficial.
help_officer_use_kbd                   Puedes mover a un oficial pulsando con el Botón Izquierdo. Haz clic con el botón derecho en el terreno para establecer las órdenes de IR A que deben seguir otros darwinianos. Pulsa con el botón derecho cerca del Oficial para cancelar sus órdenes.
help_officer_use_1mb_kbd               Puedes mover a un oficial haciendo clic. Mantén pulsado el botón sobre el terreno para establecer las órdenes de IR A que deben seguir otros darwinianos. Mantén pulsado el botón cerca del Oficial para cancelar sus órdenes.
help_officer_toggle_kbd                Para pasar de una orden disponible a otra, pulsa con el Botón derecho cerca del oficial.
help_officer_toggle_1mb_kbd            Para pasar de una orden disponible a otra, mantén pulsado el botón cerca del oficial.

help_showobjectives_kbd                Para ver una lista de objetivos, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas y a continuación desplázate hacia la derecha moviendo el ratón en esa dirección de la pantalla, o pulsando [KEYCAMERARIGHT].
help_showobjectives_xin                Para ver una lista de objetivos, abre el Administrador de Tareas y a continuación desplázate hacia la derecha.
help_showobjectives_icons_kbd          Para ver una lista de objetivos, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y a continuación desplázate hacia abajo moviendo el ratón hacia la parte inferior de la pantalla, o pulsando [KEYMENUDOWN].
help_showobjectives_icons_xin          Para ver una lista de objetivos, abre el Administrador de Tareas y a continuación desplázate hacia abajo.
help_armour_summon_kbd                 Haz clic en una de las zonas de inicio que aparecen ahora destacadas para crear tu Blindado. Sólo es posible crear Blindados cerca de los Puertos Troncales que controlas.
help_armour_summon_xin                 Selecciona una de las zonas de inicio que aparecen ahora destacadas para crear tu Blindado. Sólo se pueden crear Blindados cerca de los Puertos Troncales que controlas.
help_armour_use_kbd                    Pulsa con el Botón Izquierdo para mover tu Blindado. Haz clic cerca del blindado con el Botón Derecho para alternar entre carga y descarga de darwinianos. Pulsa con el Botón Derecho en el terreno para desplegar el blindado como un Cañón de Batalla.
help_armour_use_1mb_kbd                Haz clic con el Botón Izquierdo para mover tu Blindado. Mantén pulsado el botón del ratón cerca del blindado para alternar entre carga y descarga de darwinianos. Mantén pulsado el botón del ratón en el terreno para desplegar el blindado como un Cañón de Batalla.

help_radardish_1_kbd                   Esta Antena de Radar puede utilizarse para emitir individuos a otros Radares. Haz clic sobre ella para controlarla.
help_radardish_1_xin                   Esta Antena de Radar puede utilizarse para emitir individuos a otros Radares. Selecciónala para controlarla.
help_radardish_2_kbd                   Para apuntar con una Antena de Radar simplemente indica el Radar al que deseas viajar y haz clic sobre él. La Antena de Radar receptora debe estar mirando hacia ti. Pulsa [KEYUNITDESELECT] para dejar de seleccionar la Antena de Radar.
help_radardish_2_xin                   Para apuntar con una Antena de Radar simplemente indica el Radar al que deseas viajar y selecciónalo. La Antena de Radar receptora debe estar mirando hacia ti.
help_incubator                         Este edificio es una Incubadora. Puedes utilizar Ingenieros para traer espíritus, que posteriormente nacerán de nuevo en forma de otros darwinianos.
help_trunkport                         Esto es un Puerto Troncal y funciona como una puerta estelar que conecta distintos lugares de Darwinia.
help_refinery                          Ésta es la Refinería principal y suministra energía a todos los pozos de perforación de estas islas. Para conectarla a la red tendrás que escoltar a algunos darwinianos de forma lleguen hasta este punto sanos y salvos.
help_mine                              Este edificio es una Mina y extraerá polígonos en bruto de la ladera y los depositará en las carretillas que van pasando. Necesita que haya varios darwinianos para poder funcionar.
help_anthill                           ¡Puaj, qué asco! ¡Esta zona está infestada de Hormigas! Éste parece ser uno de sus hormigueros. Unas pocas granadas bien puestas deberían ser suficiente.
help_controltower                      Ésta es una Torre de Control. Envía a uno de tus ingenieros para reprogramarla, y podrás utilizar el edificio al que está conectada.
help_researchitem                      ¡Has encontrado parte de mi investigación! Magnífico. Crea algunos Ingenieros en los alrededores y descargarán la investigación a mi sistema. Con un poco de suerte será algo útil.
help_gunturret_1_kbd                   Este Cañón de Batalla necesita que haya darwinianos en los controles antes de que sea posible utilizarlo. Dispararán de forma automática a cualquier enemigo que se encuentre en las cercanías. Si lo prefieres, puedes hacer clic sobre él y controlarlo tú mismo.
help_gunturret_1_xin                   Este Cañón de Batalla necesita que haya darwinianos en los controles antes de que sea posible utilizarlo. Dispararán de forma automática a cualquier enemigo que se encuentre en las cercanías. Si lo prefieres, puedes seleccionarlo y controlarlo tú mismo.
help_gunturret_2_kbd                   Este Cañón de Batalla seguirá a tu cursor. Pulsa con el botón derecho para disparar. Presiona [KEYUNITDESELECT] para dejar de seleccionarlo.
help_gunturret_2_1mb_kbd               Este Cañón de Batalla seguirá a tu cursor. Mantén pulsado el botón para disparar. Pulsa [KEYUNITDESELECT] para dejar de seleccionarlo.

help_pressh_kbd                        Pulsa [KEYSEPULVEDAHELP] para recibir ayuda
help_keyboardshortcut                  Teclas rápidas
help_explainobjective                  Explicar este objetivo

language_english                       Inglés
language_french                        Francés
language_german                        Alemán
language_italian                       Italiano
language_spanish                       Español


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 TipoNoVálido
entityname_engineer                    Ingeniero
entityname_virii                       Virus
entityname_squadie                     Soldado
entityname_egg                         Huevo
entityname_sporegenerator              GeneradorDeEsporas
entityname_centipede                   Ciempiés
entityname_spaceinvader                InvasorEspacial
entityname_spider                      Araña
entityname_darwinian                   Darwiniano
entityname_officer                     Oficial
entityname_armyant                     HormigaLegionaria
entityname_armour                      Blindado
entityname_souldestroyer               DestructorDeAlmas
entityname_triffidegg                  HuevoDeTrífido
entityname_ai                          IA
entityname_lander                      Módulo
entityname_lasertroop                  TropaLáser
entityname_tripod                      Trípode


# ================================================
# Engineer states
# ================================================

engineer_idle                          inactivo
engineer_towaypoint                    ir a
engineer_tospirit                      recoger
engineer_toincubator                   regresar
engineer_reprogramming                 reprogramar
engineer_researching                   investigar
engineer_bridge                        puente

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       EJECUTAR PROGRAMA
taskmanager_msg1                       ERROR DE SINTAXIS
taskmanager_msg2                       PROGRAMA FINALIZADO
taskmanager_msg3                       ADQUIRIDO
taskmanager_msg4                       MEJORADO
taskmanager_msg5                       OBJETIVOS COMPLETADOS
taskmanager_mapeditor                  Editor de Mapas
taskmanager_accessallareas             Acceso a Todas las Áreas

taskmanager_taskmanager                ADMINISTRADOR DE TAREAS
taskmanager_research                   INVESTIGACIÓN
taskmanager_objectives                 OBJETIVOS
taskmanager_primarys                   OBJETIVOS PRINCIPALES
taskmanager_secondarys                 OBJETIVOS SECUNDARIOS
taskmanager_complete                   COMPLETO
taskmanager_incomplete                 INCOMPLETO


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  No puedes ejecutar más programas. Prueba a cerrar algunos de ellos manteniendo pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas, presionando la tecla de tabulación hasta llegar a las tareas antiguas y después CTRL-C.
task_manager_full_xin                  No puedes ejecutar más programas. Prueba a cerrar algunos.
task_manager_full_icons_kbd            No puedes ejecutar más programas. Mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y cierra algunos programas para liberar espacio. Haz clic en sus iconos de cerrar.
task_manager_full_icons_xin            No puedes ejecutar más programas.
task_manager_targetfirst_kbd           No puedes crear más programas hasta que hayas situado el existente. Para colocarlo haz clic en una de las zonas de inicio.
task_manager_targetfirst_xin           No puedes crear más programas hasta que hayas situado el existente. Para colocarlo selecciona una de las zonas de inicio.
task_manager_needsquadfirst            Tienes que crear una escuadra antes de poder configurar su tipo de armamento.
officer_notwalkable                    Me temo que los darwinianos no son los suficientemente inteligentes para encontrar el camino por esa ruta. Es necesario que vean a dónde se dirigen.
armour_cantconvert                     El terreno de ese lugar está demasiado inclinado... sólo es posible situar un Cañón de Batalla sobre terreno llano.

objective_capture_trunk                Habilitar el Puerto Troncal
objective_research                     Recoger la Investigación
objective_capturetrunk_1               Lo que necesito que hagas en este lugar es abrir este Puerto Troncal para mí.
objective_capturetrunk_2               Dispone de una Torre de Control estándar en las cercanías, así que puedes enviar a uno de tus Ingenieros para que la reprograme.
objective_capturetrunk_3               Una vez haya sido reprogramada, la localización a la que se encuentra conectada estará disponible para su utilización.
objective_research_1                   Puedo ver parte de mi investigación ahí delante y necesito que la recuperes para mí.
objective_research_2                   Crea un Ingeniero en las cercanías y éste descargará la Investigación a mi sistema informático. Con un poco de suerte será algo que podamos utilizar para luchar contra la infección vírica.

building_captured                      Los Ingenieros han terminado de reprogramar un edificio
primaryObjectivesComplete_kbd          Buen trabajo, parece que has completado todos los Objetivos Principales. Pulsa [KEYMENUESCAPE] para abandonar este lugar cuando hayas terminado.
primaryObjectivesComplete_xin          Buen trabajo, parece que has completado todos los Objetivos Principales.
primaryObjectiveComplete               Objetivo Principal Completado.
primaryObjectiveFail_kbd               Parece que has fracasado en tu misión. Puedes intentarlo de nuevo si quieres. Pulsa [KEYMENUESCAPE] ahora.
primaryObjectiveFail_xin               Parece que has fracasado en tu misión. Puedes intentarlo de nuevo si quieres.

privatedemo1                           > VERSIÓN PRE-ALFA INTERNA PARA ALGUIEN
privatedemo2                           > ESTRICTAMENTE CONFIDENCIAL
privatedemo3_kbd                       > Pulsa [KEYCREATESCREENSHOT] para realizar una captura de la pantalla

sepulveda_pressreturn_kbd              (pulsa [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (pulsa [KEYSKIPMESSAGE] para saltar el video)

objective_currentcount                 Recuento actual
objective_totalinfection               Infección Total
objective_output                       producción
objective_refined                      refinado
objective_fuelpressure                 Presión del Combustible
objective_fuel                         Combustible
objective_passengers                   Pasajeros
objective_redpopulation                población roja
objective_throughput                   rendimiento


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwinianos
researchname_squad                     Escuadra
researchname_engineer                  Ingeniero
researchname_laser                     Láser
researchname_grenade                   Granada
researchname_rocket                    Misil
researchname_airstrike                 AtaqueAéreo
researchname_armour                    Blindado
researchname_taskmanager               AdministradorDeTareas
researchname_officer                   Oficial
researchname_controller                Controlador

research_notyetavailable               Aún no he terminado de investigar ese programa, así que tendrás que esperar antes de poder utilizarlo.
research_nomorepossible                No creo que pueda realizar más mejoras en este Programa. Opino que deberías elegir otro campo en el que yo deba trabajar.

research_squad                         Trabajaré en la mejora del programa Escuadra. Debería ser capaz de incrementar el número de miembros de una escuadra.
# research_squad_v1                  Unused
research_squad_v2                      He mejorado el programa Escuadra que estás utilizando y ahora podrás disponer de 4 miembros en una de ellas.
research_squad_v3                      He realizado algunos progresos en el programa Escuadra... ahora tendrás 5 miembros en una de ellas.
research_squad_v4                      He hecho todo lo que he podido con el programa Escuadra y ahora puedes disponer de 6 miembros, pero no creo que sea capaz conseguir más de este código base.

research_laser                         Intentaré mejorar para ti el programa Láser. Con un poco de suerte podré aumentar algo su alcance.
# research_laser_v1                  Unused
research_laser_v2                      He conseguido algunas mejoras en los Láseres y ahora deberían disponer de un mayor alcance.
research_laser_v3                      He mejorado de nuevo el alcance del armamento Láser.
research_laser_v4                      Estos láseres son ahora increíbles. Disponen de casi 3 veces más alcance que los originales. He terminado con este programa.

research_grenade                       Trabajaré en el programa Granada. Debería ser capaz incrementar el alcance de este tipo de arma.
research_grenade_v1_kbd                ¡Has encontrado mi investigación en Granadas! Es fantástico. Mientras estés disparando el láser con tu escuadra, pulsa el Botón Izquierdo del ratón para lanzar una Granada.
research_grenade_v1_xin                ¡Has encontrado mi investigación en Granadas! Es fantástico. Ahora tu escuadra podrá lanzar Granadas.
research_grenade_v1_1mb_kbd            ¡Has encontrado mi investigación en Granadas! Es fantástico. Pulsa mayúsculas y el botón del ratón para lanzar una Granada.
research_grenade_v2                    He aumentado el alcance del lanzamiento en el programa Granada.
research_grenade_v3                    He conseguido otro incremento en el alcance del lanzamiento de las Granadas.
research_grenade_v4                    Ya está, ya he terminado con las granadas. El alcance de lanzamiento ha aumentado hasta llegar a la máxima distancia posible.

research_rocket                        Me pondré a trabajar en los Misiles. Con un poco de suerte podré incrementar algo el alcance máximo.
research_rocket_v1_kbd                 Magnífico, has recuperado el programa Misil. Puedes seleccionar este tipo de arma con el gesto de Misil. Mientras estés disparando el láser con tu escuadra, pulsa el Botón Izquierdo del ratón para lanzar uno de estos misiles.
research_rocket_v1_xin                 Magnífico, has recuperado el programa Misil. Puedes seleccionar esta Arma con el gesto de Misil. Ahora tu escuadra podrá disparar Misiles.

research_rocket_v1_icons_kbd           Magnífico, has recuperado el programa Misil. Puedes seleccionar este tipo de arma pulsando en el icono de este tipo de arma que se encuentra junto a tu Escuadra en el Administrador de Tareas. Mientras estés disparando el láser con tu escuadra, pulsa el Botón Izquierdo del ratón para lanzar uno de estos misiles.
research_rocket_v1_icons_xin           Magnífico, has recuperado el programa Misil. Selecciona el icono de este tipo de arma que se encuentra junto a tu Escuadra en el Administrador de Tareas para seleccionarla. Ahora tu escuadra podrá disparar Misiles.
research_rocket_v1_1mb_kbd             Magnífico, has recuperado el programa Misil. Puedes seleccionar este tipo de arma con el gesto de Misil. Pulsa mayúsculas y el botón del ratón para lanzar uno de estos misiles.
research_rocket_v2                     El alcance de los Misiles se ha incrementado.
research_rocket_v3                     He conseguido aumentar de nuevo el alcance de los Misiles.
research_rocket_v4                     El alcance de los misiles está ahora en su nivel máximo.

research_airstrike                     Intentaré mejorar para ti el Ataque Aéreo.
research_airstrike_v1                  ¡Dios mío!, esto es magnífico. ¡Has encontrado mi programa Ataque Aéreo! Selecciona Ataque Aéreo como armamento para tus escuadras trazando este gesto, y a continuación lanza una granada de señalización para mostrarle al programa en dónde debe bombardear.
research_airstrike_v1_icons_kbd        ¡Dios mío!, esto es magnífico. ¡Has encontrado mi programa AtaqueAéreo! Haz clic en el icono de este tipo de arma dentro del Administrador de Tareas para seleccionarla, y a continuación lanza una granada de señalización para mostrarle al programa en dónde debe bombardear.
research_airstrike_v1_icons_xin        ¡Dios mío!, esto es magnífico. ¡Has encontrado mi programa AtaqueAéreo! Selecciona el icono de Ataque Aéreo dentro del Administrador de Tareas para seleccionar esta Arma, y a continuación lanza una granada de señalización para mostrarle al programa en dónde debe bombardear.
research_airstrike_v2                  He mejorado el programa AtaqueAéreo. Ahora cada granada de señalización atraerá a dos Invasores que soltarán sus bombas.
research_airstrike_v3                  He añadido otro Invasor a cada unidad de Ataque Aéreo.
research_airstrike_v4                  Ahora habrá cuatro Invasores por cada señalizador en un Ataque Aéreo. Ya he hecho todo lo que puedo hacer en este campo.

research_taskmanager                   Trabajaré en mejorar para ti el Administrador de Tareas. Debería ser posible ejecutar más programas simultáneamente, llevando a cabo algunos retoques.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
