# =================================================
# Errors
# =================================================

error                                  Erreur
control_help_quickunitstart            Ouvrir gestionnaire de programmes
control_help_quickunitcreate           Créer unité
control_help_quickunitplace            Placer unité
control_help_endtask                   Fermer programme
control_help_radar                     Diriger radar
control_help_fireturret                Tirer (tourelle)
control_help_deselect                  Désélectionner unité
control_help_confirm                   Confirmer / Sélectionner
control_help_next                      Unité suivante
control_help_previous                  Unité précédente
control_help_secondaryaim              Viser (maintenir)
control_help_secondaryfire             Arme secondaire
control_help_changesecondary           Changer d'arme
control_help_officergoto               Goto
control_help_officermode               Changer de mode
control_help_armourturret              Laisser tourelle
control_help_armourmode                Mode ramasser/laisser



# ================================================
# Help strings
# ================================================

help_camera_movement_kbd               Déplacez la caméra avec les touches [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] et [KEYCAMERARIGHT]. Vous pouvez changer la hauteur de la caméra avec la molette de la souris, ou avec les touches [KEYCAMERAUP] et [KEYCAMERADOWN].
help_camera_movement_xin               Déplacez la caméra aux alentours.
help_camera_height_kbd                 Si vous disposez d'une molette, vous pouvez vous en servir pour changer la hauteur de la caméra. Ou vous pouvez également utiliser les touches [KEYCAMERAUP] et [KEYCAMERADOWN] pour monter ou descendre.
help_camera_zoom_kbd                   Si vous disposez d'une molette, cliquez dessus pour effectuer un zoom avant avec la caméra. Ou vous pouvez appuyer sur la touche [KEYCAMERAZOOM].
help_camera_movefast_kbd               Vous pouvez déplacer la caméra plus rapidement en maintenant enfoncée la touche [KEYCAMERASPEEDUP] lors du déplacement.
help_taskmanager_1_kbd                 Sur Darwinia, vous créez des choses en dessinant des figures dans le gestionnaire de programmes. Maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour y accéder.
help_taskmanager_2_kbd                 Pour voir la liste des figures disponibles, maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes et faites défiler l'écran en plaçant la souris sur la gauche, ou en appuyant sur la touche [KEYMENULEFT].
help_taskmanager_3_kbd                 Vous ne pouvez faire fonctionner que TROIS programmes en même temps. Vous pouvez fermer des programmes actifs en maintenant enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY], en appuyant sur la touche TAB pour accéder au programme voulu et en appuyant sur CTRL-C.
help_taskmanager_3_xin                 Vous ne pouvez faire fonctionner que TROIS programmes en même temps. Vous pouvez fermer les programmes actifs
help_taskmanager_4_kbd                 Pour sélectionner à nouveau un programme actif, maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes et appuyez sur la touche TAB jusqu'à parvenir à l'icône représentant le programme voulu.
help_showchatlog_kbd                   Pour accéder au journal de dialogues, qui contient tout ce que j'ai dit, maintenez enfoncée la touche [KEYGESTURESCHATLOG].
help_taskmanager_1_icons_kbd           Pour créer des choses sur Darwinia, vous devez activer le gestionnaire de programmes. Maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] pour y accéder.
help_taskmanager_1_icons_xin           Pour créer des choses sur Darwinia, vous devez activer le gestionnaire de programmes.
help_taskmanager_2_icons_kbd           Tandis que vous maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY], vous pouvez voir une liste des programmes disponibles. Cliquez sur n'importe lequel pour créer un nouveau programme.
help_taskmanager_3_icons_kbd           Vous ne pouvez faire fonctionner que TROIS programmes en même temps. Vous pouvez fermer le programme sélectionné en appuyant sur [KEYICONSTASKMANAGERENDTASK], ou vous pouvez cliquer sur son icône d'effacement dans le gestionnaire de programmes.
help_taskmanager_3_icons_xin           Vous ne pouvez faire fonctionner que TROIS programmes en même temps.
help_taskmanager_4_icons_kbd           Pour sélectionner à nouveau un programme actif, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur son icône. Ou vous pouvez également vous servir des touches de chiffres pour sélectionner des programmes.
help_showchatlog_icons_kbd             Pour accéder au journal de dialogues, qui contient tout ce que j'ai dit, maintenez enfoncée la touche [KEYICONSCHATLOG].

help_deselect_kbd                      Pour désélectionner l'objet actuellement sélectionné, appuyez sur [KEYUNITDESELECT].
help_squad_summon_1_kbd                Pour créer une escouade, maintenez enfoncé [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes, puis dessinez cette figure.
help_squad_summon_1_icons_kbd          Pour créer une escouade, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes, puis cliquez sur l'icône d'escouade.
help_squad_summon_2_kbd                Cliquez avec le bouton gauche dans l'une des zones de départ, mises en évidence, pour placer votre escouade.
help_squad_summon_2_xin                Sélectionnez l'une des zones de départ, mises en évidence, pour placer votre escouade.
help_squad_use_kbd                     Cliquez sur le bouton gauche pour déplacer votre escouade. Cliquez sur le bouton droit pour tirer avec leurs lasers. Appuyez sur [KEYUNITDESELECT] pour les désélectionner. Les escouades ne peuvent pas progresser dans l'eau.
help_squad_use_1mb_kbd                 Cliquez pour déplacer votre escouade. Cliquez et maintenez enfoncé pour activer leurs lasers. Appuyez sur [KEYUNITDESELECT] pour les désélectionner.
help_squad_grenade_kbd                 Vous pouvez lancer une grenade en cliquant sur le bouton gauche de la souris tandis que vous activez leurs lasers avec le bouton droit.
help_squad_grenade_1mb_kbd             Vous pouvez lancer une grenade en cliquant tout en appuyant sur MAJ.
help_squad_setgrenade                  Pour activer les grenades, dessinez la figure Grenade.
help_squad_setrocket                   Pour activer les roquettes, dessinez la figure Roquette.
help_squad_setairstrike                Pour activer les frappes aériennes, dessinez la figure Frappe aérienne.
help_squad_setgrenade_icons_kbd        Pour activer les grenades, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur l'icône de grenade près de votre escouade.
help_squad_setgrenade_icons_xin        Pour activer les grenades, ouvrez le gestionnaire de programmes et sélectionnez l'icône de grenade près de votre escouade.
help_squad_setrocket_icons_kbd         Pour activer les roquettes, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur l'icône de roquette près de votre escouade.
help_squad_setrocket_icons_xin         Pour activer les roquettes, ouvrez le gestionnaire de programmes et sélectionnez l'icône de roquette près de votre escouade.
help_squad_setairstrike_icons_kbd      Pour activer les frappes aériennes, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur l'icône de frappe aérienne près de votre escouade.
help_squad_setairstrike_icons_xin      Pour activer les frappes aériennes, ouvrez le gestionnaire de programmes et sélectionnez l'icône de frappe aérienne près de votre escouade.


help_building_reprogram                Cette construction doit être reprogrammée avant de pouvoir être utilisée. Vous devez pour ce faire créer un ingénieur et le déplacer près de la tour de commande avoisinante.
help_engineer_summon_kbd               Les ingénieurs servent à récupérer les esprits et à reprogrammer les constructions. Maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] et dessinez cette figure pour requérir un ingénieur.
help_engineer_summon_xin               Les ingénieurs servent à récupérer les esprits et à reprogrammer les constructions. Ouvrez le gestionnaire de programmes et dessinez cette figure pour requérir un ingénieur.
help_engineer_summon_icons_kbd         Les ingénieurs servent à récupérer les esprits et à reprogrammer les constructions. Maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et cliquez sur l'icône d'ingénieur pour requérir un ingénieur.
help_engineer_summon_icons_xin         Les ingénieurs servent à récupérer les esprits et à reprogrammer les constructions. Ouvrez le gestionnaire de programmes et sélectionnez l'icône d'ingénieur pour requérir un ingénieur.
help_engineer_summon_2_kbd             Cliquez sur le bouton gauche dans l'une des zones de départ, mises en évidence, pour créer votre ingénieur. Ou appuyez sur CTRL-C si vous souhaitez fermer son programme.
help_engineer_summon_2_xin             Sélectionnez l'une des zones de départ, mises en évidence, pour créer votre ingénieur. Ou vous pouvez fermer son programme.
help_engineer_summon_2_icons_kbd       Cliquez dans l'une des zones de départ, mises en évidence, pour créer votre ingénieur. Ou vous pouvez appuyer sur CTRL-C pour fermer son programme.
help_engineer_summon_2_icons_xin       Sélectionnez l'une des zones de départ, mises en évidence, pour créer votre ingénieur. Ou vous pouvez fermer son programme.
help_engineer_use_kbd                  Les ingénieurs effectueront automatiquement les tâches qui doivent être accomplies dans leurs environs, comme récupérer des esprits ou reprogrammer des constructions. Cliquez simplement sur le bouton gauche pour les déplacer près d'une tâche.
help_engineer_use_xin                  Les ingénieurs effectueront automatiquement les tâches qui doivent être accomplies dans leurs environs, comme récupérer des esprits ou reprogrammer des constructions. Déplacez-les simplement près d'une tâche.

help_officer_create_kbd                Vous pouvez vous servir de Darwiniens ordinaires pour donner des ordres aux autres Darwiniens, en les nommant officiers. Dessinez la figure Officier et cliquez avec le bouton gauche sur un Darwinien.
help_officer_create_xin                Vous pouvez vous servir de Darwiniens ordinaires pour donner des ordres aux autres Darwiniens, en les nommant officiers. Dessinez la figure Officier et sélectionnez un Darwinien.
help_officer_create_icons_kbd          Vous pouvez vous servir de Darwiniens ordinaires pour donner des ordres aux autres Darwiniens, en les nommant officiers. Activez le gestionnaire de programmes et cliquez sur l'icône d'officier, puis sur un Darwinien.
help_officer_create_icons_xin          Vous pouvez vous servir de Darwiniens ordinaires pour donner des ordres aux autres Darwiniens, en les nommant officiers. Activez le gestionnaire de programmes et sélectionnez l'icône d'officier, puis un Darwinien.
help_officer_create_2_kbd              Cliquez sur un Darwinien pour le nommer Officier. Ou appuyez sur CTRL-C pour fermer le programme Officier.
help_officer_create_2_xin              Sélectionnez un Darwinien pour le nommer Officier. Ou fermez le programme Officier.
help_officer_create_2_icons_kbd        Cliquez sur un Darwinien pour le nommer Officier. Ou appuyez sur [KEYICONSTASKMANAGERENDTASK] pour fermer le programme Officier.
help_officer_create_2_icons_xin        Sélectionnez un Darwinien pour le nommer Officier. Ou fermez le programme Officier.
help_officer_use_kbd                   Vous pouvez déplacer un officier en cliquant avec le bouton gauche. Cliquez avec le bouton droit sur les terres pour donner l'ordre GOTO aux autres Darwiniens. Cliquez avec le bouton droit près de l'officier pour annuler ses ordres.
help_officer_use_1mb_kbd               Vous pouvez déplacer un officier en cliquant. Cliquez et maintenez enfoncé sur les terres pour donner l'ordre GOTO aux autres Darwiniens. Cliquez et maintenez enfoncé près de l'officier pour annuler ses ordres.
help_officer_toggle_kbd                Pour faire défiler tous les ordres disponibles, cliquez avec le bouton droit près de l'officier.
help_officer_toggle_1mb_kbd            Pour faire défiler tous les ordres disponibles, cliquez et maintenez enfoncé près de l'officier.

help_showobjectives_kbd                Pour voir la liste des objectifs, maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes, puis faites défiler l'écran en déplaçant la souris sur la droite, ou en appuyant sur [KEYCAMERARIGHT].
help_showobjectives_xin                Pour voir la liste des objectifs, ouvrez le gestionnaire de programmes, puis faites défiler l'écran vers la droite.
help_showobjectives_icons_kbd          Pour voir la liste des objectifs, maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY], puis faites défiler l'écran vers le bas avec la souris, ou en appuyant sur [KEYMENUDOWN].
help_showobjectives_icons_xin          Pour voir la liste des objectifs, ouvrez le gestionnaire de programmes, puis faites défiler l'écran vers le bas.
help_armour_summon_kbd                 Cliquez avec le bouton gauche dans l'une des zones de départ, mises en évidence, pour créer votre blindé. Les blindés ne peuvent être créés que près des points de passage que vous contrôlez.
help_armour_summon_xin                 Sélectionnez l'une des zones de départ, mises en évidence, pour créer votre blindé. Les blindés ne peuvent être créés que près des points de passage que vous contrôlez.
help_armour_use_kbd                    Cliquez avec le bouton gauche pour déplacer votre blindé. Cliquez avec le bouton droit près du blindé pour passer du chargement au déchargement de Darwiniens. Cliquez avec le bouton droit sur les terres pour déployer votre blindé et le transformer en canon de bataille.
help_armour_use_1mb_kbd                Cliquez avec le bouton gauche pour déplacer votre blindé. Cliquez et maintenez enfoncé près du blindé pour passer du chargement au déchargement de Darwiniens. Cliquez et maintenez enfoncé sur les terres pour déployer votre blindé et le transformer en canon de bataille.

help_radardish_1_kbd                   Vous pouvez utiliser ce radar pour effectuer des transferts vers d'autres radars. Cliquez dessus pour le contrôler.
help_radardish_1_xin                   Vous pouvez utiliser ce radar pour effectuer des transferts vers d'autres radars. Sélectionnez-le pour le contrôler.
help_radardish_2_kbd                   Pour diriger le radar, orientez-le simplement vers le radar auquel vous voulez vous rendre et cliquez dessus avec le bouton gauche. Le radar récepteur doit être orienté vers le radar émetteur. Appuyez sur [KEYUNITDESELECT] pour désélectionner le radar.
help_radardish_2_xin                   Pour diriger le radar, sélectionnez simplement le radar auquel vous voulez vous rendre. Le radar récepteur doit être orienté vers le radar émetteur.
help_incubator                         Cette construction est un incubateur. Vous pouvez vous servir d'ingénieurs pour transporter les esprits jusqu'ici. Ces esprits renaîtront alors en Darwiniens.
help_trunkport                         C'est un point de passage. Les points de passage relient entre eux les différents secteurs de Darwinia.
help_refinery                          Il s'agit de la raffinerie principale. Elle fait fonctionner tout le système minier de ces îles. Vous allez devoir escorter des Darwiniens jusqu'ici pour la rendre à nouveau opérationnelle.
help_mine                              Cette construction est une mine. Y sont extraits des polygones bruts qui sont ensuite placés dans les chariots qui y passent. Une mine nécessite plusieurs Darwiniens pour pouvoir fonctionner.
help_anthill                           Dé-goû-tant ! Cette zone est infestée de fourmis ! Il semble que ce soit l'un de leurs nids. Quelques grenades bien placées devraient régler le problème.
help_controltower                      C'est une tour de commande. Envoyez l'un de vos ingénieurs la reprogrammer, et vous pourrez vous servir de la construction à laquelle elle est reliée.
help_researchitem                      Vous avez découvert une partie des données de mes recherches ! Parfait. Créez quelques ingénieurs aux environs et ils téléchargeront ces données dans mon système. Espérons que ce soit quelque chose d'utile.
help_gunturret_1_kbd                   Ce canon de bataille a besoin de Darwiniens pour être utilisé. Ils tireront automatiquement sur tout ennemi s'approchant. Ou vous pouvez cliquer dessus pour le contrôler.
help_gunturret_1_xin                   Ce canon de bataille a besoin de Darwiniens pour être utilisé. Ils tireront automatiquement sur tout ennemi s'approchant. Ou vous pouvez le sélectionner pour le contrôler en personne.
help_gunturret_2_kbd                   Ce canon de bataille suivra votre curseur. Cliquez avec le bouton droit pour tirer. Appuyez sur [KEYUNITDESELECT] pour le désélectionner.
help_gunturret_2_1mb_kbd               Ce canon de bataille suivra votre curseur. Cliquez et maintenez enfoncé pour tirer. Appuyez sur [KEYUNITDESELECT] pour le désélectionner.

help_pressh_kbd                        Appuyez sur [KEYSEPULVEDAHELP] pour obtenir de l'aide
help_keyboardshortcut                  Raccourci clavier
help_explainobjective                  Expliquer cet objectif

language_english                       Anglais
language_french                        Français
language_german                        Allemand
language_italian                       Italien
language_spanish                       Espagnol


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 Type invalide
entityname_engineer                    Ingénieur
entityname_virii                       Virii
entityname_squadie                     Unité
entityname_egg                         Œuf
entityname_sporegenerator              Générateur de spores
entityname_centipede                   Centipède
entityname_spaceinvader                Invader
entityname_spider                      Araignée
entityname_darwinian                   Darwinien
entityname_officer                     Officier
entityname_armyant                     Fourmi
entityname_armour                      Blindé
entityname_souldestroyer               Tueur d'âmes
entityname_triffidegg                  Œuf de trifide
entityname_ai                          IA
entityname_lander                      Lander
entityname_lasertroop                  TroupeLaser
entityname_tripod                      Tripode


# ================================================
# Engineer states
# ================================================

engineer_idle                          inactif
engineer_towaypoint                    goto
engineer_tospirit                      rassemble
engineer_toincubator                   revient
engineer_reprogramming                 reprogramme
engineer_researching                   recherche
engineer_bridge                        pont

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       LANCER PROGRAMME
taskmanager_msg1                       ERREUR DE SAISIE
taskmanager_msg2                       PROGRAMME FERMÉ
taskmanager_msg3                       ACQUIS
taskmanager_msg4                       AMÉLIORÉ
taskmanager_msg5                       OBJECTIFS ATTEINTS
taskmanager_mapeditor                  Éditeur de cartes
taskmanager_accessallareas             Accéder à tous les secteurs

taskmanager_taskmanager                GESTIONNAIRE
taskmanager_research                   RECHERCHE
taskmanager_objectives                 OBJECTIFS
taskmanager_primarys                   OBJECTIFS PRINCIPAUX
taskmanager_secondarys                 OBJECTIFS SECONDAIRES
taskmanager_complete                   ATTEINT
taskmanager_incomplete                 NON ATTEINT


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  Vous ne pouvez pas lancer davantage de programmes. Essayez d'en fermer en maintenant [KEYGESTURESTASKMANAGERDISPLAY] enfoncé pour accéder au gestionnaire de programmes, en appuyant sur TAB pour accéder à d'anciens programmes, et en appuyant sur CTRL-C.
task_manager_full_xin                  Vous ne pouvez pas lancer davantage de programmes. Essayez d'en fermer.
task_manager_full_icons_kbd            Vous ne pouvez pas lancer davantage de programmes. Maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] et fermez des programmes pour libérer de la mémoire. Cliquez simplement sur l'icône de fermeture.
task_manager_full_icons_xin            Vous ne pouvez pas lancer davantage de programmes.
task_manager_targetfirst_kbd           Vous ne pouvez pas lancer de nouveau programme avant d'avoir placé celui existant. Cliquez avec le bouton gauche sur une zone valide pour le placer.
task_manager_targetfirst_xin           Vous ne pouvez pas créer de programme tant que vous n'avez pas placé celui existant. Sélectionnez l'une des zones de départ pour le déployer.
task_manager_needsquadfirst            Vous devez créer une escouade avant de déterminer leur type d'arme.
officer_notwalkable                    Je crains que les Darwiniens ne soient pas assez intelligents pour trouver seuls leur chemin vers cette destination. Ils doivent voir où ils vont.
armour_cantconvert                     Le sol est trop escarpé ici… Vous ne pouvez déployer un canon de bataille que sur un terrain plat.

objective_capture_trunk                Activer le point de passage
objective_research                     Récupérer les données de recherche
objective_capturetrunk_1               J'ai besoin que vous ouvriez ce point de passage pour moi.
objective_capturetrunk_2               Il dispose d'une tour de commande standard qui lui est reliée, aussi vous pouvez envoyer un ingénieur le reprogrammer.
objective_capturetrunk_3               Une fois reprogrammé, le secteur auquel il est relié deviendra disponible.
objective_research_1                   Je peux voir des données de mes recherches plus loin. J'ai besoin que vous les récupériez.
objective_research_2                   Créez un ingénieur dans les environs et il téléchargera les données dans mon système. Espérons qu'il s'agisse de quelque chose d'utile contre le virus.

building_captured                      Les ingénieurs ont terminé de reprogrammer une construction.
primaryObjectivesComplete_kbd          Bon travail, on dirait que vous avez atteint tous les objectifs principaux. Appuyez sur [KEYMENUESCAPE] pour quitter ce secteur lorsque vous le souhaitez.
primaryObjectivesComplete_xin          Bon travail, on dirait que vous avez atteint tous les objectifs principaux.
primaryObjectiveComplete               Objectif principal atteint
primaryObjectiveFail_kbd               On dirait que vous n'êtes pas parvenu à accomplir votre mission. Vous pouvez réessayer si vous le souhaitez. Appuyez sur [KEYMENUESCAPE] à présent.
primaryObjectiveFail_xin               On dirait que vous n'êtes pas parvenu à accomplir votre mission.

privatedemo1                           > BUILD PRÉALPHA INTERNE POUR QUELQU'UN
privatedemo2                           > STRICTEMENT CONFIDENTIEL
privatedemo3_kbd                       > Appuyez sur [KEYCREATESCREENSHOT] pour une capture d'écran

sepulveda_pressreturn_kbd              (appuyez sur [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (appuyez sur [KEYSKIPMESSAGE] pour passer)

objective_currentcount                 Nombre actuel
objective_totalinfection               Infection totale
objective_output                       rendement
objective_refined                      raffiné
objective_fuelpressure                 Pression
objective_fuel                         Fuel
objective_passengers                   Passagers
objective_redpopulation                population rouge
objective_throughput                   débit


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwiniens
researchname_squad                     Escouade
researchname_engineer                  Ingénieur
researchname_laser                     Laser
researchname_grenade                   Grenade
researchname_rocket                    Roquette
researchname_airstrike                 Frappe aérienne
researchname_armour                    Blindé
researchname_taskmanager               Gestionnaire
researchname_officer                   Officier
researchname_controller                Contrôleur

research_notyetavailable               Je n'ai pas encore terminé mes recherches sur ce programme, vous allez devoir attendre avant de pouvoir l'utiliser.
research_nomorepossible                Je ne crois pas pouvoir améliorer davantage ce programme et pense que vous devriez m'assigner à un autre projet.

research_squad                         Je vais travailler à l'amélioration des escouades. Je devrais pouvoir augmenter le nombre d'unités constituant une seule escouade.
# research_squad_v1                  Unused
research_squad_v2                      J'ai amélioré le programme d'escouade que vous utilisez. Elle est à présent constituée de 4 unités.
research_squad_v3                      J'ai apporté quelques améliorations au programme d'escouade… Elles est maintenant constituée de 5 unités.
research_squad_v4                      J'ai à présent apporté toutes les améliorations possibles sur le programme d'escouade et elle sera maintenant constituée de 6 unités. Je ne crois plus pouvoir faire mieux.

research_laser                         Je vais tenter d'améliorer le programme des lasers pour vous. J'espère pouvoir améliorer leur portée.
# research_laser_v1                  Unused
research_laser_v2                      J'ai amélioré les lasers et ils devraient à présent disposer d'une meilleure portée.
research_laser_v3                      J'ai à nouveau amélioré la portée des lasers.
research_laser_v4                      Ces lasers sont maintenant incroyables. Leur portée est presque trois fois supérieure à celle des tout premiers. Je crois en avoir terminé avec ce programme à présent.

research_grenade                       Je vais travailler sur le programme de grenade. Je devrais pouvoir améliorer la portée de cette arme.
research_grenade_v1_kbd                Vous avez découvert les données de mes recherches sur la grenade ! Fantastique ! Lorsque vous tirez au laser avec une escouade, appuyez sur le bouton gauche pour lancer une grenade.
research_grenade_v1_xin                Vous avez découvert les données de mes recherches sur la grenade ! Fantastique ! Votre escouade peut maintenant en lancer.
research_grenade_v1_1mb_kbd            Vous avez découvert les données de mes recherches sur la grenade ! Fantastique ! Cliquez en appuyant sur MAJ pour lancer une grenade.
research_grenade_v2                    J'ai amélioré le programme de grenade et elle dispose maintenant d'une meilleure portée.
research_grenade_v3                    J'ai à nouveau amélioré la portée des grenades.
research_grenade_v4                    Ça y est, j'en ai à présent terminé avec les grenades. Leur portée est maintenant aussi grande que possible.

research_rocket                        Je vais travailler aux roquettes. J'espère pouvoir améliorer un peu leur portée.
research_rocket_v1_kbd                 Excellent, vous avez retrouvé le programme Roquette. Vous pouvez sélectionner cette arme avec la figure Roquette. Lorsque vous tirez au laser avec une escouade, cliquez sur le bouton gauche pour lancer une roquette.
research_rocket_v1_xin                 Excellent, vous avez retrouvé le programme Roquette. Vous pouvez sélectionner cette arme avec la figure Roquette. Votre escouade peut maintenant en lancer.

research_rocket_v1_icons_kbd           Excellent, vous avez retrouvé le programme Roquette. Vous pouvez sélectionner cette arme en cliquant sur l'icône Roquette près de votre escouade dans le gestionnaire de programmes. Lorsque vous tirez au laser avec une escouade, cliquez sur le bouton gauche pour lancer une roquette.
research_rocket_v1_icons_xin           Excellent, vous avez retrouvé le programme Roquette. Sélectionnez l'icône Roquette près de votre escouade dans le gestionnaire de programmes pour l'activer. Votre escouade peut maintenant en lancer.
research_rocket_v1_1mb_kbd             Excellent, vous avez retrouvé le programme Roquette. Vous pouvez sélectionner cette arme avec la figure Roquette. Cliquez en appuyant sur MAJ pour lancer une roquette.
research_rocket_v2                     Les roquettes disposent à présent d'une portée supérieure.
research_rocket_v3                     Je suis parvenu à améliorer à nouveau la portée des roquettes.
research_rocket_v4                     La portée des roquettes est à présent à son maximum.

research_airstrike                     Je vais essayer d'améliorer pour vous la frappe aérienne.
research_airstrike_v1                  Très bonne nouvelle. Vous avez découvert mon programme Frappe aérienne. Choisissez Frappe aérienne en tant qu'arme d'escouade en dessinant cette figure, puis indiquez au programme où bombarder.
research_airstrike_v1_icons_kbd        Très bonne nouvelle. Vous avez découvert mon programme Frappe aérienne. Cliquez sur l'icône Frappe aérienne dans le gestionnaire de programmes pour sélectionner cette arme, puis placez le marqueur pour montrer au programme où frapper.
research_airstrike_v1_icons_xin        Très bonne nouvelle. Vous avez découvert mon programme Frappe aérienne. Sélectionnez l'icône Frappe aérienne dans le gestionnaire de programmes pour l'activer, puis placez le marqueur pour montrer au programme où frapper.
research_airstrike_v2                  J'ai amélioré le programme Frappe aérienne. Chaque marqueur fera à présent venir deux invaders.
research_airstrike_v3                  J'ai ajouté un autre invader à chaque unité de frappe aérienne.
research_airstrike_v4                  Il y aura à présent quatre invaders par marqueur de frappe aérienne. Et je ne vais pas pouvoir faire mieux.

research_taskmanager                   Je vais travailler à l'amélioration du gestionnaire de programmes. Il devrait être possible avec un peu de travail de faire fonctionner davantage de programmes à la fois.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
research_taskmanager_v3                J'ai apporté quelques améliorations au gestionnaire de programmes. Vous pouvez maintenant faire fonctionner quatre programmes simultanément.
research_taskmanager_v4                J'ai amélioré le gestionnaire de programmes. Vous pouvez à présent faire fonctionner cinq programmes en même temps.

