# =================================================
# Errors
# =================================================

error                                  Error
help_refinery                          This is the main Refinery.  It powers the entire mining rig on these islands.  To bring it online you will need to safely escort some Darwinians up here.
help_mine                              This building is a Mine.  It will extract raw polygons from the hillside and dump them into the carts passing through.  It needs several Darwinians to operate.
help_anthill                           Euurgh, disgusting!  This area is infested with Ants!  This appears to be one of their nests.  A few well placed grenades should do the trick.
help_controltower                      This is a Control Tower.  Send one of your engineers to reprogram it, and you'll be able to make use of the building it's connected to.
help_researchitem                      You've found some of my research!  Excellent.  Create some Engineers nearby and they will download the research into my system.  Hopefully it will be something useful.
help_gunturret_1_kbd                   This Battle Cannon needs Darwinians operating it before it can be used.  They will automatically shoot at any nearby enemies.  Alternatively you can click on it to control it yourself.
help_gunturret_1_xin                   This Battle Cannon needs Darwinians operating it before it can be used.  They will automatically shoot at any nearby enemies.  Alternatively you can select it to control it yourself.
help_gunturret_2_kbd                   This Battle Cannon will track your cursor.  Right Click to fire.  Press [KEYUNITDESELECT] to deselect.
help_gunturret_2_1mb_kbd               This Battle Cannon will track your cursor.  Click and hold to fire.  Press [KEYUNITDESELECT] to deselect.

help_pressh_kbd                        Press [KEYSEPULVEDAHELP] for help
help_keyboardshortcut                  Keyboard shortcut
help_explainobjective                  Explain this objective

language_english                       English
language_french                        French
language_german                        German
language_italian                       Italian
language_spanish                       Spanish


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 InvalidType
entityname_engineer                    Engineer
entityname_virii                       Virii
entityname_squadie                     Squadie
entityname_egg                         Egg
entityname_sporegenerator              SporeGenerator
entityname_centipede                   Centipede
entityname_spaceinvader                SpaceInvader
entityname_spider                      Spider
entityname_darwinian                   Darwinian
entityname_officer                     Officer
entityname_armyant                     ArmyAnt
entityname_armour                      Armour
entityname_souldestroyer               SoulDestroyer
entityname_triffidegg                  TriffidEgg
entityname_ai                          AI
entityname_lander                      Lander
entityname_lasertroop                  LaserTroop
entityname_tripod                      Tripod


# ================================================
# Engineer states
# ================================================

engineer_idle                          idle
engineer_towaypoint                    goto
engineer_tospirit                      collect
engineer_toincubator                   return
engineer_reprogramming                 reprogram
engineer_researching                   research
engineer_bridge                        bridge

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       RUN PROGRAM
taskmanager_msg1                       SYNTAX ERROR
taskmanager_msg2                       PROGRAM TERMINATED
taskmanager_msg3                       ACQUIRED
taskmanager_msg4                       UPGRADED
taskmanager_msg5                       OBJECTIVES COMPLETED
taskmanager_mapeditor                  Map Editor
taskmanager_accessallareas             Access All Areas

taskmanager_taskmanager                TASK MANAGER
taskmanager_research                   RESEARCH
taskmanager_objectives                 OBJECTIVES
taskmanager_primarys                   PRIMARY OBJECTIVES
taskmanager_secondarys                 SECONDARY OBJECTIVES
taskmanager_complete                   COMPLETE
taskmanager_incomplete                 INCOMPLETE


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  You cannot run any more programs.  Try shutting some down by holding [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, tabbing along to old tasks and pressing CTRL-C.
task_manager_full_xin                  You cannot run any more programs.  Try shutting some down.
task_manager_full_icons_kbd            You cannot run any more programs.  Hold [KEYICONSTASKMANAGERDISPLAY] and close some programs down to free up some space.  Just click on their close icons.
task_manager_full_icons_xin            You cannot run any more programs.
task_manager_targetfirst_kbd           You can't create any more programs until you've placed your existing one.  Click inside one of the starting areas to place it.
task_manager_targetfirst_xin           You can't create any more programs until you've placed your existing one.  Select one of the starting areas to place it.
task_manager_needsquadfirst            You need to create a squad first before you can set their weapon type.
officer_notwalkable                    I'm afraid the Darwinians aren't clever enough to find their way along that route.  They need to see where they are going.
armour_cantconvert                     The ground there is too steep...you can only set up a Battle Cannon on flat ground.

objective_capture_trunk                Enable Trunk Port
objective_research                     Collect Research Item
objective_capturetrunk_1               What I need you to do here is to open up this Trunk Port for me.
objective_capturetrunk_2               It's got a standard Control Tower nearby, so you can send in one of your Engineers to reprogram it.
objective_capturetrunk_3               Once it's reprogrammed, the location it is connected to will become available to us.
objective_research_1                   I can see some of my research up ahead.  I need you to retrieve it for me.
objective_research_2                   Create an Engineer nearby and he will download the Research into my computer system.  Hopefully it will be something that we can use against the Viral infection.

building_captured                      The Engineers have finished reprogramming a building
primaryObjectivesComplete_kbd          Good work, it looks like you've completed all the Primary Objectives.  Press [KEYMENUESCAPE] to leave this location when you're done.
primaryObjectivesComplete_xin          Good work, it looks like you've completed all the Primary Objectives.
primaryObjectiveComplete               Primary Objective Complete.
primaryObjectiveFail_kbd               It looks like you've failed at your mission.  Feel free to try again.  Press [KEYMENUESCAPE] now.
primaryObjectiveFail_xin               It looks like you've failed at your mission.  Feel free to try again.

privatedemo1                           > INTERNAL PRE-ALPHA BUILD FOR SOMEBODY
privatedemo2                           > STRICTLY CONFIDENTIAL
privatedemo3_kbd                       > Press [KEYCREATESCREENSHOT] for screenshot

sepulveda_pressreturn_kbd              (press [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (press [KEYSKIPMESSAGE] to skip cutscene)

objective_currentcount                 Current count
objective_totalinfection               Total Infection
objective_output                       output
objective_refined                      refined
objective_fuelpressure                 Fuel Pressure
objective_fuel                         Fuel
objective_passengers                   Passengers
objective_redpopulation                red population
objective_throughput                   throughput


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwinians
researchname_squad                     Squad
researchname_engineer                  Engineer
researchname_laser                     Laser
researchname_grenade                   Grenade
researchname_rocket                    Rocket
researchname_airstrike                 AirStrike
researchname_armour                    Armour
researchname_taskmanager               TaskManager
researchname_officer                   Officer
researchname_controller                Controller

research_notyetavailable               I haven't finished researching that program yet, you'll have to wait before you can use it.
research_nomorepossible                I don't think I can make any more improvements to this Program.  I think you should pick something else for me to work on.

research_squad                         I'll work on improving the Squad program.  I should be able to increase the number of squad members in a single squad.
# research_squad_v1                  Unused
research_squad_v2                      I've upgraded the Squad program that you are using.  You can now have 4 members in a squad.
research_squad_v3                      I've made some more progress on the Squad program...you'll now get 5 members to a squad.
research_squad_v4                      I've done as much as I can on the Squad program now.  You can now have 6 members.  I don't think I can get anymore out of this codebase.

research_laser                         I will try to improve the Laser program for you.  Hopefully I can get the range up a bit.
# research_laser_v1                  Unused
research_laser_v2                      I've made some improvements to the Lasers.  They should have a longer range now.
research_laser_v3                      I've improved the range of the Laser weapon again.
research_laser_v4                      These lasers are amazing now.  They're nearly 3 times longer ranged than the originals.  I'm pretty much done with this program now.

research_grenade                       I'll work on the Grenade program.  I should be able to increase the weapon range.
research_grenade_v1_kbd                You've found my research into the Grenade weapon!  This is fantastic.  While you are firing lasers with your squad, tap the Left Mouse Button to throw a Grenade.
research_grenade_v1_xin                You've found my research into the Grenade weapon!  This is fantastic.  Your squad can now throw Grenades.
research_grenade_v1_1mb_kbd            You've found my research into the Grenade weapon!  This is fantastic.  Shift click to throw a Grenade.
research_grenade_v2                    I've increased the throw range of the Grenade program.
research_grenade_v3                    I've made another increase to the Grenade throw range.
research_grenade_v4                    That's it, I'm done with the grenades now.  The throw range has been pushed up as far as it will go.

research_rocket                        I'll get to work on the Rockets.  Hopefully I can increase their maximum range a bit.
research_rocket_v1_kbd                 Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  While you are firing lasers with your squad, tap the Left Mouse Button to launch a Rocket.
research_rocket_v1_xin                 Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  Your squad can now fire Rockets.

research_rocket_v1_icons_kbd           Excellent, you've recovered the Rocket program.  Click on the Rocket icon next to your Squad in the Task Manager to select this Weapon.  While you are firing lasers with your squad, tap the Left Mouse Button to launch a Rocket.
research_rocket_v1_icons_xin           Excellent, you've recovered the Rocket program.  Select the Rocket icon next to your Squad in the Task Manager to select this Weapon.  Your squad can now fire Rockets.
research_rocket_v1_1mb_kbd             Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  Shift click to launch a Rocket.
research_rocket_v2                     The Rocket range has been increased.
research_rocket_v3                     I've managed to increase the Rocket range again.
research_rocket_v4                     The rocket range is at its maximum now.

research_airstrike                     I'll try to improve the AirStrike for you.
research_airstrike_v1                  Oh my goodness, this is excellent.  You've found my AirStrike program!  Select Airstrike as your Squad weapon by drawing the gesture, then throw the marker grenade to show the program where to bomb.
research_airstrike_v1_icons_kbd        Oh my goodness, this is excellent.  You've found my AirStrike program!  Click on the Airstrike icon in the Task Manager to select this Weapon, then throw the marker grenade to show the program where to bomb.
research_airstrike_v1_icons_xin        Oh my goodness, this is excellent.  You've found my AirStrike program!  Select the Airstrike icon in the Task Manager to select this Weapon, then throw the marker grenade to show the program where to bomb.
research_airstrike_v2                  I've improved the AirStrike program.  Each marker grenade will now summon two Invaders to drop their bombs.
research_airstrike_v3                  I've added another Invader to each AirStrike unit.
research_airstrike_v4                  There will now be four Invaders for every AirStrike marker.  I've done all I can here.

research_taskmanager                   I'll work on upgrading the Task Manager for you. It should be possible to run more programs simultaneously, with some tweaking.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
research_taskmanager_v3                I've made some changes to the Task Manager.  You can now run up to four programs simultaneously.
research_taskmanager_v4                I've upgraded the Task Manager.  Now you can run five programs at once.  This is already pushing the system to its limits, so I don't think I can improve it anymore.

research_darwinian                     I'll try to improve the basic Darwinian code template.  Hopefully I should be able to give them some decent weapons to defend themselves.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  I've upgraded the Darwinians so they can use Lasers!  This should help them defend against the Viral attack.
research_darwinian_v4                  I've given the Darwinians Grenades.  It's a bit scary, but they should have a chance against stronger foes now.  I've done all I can here.

research_engineer                      I'll work on improving the Engineers.  I think I can increase the number of spirits they can carry.
# research_engineer_v1               Unused
research_engineer_v2                   I've increased the number of spirits your Engineers can carry to 15.
research_engineer_v3                   I've increased the number of spirits your Engineers can carry to 25.
research_engineer_v4                   I've increased the spirit capacity of your Engineers to 30.  I've finished work on the Engineers now.

research_armour                        I'll do some more work on the Armour program.  I think I can improve the capacity of the Armour, and maybe the range of the Battle Cannon.
# research_armour_v1                 Unused
research_armour_v2                     I've upgraded the Armour program.  You can now fit 20 Darwinians inside.  I've also increased the range of the Battle Cannon.
research_armour_v3                     The Armour program has been upgraded again.  You can now fit 30 Darwinians inside.  And I've increased the range of the Battle Cannon to more than twice its original spec.
research_armour_v4                     I've increased the capacity of the Armour program to 40 Darwinians.  And the Battle Cannon is now at its maximum range.  I've done all I can here.

research_officer                       I will get to work improving the Officer program.  I should be able to give him some useful Orders which we can use to influence the Darwinians.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.  Right click near an officer to toggle his orders.
research_officer_v3_xin                I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.
research_officer_v3_1mb_kbd            I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.  Click and hold near an officer to toggle his orders.
research_officer_v4_kbd                I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.  Right click near an officer to toggle his orders.
research_officer_v4_xin                I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.
research_officer_v4_1mb_kbd            I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.  Click and hold near an officer to toggle his orders.

research_explanation_1                 I'm going to keep working on the programs you are using for a while...the Squads, Engineers etc.
research_explanation_2                 Most of them are still in very early stages of beta testing and I think I can improve all of them quite a bit with some work.
research_explanation_3_kbd             To see how I'm getting along, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then scroll left by pushing the mouse to the left of the screen, or by pressing [KEYCAMERALEFT].
research_explanation_3_xin             To see how I'm getting along, open the Task Manager, then scroll left.
research_explanation_3_icons_kbd       To see how I'm getting along, hold [KEYICONSTASKMANAGERDISPLAY], then scroll up by pushing the mouse to the top of the screen, or by pressing [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       To see how I'm getting along, open the Task Manager, then scroll up.
research_explanation_4                 From there you can set priorities for me...and I'll try to work on improving what you think is most important.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       Who the hell are you?  I thought I'd terminated all external connections.
tutorial_intro_2                       Ok fine, if you're going to stay you might as well make yourself useful.
tutorial_intro_3                       Welcome to Darwinia...what's left of it.
tutorial_intro_4                       Darwinia is the world's first ever Digital Theme Park - everything you see here is simulated on a computer.
tutorial_intro_5                       Unfortunately we're currently under attack by a major Viral Infection which has destroyed pretty much everything.
tutorial_intro_6                       This location is called the Pixel Mines.  Raw Polygons are mined from the Quarries in the distance and are refined into Primitives in this building.
tutorial_intro_7                       Essentially this entire location produces the raw materials we need to build things in Darwinia.
tutorial_intro_8                       Unfortunately it's all offline right now due to the viral infection.  I want you to help me fix that.
tutorial_intro_9                       We're going to need to wipe out the Viral infection, and rebuild the population of the native Darwinians.
tutorial_intro_10                      But let's start with the basics.

tutorial_1_kbd                         Firstly let's get to grips with the camera.Use the [KEYCAMERAFORWARDS],[KEYCAMERALEFT],[KEYCAMERABACKWARDS],[KEYCAMERARIGHT] keys to move the camera around.
tutorial_1_xin                         Firstly let's get to grips with the camera. Use the left stick to move the camera around.
tutorial_2_kbd                         To change the camera's height, scroll your middle mouse button up and down.  Or you can press [KEYCAMERAUP] and [KEYCAMERADOWN].
tutorial_3                             Good stuff.  Now the first thing I want you to do is to destroy these evil Red Virii.
tutorial_3b                            We will then harvest the Souls from their dead bodies and convert them into some perky new Darwinians.
tutorial_4                             In order to destroy those Virii, we will need to create an armed offensive unit called a SQUAD.
tutorial_4b_kbd                        To create things in Darwinia you draw gestures in the Task Manager.  Hold the [KEYGESTURESTASKMANAGERDISPLAY] key to bring up the Task Manager.
tutorial_4b_xin                        To create things in Darwinia you draw gestures in the Task Manager.
tutorial_5                             With the Task Manager open, draw this gesture to create a SQUAD.  You don't need to be very accurate, just draw it fast.
tutorial_5_kbd                         While holding [KEYGESTURESTASKMANAGERDISPLAY], draw this gesture to create a SQUAD.  You don't need to be very accurate, just draw it fast.
tutorial_5_error                       Whoops, that's the wrong gesture.  Try again.
tutorial_7_kbd                         Excellent.  Now in order to place the SQUAD into the world, click inside the highlighted starting area.
tutorial_7_xin                         Excellent.  Now in order to place the SQUAD into the world, select the highlighted starting area.
tutorial_8_kbd                         Squads need to be directly controlled.  Click the Left Mouse Button to move them around the landscape.
tutorial_9_kbd                         Hold the Right Mouse Button to fire their lasers.
tutorial_10_kbd                        They can also throw grenades.  Hold the Right Mouse Button to fire lasers, then tap the Left Mouse Button to throw a grenade.
tutorial_11                            Looks like you've got the hang of it.  Take your squad over to those evil Red Virii and kill them!
tutorial_12                            Fantastic, you've destroyed half of them already.
tutorial_13                            You're very nearly done.  Just a few more Virii remain.

