MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	2
	Difficulty	intermediate
	SolarPanel          6       3443.58 1361.13 255     -0.00   0.99    0       11      
	SolarPanel          7       3765.71 1352.74 255     -0.00   0.98    0       9       
	SolarPanel          8       3697.44 1535.14 255     -0.00   0.99    0       36      
	SolarPanel          9       3575.38 1458.97 255     0.00    0.98    0       8       
	SolarPanel          10      3567.31 1265.57 255     0.00    0.96    0       11      
	SolarPanel          11      3585.63 1357.76 255     -0.00   0.99    0       9       
	SolarPanel          12      1072.88 3610.87 255     -0.00   0.98    0       16      
	SolarPanel          13      1082.29 3737.62 255     -0.00   0.94    0       12      
	SolarPanel          14      991.45  3690.46 255     -0.00   0.98    0       12      
	SolarPanel          15      1198.28 3736.39 255     0.00    0.94    0       13      
	SolarPanel          16      1225.87 3573.45 255     -0.00   0.96    0       18      
	SolarPanel          17      1121.95 3874.90 255     -0.00   0.99    0       13      
	PowerSplitter       18      1441.68 3596.61 255     -0.99   0.16    0       -1      21  22  
	FuelGenerator       19      4032.07 3201.80 1       -0.46   0.89    0           60 
	FuelGenerator       20      2959.01 4490.61 1       1.00    0.00    0           68 
	Pylon               21      1413.64 3594.00 0       -0.08   -1.00   0       23      
	Pylon               22      1415.00 3607.89 1       0.12    0.99    0       26      
	Pylon               23      1164.90 3238.91 255     0.95    -0.30   0       24      
	Pylon               24      1010.64 2635.64 255     -0.90   0.43    0       27      
	Pylon               26      1503.29 3936.80 255     1.00    0.00    0       28      
	PylonEnd            27      1005.59 2134.68 255     0.62    0.78    0       5       
	PylonEnd            25      2932.28 4424.50 255     -0.28   -0.96   0       20      
	Pylon               28      2285.49 4329.03 255     0.90    -0.43   0       25      
	FuelPipe            33      999.61  1836.68 0       0.99    -0.15   0           34 
	FuelPipe            34      1087.25 1654.75 0       1.00    0.05    0           35 
	FuelPipe            35      1013.98 1469.92 0       1.00    0.05    0            1 
	PowerSplitter       36      3224.00 1651.95 255     0.50    -0.87   0       -1      38  37  
	Pylon               37      3247.74 1633.48 1       0.73    0.68    0       49      
	Pylon               38      3235.84 1627.23 0       -0.99   -0.14   0       39      
	Pylon               39      2902.39 1519.53 255     1.00    0.00    0       40      
	Pylon               40      2825.00 1225.85 255     0.76    -0.64   0       42      
	PylonEnd            42      2250.57 1152.81 255     1.00    0.02    0       4       
	FuelPipe            45      1973.19 1039.21 0       1.00    0.00    0           46 
	FuelPipe            46      1775.34 1001.79 0       1.00    0.00    0           47 
	FuelPipe            47      1577.68 980.71  0       1.00    0.00    0           48 
	FuelPipe            48      1375.35 966.69  0       1.00    0.00    0            3 
	Pylon               49      3486.62 1925.97 255     0.62    -0.78   0       50      
	Pylon               50      3738.39 2299.20 255     0.58    -0.81   0       51      
	Pylon               51      3941.47 2574.68 255     0.94    -0.34   0       52      
	PylonEnd            52      4010.98 3137.69 255     -0.37   -0.93   0       19      
	EscapeRocket        53      3805.44 3966.80 1       -0.99   0.16    0           -1   0.00      0     -1      0
	FuelStation         54      3906.55 3873.77 1       0.68    -0.73   0           53 
	FuelStation         55      3673.81 3920.25 1       -0.95   -0.30   0           53 
	FuelStation         56      3836.48 4105.97 1       0.27    0.96    0           53 
	FuelPipe            60      3983.49 3372.12 1       1.00    0.00    0           61 
	FuelPipe            61      4030.03 3559.62 1       1.00    0.00    0           62 
	FuelPipe            62      4060.07 3746.47 1       1.00    0.00    0           54 
	FuelPipe            68      3100.95 4336.59 1       1.00    0.00    0           69 
	FuelPipe            69      3288.20 4272.24 1       1.00    0.00    0           70 
	FuelPipe            70      3480.82 4211.12 1       1.00    0.00    0           71 
	FuelPipe            71      3676.84 4226.73 1       1.00    0.00    0           56 
	TrunkPort           72      1376.66 1668.62 0       0.02    -1.00   1       -1      
	TrunkPort           73      3403.25 4012.82 1       0.58    -0.81   1       -1      
	SolarPanel          76      2689.90 2924.51 255     -0.00   0.97    0       78      
	SolarPanel          77      2776.53 2883.77 255     0.00    0.95    0       78      
	SolarPanel          78      2696.76 2832.22 255     -0.00   0.98    0       85      
	SolarPanel          79      2615.73 2339.27 255     -0.00   1.00    0       81      
	SolarPanel          80      2718.84 2294.81 255     0.00    1.00    0       81      
	SolarPanel          81      2706.34 2390.24 255     0.00    0.99    0       85      
	SolarPanel          82      2039.69 2676.32 255     0.00    0.98    0       84      
	SolarPanel          83      2160.57 2599.91 255     -0.00   1.00    0       84      
	SolarPanel          84      2203.44 2694.35 255     0.00    0.98    0       85      
	PowerSplitter       85      2504.93 2660.15 255     1.00    -0.10   0       -1      90  89  
	SpawnPoint          86      2280.10 2380.00 255     0.50    0.87    0       
	SpawnPoint          88      2403.36 3004.04 255     -0.28   -0.96   0       
	Pylon               89      2532.46 2649.72 0       -0.27   -0.96   0       91      
	Pylon               90      2536.17 2663.41 1       0.27    0.96    0       93      
	Pylon               91      2363.74 2291.38 255     -0.70   0.71    0       92      
	Pylon               92      2017.08 2156.71 255     0.90    -0.44   0       108     
	Pylon               93      2384.63 3121.61 255     0.99    -0.12   0       94      
	Pylon               94      2465.91 3406.26 255     0.88    -0.48   0       107     
	AITarget            95      2125.16 2653.98 255     1.00    0.00    0       -1    0.00 1     
	AITarget            96      2654.78 2369.37 255     1.00    0.00    0       -1    0.00 1     
	AITarget            97      2698.13 2887.29 255     1.00    0.00    0       -1    0.00 1     
	AITarget            99      2308.34 2425.56 255     1.00    0.00    0       -1    0.00 1     
	SpawnPointMaster    101     3319.60 2823.02 255     1.00    0.00    0       88    86    
	AITarget            100     2391.03 2953.69 255     1.00    0.00    0       -1    0.00 1     
	AITarget            74      1156.23 3711.93 255     1.00    0.00    0       -1    0.00 1     
	AITarget            75      3622.53 1401.33 255     1.00    0.00    0       -1    0.00 1     
	FuelGenerator       41      3139.50 3652.35 1       -0.98   0.21    0          118 
	FuelGenerator       67      2116.85 1361.07 0       1.00    0.00    0          112 
	PylonEnd            107     3077.36 3657.09 255     -1.00   -0.09   0       41      
	PylonEnd            108     2083.34 1404.98 255     0.76    0.64    0       67      
	FuelPipe            112     1902.36 1378.84 0       0.98    -0.20   0          113 
	FuelPipe            113     1755.06 1245.77 0       0.90    -0.43   0          114 
	FuelPipe            114     1602.57 1135.70 0       -0.80   0.60    0          115 
	FuelPipe            115     1520.38 1317.11 0       0.54    0.84    0            2 
	FuelPipe            118     3031.32 3828.83 1       0.99    0.15    0          119 
	FuelPipe            119     3202.93 3870.71 1       1.00    0.00    0          120 
	FuelPipe            120     3378.59 3794.38 1       0.95    -0.30   0          121 
	FuelPipe            121     3572.03 3752.29 1       1.00    0.00    0           55 
	RestrictionZone     122     3756.30 3858.81 255     1.00    0.00    0       1054.28    0
	RestrictionZone     123     1100.47 1149.29 255     1.00    0.00    0       1118.80    0
	Tree                124     3884.77 1115.43 255     1.00    0.00    0       96.15   3.79    0.34    1.21    6       0       -15782551   -11474091   0       0       0       
	Tree                125     3814.16 1090.95 255     1.00    0.00    0       82.22   3.79    0.34    1.21    6       37213   -15782551   -11474091   0       0       0       
	Tree                126     3766.72 1053.83 255     1.00    0.00    0       92.14   3.79    0.34    1.21    6       37232   -15782551   -11474091   0       0       0       
	Tree                127     3854.70 1213.65 255     1.00    0.00    0       102.06  3.79    0.34    1.21    6       37253   -15782551   -11474091   0       0       0       
	Tree                128     3905.20 1022.55 255     1.00    0.00    0       102.52  3.79    0.34    1.21    6       37284   -15782551   -11474091   0       0       0       
	Tree                129     3941.36 1122.20 255     1.00    0.00    0       83.60   3.79    0.34    1.21    6       37302   -15782551   -11474091   0       0       0       
	Tree                130     3161.81 904.50  255     1.00    0.00    0       103.44  3.79    0.34    1.21    6       37342   -15782551   -11474091   0       0       0       
	Tree                131     768.85  857.82  255     1.00    0.00    0       94.90   3.79    0.34    1.21    6       37412   -15782551   -11474091   0       0       0       
	Tree                132     840.48  854.14  255     1.00    0.00    0       85.44   3.79    0.34    1.21    6       37421   -15782551   -11474091   0       0       0       
	Tree                133     884.50  870.46  255     1.00    0.00    0       95.36   3.79    0.34    1.21    6       37442   -15782551   -11474091   0       0       0       
	Tree                134     855.86  977.58  255     1.00    0.00    0       85.90   3.79    0.34    1.21    6       37451   -15782551   -11474091   0       0       0       
	Tree                135     828.01  963.26  255     1.00    0.00    0       85.90   3.79    0.34    1.21    6       37451   -15782551   -11474091   0       0       0       
	Tree                136     770.18  983.87  255     1.00    0.00    0       86.36   3.79    0.34    1.21    6       37482   -15782551   -11474091   0       0       0       
	Tree                137     736.00  908.74  255     1.00    0.00    0       86.36   3.79    0.34    1.21    6       37482   -15782551   -11474091   0       0       0       
	Tree                138     680.00  926.56  255     1.00    0.00    0       105.74  3.79    0.34    1.21    6       37491   -15782551   -11474091   0       0       0       
	Tree                139     2121.88 3122.04 255     1.00    0.00    0       97.66   3.79    0.34    1.21    6       37592   -15782551   -11474091   0       0       0       
	Tree                140     2092.23 3056.87 255     1.00    0.00    0       97.66   3.79    0.34    1.21    6       37592   -15782551   -11474091   0       0       0       
	Tree                141     2051.63 3128.70 255     1.00    0.00    0       88.20   3.79    0.34    1.21    6       37601   -15782551   -11474091   0       0       0       
	Tree                142     2042.24 3034.26 255     1.00    0.00    0       88.20   3.79    0.34    1.21    6       37601   -15782551   -11474091   0       0       0       
	Tree                143     2027.90 2938.76 255     1.00    0.00    0       107.59  3.79    0.34    1.21    6       37610   -15782551   -11474091   0       0       0       
	Tree                144     1969.43 2974.11 255     1.00    0.00    0       98.12   3.79    0.34    1.21    6       37622   -15782551   -11474091   0       0       0       
	Tree                145     3162.34 1891.08 255     1.00    0.00    0       98.58   3.79    0.34    1.21    6       37650   -15782551   -11474091   0       0       0       
	Tree                146     3096.20 2081.17 255     1.00    0.00    0       89.12   3.79    0.34    1.21    6       37662   -15782551   -11474091   0       0       0       
	Tree                147     3075.57 2035.82 255     1.00    0.00    0       89.12   3.79    0.34    1.21    6       37662   -15782551   -11474091   0       0       0       
	Tree                148     3056.77 2075.68 255     1.00    0.00    0       108.51  3.79    0.34    1.21    6       37671   -15782551   -11474091   0       0       0       
	Tree                149     1601.70 3353.40 255     1.00    0.00    0       99.50   3.79    0.34    1.21    6       37711   -15782551   -11474091   0       0       0       
	Tree                150     1577.57 3427.86 255     1.00    0.00    0       99.50   3.79    0.34    1.21    6       37711   -15782551   -11474091   0       0       0       
	Tree                151     1634.69 3472.90 255     1.00    0.00    0       90.04   3.79    0.34    1.21    6       37720   -15782551   -11474091   0       0       0       
	Tree                152     1620.37 3441.43 255     1.00    0.00    0       90.04   3.79    0.34    1.21    6       37720   -15782551   -11474091   0       0       0       
	Tree                153     1572.54 3387.58 255     1.00    0.00    0       109.43  3.79    0.34    1.21    6       37732   -15782551   -11474091   0       0       0       
	Tree                154     1574.80 3486.55 255     1.00    0.00    0       99.96   3.79    0.34    1.21    6       37741   -15782551   -11474091   0       0       0       
	Tree                155     4192.71 4340.11 255     1.00    0.00    0       100.42  3.79    0.34    1.21    6       37772   -15782551   -11474091   0       0       0       
	Tree                156     4213.15 4257.56 255     1.00    0.00    0       90.96   3.79    0.34    1.21    6       37781   -15782551   -11474091   0       0       0       
	Tree                157     4162.17 4232.76 255     1.00    0.00    0       90.96   3.79    0.34    1.21    6       37781   -15782551   -11474091   0       0       0       
	Tree                158     4135.37 4221.34 255     1.00    0.00    0       110.35  3.79    0.34    1.21    6       37790   -15782551   -11474091   0       0       0       
	Tree                159     4135.26 4147.30 255     1.00    0.00    0       110.35  3.79    0.34    1.21    6       37790   -15782551   -11474091   0       0       0       
	Tree                160     4199.40 4093.67 255     1.00    0.00    0       100.88  3.79    0.34    1.21    6       37799   -15782551   -11474091   0       0       0       
	Tree                161     4108.36 4128.40 255     1.00    0.00    0       91.42   3.79    0.34    1.21    6       37812   -15782551   -11474091   0       0       0       
	Tree                162     4046.56 4240.81 255     1.00    0.00    0       91.42   3.79    0.34    1.21    6       37812   -15782551   -11474091   0       0       0       
	Tree                163     4013.33 4322.12 255     1.00    0.00    0       81.96   3.79    0.34    1.21    6       37821   -15782551   -11474091   0       0       0       
	Tree                164     4164.86 3682.07 255     1.00    0.00    0       91.88   3.79    0.34    1.21    6       37842   -15782551   -11474091   0       0       0       
	Tree                165     4147.44 3610.31 255     1.00    0.00    0       91.88   3.79    0.34    1.21    6       37842   -15782551   -11474091   0       0       0       
	Tree                166     4170.51 3600.59 255     1.00    0.00    0       82.42   3.79    0.34    1.21    6       37851   -15782551   -11474091   0       0       0       
	Tree                167     4119.52 3656.32 255     1.00    0.00    0       101.81  3.79    0.34    1.21    6       37860   -15782551   -11474091   0       0       0       
	AIObjectiveMarker   87      2118.69 2672.70 1       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   98      2675.90 2359.13 1       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   104     2726.12 2873.56 1       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   105     2726.83 2879.46 0       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   106     2671.83 2359.20 0       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   168     2124.65 2668.05 0       1.00    0.00    0       117.03   -1   0   0
	AIObjectiveMarker   169     1133.29 3713.04 1       1.00    0.00    0       234.70   -1   0   0
	AIObjectiveMarker   170     1129.94 3716.09 0       1.00    0.00    0       234.70   -1   0   0
	AIObjectiveMarker   171     3608.81 1405.59 1       1.00    0.00    0       228.65   -1   0   0
	AIObjectiveMarker   172     3616.78 1403.15 0       1.00    0.00    0       228.65   -1   0   0
	AITarget            102     1084.42 1138.36 255     1.00    0.00    0       -1    0.00 1     
	AITarget            103     1322.01 1136.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            173     1219.47 1362.93 255     1.00    0.00    0       -1    0.00 1     
	AITarget            174     3916.57 4005.66 255     1.00    0.00    0       -1    0.00 1     
	AITarget            175     3693.44 4025.45 255     1.00    0.00    0       -1    0.00 1     
	AITarget            176     3797.11 3865.05 255     1.00    0.00    0       -1    0.00 1     
	AITarget            177     3435.91 3971.64 255     1.00    0.00    0       -1    0.00 1     
	AITarget            178     1388.32 1596.80 255     1.00    0.00    0       -1    0.00 1     
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player1         3675.21  575.00 4663.39 -0.30 -0.35 -0.89 -0.11 0.94 -0.33
	player0          674.82  576.36 1105.03 0.79 -0.41 0.46 0.35 0.91 0.21
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
