MultiwiniaOptions_StartDefinition
	GameTypes	RocketRiot 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Difficulty	basic
	FuelGenerator       4       2908.07 3837.92 0       0.12    -0.99   0           19 
	FuelGenerator       5       4014.65 2700.39 2       1.00    0.00    0           24 
	FuelGenerator       6       3549.80 1314.09 2       -0.99   -0.14   0           28 
	FuelGenerator       7       1958.90 1105.95 1       0.46    -0.89   0           33 
	FuelGenerator       8       1094.74 2172.35 1       0.85    0.52    0           35 
	FuelGenerator       9       2299.74 3194.08 0       -0.67   -0.75   0           17 
	FuelGenerator       10      3380.37 2359.38 2       0.66    0.75    0           26 
	FuelGenerator       11      1874.80 1840.34 1       0.99    0.15    0           37 
	FuelStation         12      2052.81 3972.19 0       -0.63   0.78    0            2 
	FuelStation         13      2140.75 3748.06 0       -0.28   -0.96   0            2 
	FuelStation         14      2290.99 3928.08 0       1.00    0.10    0            2 
	FuelPipe            15      1749.16 3561.73 0       1.00    0.00    0           20 
	FuelPipe            16      1915.30 3820.81 0       1.00    0.00    0           12 
	FuelPipe            17      2192.62 3421.66 0       1.00    0.00    0           18 
	FuelPipe            18      2272.67 3592.41 0       1.00    0.00    0           13 
	FuelPipe            19      2656.72 3892.18 0       1.00    0.00    0          112 
	FuelStation         21      4111.84 1972.25 2       0.90    0.43    0            1 
	FuelStation         22      3861.75 1945.70 2       -1.00   0.04    0            1 
	FuelStation         23      3946.29 1782.62 2       -0.55   -0.84   0            1 
	FuelPipe            24      3914.18 2458.29 2       1.00    0.00    0          114 
	FuelPipe            25      4114.10 2180.63 2       1.00    0.00    0           21 
	FuelPipe            26      3521.98 2152.01 2       1.00    0.00    0           27 
	FuelPipe            27      3710.01 2083.02 2       1.00    0.00    0           22 
	FuelPipe            28      3689.46 1512.04 2       1.00    0.00    0           29 
	FuelPipe            29      3868.06 1596.88 2       1.00    0.00    0           23 
	FuelStation         30      1261.04 1342.15 1       0.12    -0.99   0            0 
	FuelStation         31      1123.00 1533.37 1       -0.96   0.29    0            0 
	FuelStation         32      1367.95 1538.75 1       0.92    0.39    0            0 
	FuelPipe            33      1716.93 1096.60 1       1.00    0.00    0          116 
	FuelPipe            34      1418.20 1205.86 1       1.00    0.00    0           30 
	FuelPipe            35      1168.79 1914.84 1       1.00    0.00    0           36 
	FuelPipe            36      1087.25 1733.46 1       1.00    0.00    0           31 
	FuelPipe            37      1684.78 1693.33 1       1.00    0.00    0           38 
	FuelPipe            38      1481.07 1709.01 1       1.00    0.00    0           32 
	PowerSplitter       39      2501.53 2493.75 255     1.00    0.00    0       -1      44  42  40  
	Pylon               40      2527.49 2502.44 0       0.07    1.00    0       41      
	Pylon               41      2595.07 2802.26 255     -0.95   -0.30   0       113     
	Pylon               42      2532.21 2490.69 2       0.76    -0.64   0       43      
	Pylon               43      2838.64 2249.11 255     0.27    0.96    0       115     
	Pylon               44      2521.07 2491.59 1       -0.83   -0.56   0       45      
	Pylon               45      2197.31 2375.46 255     0.85    -0.52   0       117     
	PylonEnd            46      3316.37 2359.27 255     -1.00   0.04    0       10      
	PylonEnd            47      2368.55 3202.95 255     1.00    0.00    0       9       
	PylonEnd            48      1934.09 1858.15 255     0.88    0.48    0       11      
	SolarPanel          49      2365.30 2592.54 255     0.00    1.00    0       39      
	SolarPanel          50      2338.89 2736.71 255     -0.00   0.99    0       49      
	SolarPanel          51      2508.53 2332.55 255     0.00    1.00    0       39      
	SolarPanel          52      2336.90 2238.54 255     -0.00   1.00    0       51      
	SolarPanel          53      2684.29 2591.12 255     -0.00   0.99    0       39      
	SolarPanel          54      2811.62 2500.68 255     0.00    1.00    0       53      
	PowerSplitter       56      3552.94 3356.71 255     1.00    0.00    0       -1      55  57  
	Pylon               55      3575.08 3355.51 0       -0.95   0.30    0       63      
	Pylon               57      3587.66 3350.14 2       0.85    -0.52   0       65      
	SolarPanel          58      3616.59 3564.53 255     0.00    0.96    0       56      
	SolarPanel          59      3761.95 3436.30 255     0.00    0.95    0       56      
	SolarPanel          60      3808.49 3625.81 255     -0.00   0.98    0       58      
	SolarPanel          61      3934.02 3466.40 255     0.00    0.92    0       59      
	SolarPanel          62      3703.23 3772.65 255     -0.00   0.95    0       58      
	Pylon               63      3335.57 3514.91 255     0.80    0.61    0       64      
	Pylon               64      3277.94 3680.39 255     -0.74   -0.68   0       67      
	Pylon               65      3675.60 3116.81 255     0.54    0.84    0       66      
	Pylon               66      3899.92 2958.96 255     -0.88   -0.47   0       68      
	PylonEnd            67      2926.12 3783.92 255     1.00    0.00    0       4       
	PylonEnd            68      3963.91 2747.40 255     -0.74   0.68    0       5       
	PylonEnd            69      1141.81 2210.04 255     0.58    0.81    0       8       
	PylonEnd            70      1584.90 3339.08 255     0.22    -0.98   0       3       
	PylonEnd            71      1978.91 1176.27 255     0.70    0.72    0       7       
	PylonEnd            72      3486.68 1294.26 255     -0.95   -0.30   0       6       
	SolarPanel          73      2406.70 919.57  255     -0.00   0.99    0       74      
	SolarPanel          74      2532.96 1013.82 255     0.00    0.91    0       84      
	SolarPanel          75      2589.75 928.04  255     -0.00   0.96    0       74      
	SolarPanel          76      2519.15 671.58  255     0.00    0.99    0       75      
	SolarPanel          77      2730.23 746.64  255     0.00    0.95    0       75      
	SolarPanel          78      588.64  2907.17 255     0.00    0.98    0       79      
	SolarPanel          79      704.04  2777.95 255     0.00    0.98    0       81      
	SolarPanel          80      698.37  3010.95 255     -0.00   0.99    0       81      
	SolarPanel          81      832.54  2889.12 255     -0.00   0.99    0       83      
	SolarPanel          82      884.13  3028.50 255     0.00    0.96    0       81      
	PowerSplitter       83      1008.60 2782.20 255     1.00    0.00    0       -1      92  91  
	PowerSplitter       84      2445.44 1339.50 255     1.00    0.00    0       -1      86  85  
	Pylon               85      2482.31 1336.07 2       1.00    0.00    0       87      
	Pylon               86      2467.68 1335.10 1       -0.99   -0.14   0       89      
	Pylon               87      2864.86 1437.97 255     0.27    -0.96   0       88      
	Pylon               88      3185.16 1438.89 255     -0.23   -0.97   0       72      
	Pylon               89      2121.21 1309.80 255     0.32    -0.95   0       71      
	Pylon               91      1044.70 2771.29 1       0.66    -0.75   0       93      
	Pylon               92      1043.66 2783.15 0       0.50    0.87    0       95      
	Pylon               93      1313.42 2626.58 255     -0.90   -0.43   0       94      
	Pylon               94      1275.92 2391.53 255     -0.98   0.19    0       69      
	Pylon               95      1231.45 3004.83 255     -0.90   0.44    0       96      
	Pylon               96      1333.66 3302.41 255     0.76    -0.64   0       70      
	TrunkPort           90      1974.94 4192.27 0       0.50    -0.87   1       -1      
	TrunkPort           97      4360.23 1717.86 2       -0.82   0.57    1       -1      
	TrunkPort           98      974.09  1152.36 1       0.62    0.78    1       -1      
	AITarget            106     2519.23 907.61  255     1.00    0.00    0       -1    0.00 1     
	AITarget            107     2711.55 2515.86 255     1.00    0.00    0       -1    0.00 1     
	AITarget            108     2397.65 2332.75 255     1.00    0.00    0       -1    0.00 1     
	AITarget            109     2394.88 2674.67 255     1.00    0.00    0       -1    0.00 1     
	AITarget            110     3720.94 3603.54 255     1.00    0.00    0       -1    0.00 1     
	AITarget            111     733.69  2943.50 255     1.00    0.00    0       -1    0.00 1     
	FuelPipe            112     2467.78 3823.72 0       1.00    0.00    0           14 
	FuelPipe            20      1723.15 3759.73 0       1.00    0.00    0           16 
	Pylon               113     2513.08 2954.31 255     -0.74   -0.68   0       47      
	FuelPipe            114     3944.57 2268.69 2       1.00    0.00    0           25 
	Pylon               115     3090.86 2415.35 255     0.36    -0.93   0       46      
	FuelPipe            116     1590.01 1244.32 1       1.00    0.00    0           34 
	Pylon               117     2156.77 1969.41 255     -0.77   0.64    0       48      
	RestrictionZone     118     4025.40 1877.01 255     1.00    0.00    0       753.66    0
	RestrictionZone     119     1238.47 1405.93 255     1.00    0.00    0       753.66    0
	RestrictionZone     120     2159.98 3953.90 255     1.00    0.00    0       753.66    0
	AITarget            121     4310.98 1755.56 255     1.00    0.00    0       -1    0.00 1     
	AITarget            122     3869.82 1827.01 255     1.00    0.00    0       -1    0.00 1     
	AITarget            123     3983.98 1978.53 255     1.00    0.00    0       -1    0.00 1     
	AITarget            124     4101.81 1808.72 255     1.00    0.00    0       -1    0.00 1     
	AITarget            125     1012.98 1213.53 255     1.00    0.00    0       -1    0.00 1     
	AITarget            126     1146.34 1407.47 255     1.00    0.00    0       -1    0.00 1     
	AITarget            127     1348.25 1419.70 255     1.00    0.00    0       -1    0.00 1     
	AITarget            128     1250.18 1579.90 255     1.00    0.00    0       -1    0.00 1     
	AITarget            129     2016.13 4138.24 255     1.00    0.00    0       -1    0.00 1     
	AITarget            130     2170.27 4025.73 255     1.00    0.00    0       -1    0.00 1     
	AITarget            131     2031.88 3832.04 255     1.00    0.00    0       -1    0.00 1     
	AITarget            132     2254.27 3807.98 255     1.00    0.00    0       -1    0.00 1     
	AIObjectiveMarker   99      2360.02 2660.78 2       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   100     2358.74 2658.67 0       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   101     2361.35 2660.54 1       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   102     2421.55 2291.76 2       1.00    0.00    0       127.07   -1   0   0
	AIObjectiveMarker   103     2421.55 2291.76 0       1.00    0.00    0       127.07   -1   0   0
	AIObjectiveMarker   104     2421.55 2291.76 1       1.00    0.00    0       127.07   -1   0   0
	AIObjectiveMarker   105     2752.66 2535.02 2       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   133     2752.66 2535.02 0       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   134     2752.66 2535.02 1       1.00    0.00    0       100.00   -1   0   0
	AIObjectiveMarker   135     3739.14 3564.96 0       1.00    0.00    0       238.88   -1   0   0
	AIObjectiveMarker   136     2567.72 842.84  1       1.00    0.00    0       216.99   -1   0   0
	AIObjectiveMarker   137     2565.73 842.62  2       1.00    0.00    0       216.99   -1   0   0
	AIObjectiveMarker   138     752.57  2933.11 0       1.00    0.00    0       198.06   -1   0   0
	AIObjectiveMarker   139     746.01  2944.79 1       1.00    0.00    0       198.06   -1   0   0
	AIObjectiveMarker   140     3734.06 3568.68 2       1.00    0.00    0       238.88   -1   0   0
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0         2149.83  891.39 5090.54 0.05 -0.47 -0.88 0.03 0.88 -0.47
	player1          481.58  573.83 1108.74 0.81 -0.37 0.45 0.32 0.93 0.18
	player2         4661.06  603.92 1211.03 -0.69 -0.44 0.57 -0.34 0.90 0.28
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
