MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Effects	snow	
	LevelOptions	trunkportreinforcements 100	
	PlayTime	15
	AttackingTeams	1 2 
	Difficulty	intermediate
	AITarget            108     1711.20 1635.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            109     1089.20 1631.36 255     1.00    0.00    0       -1    0.00 1     
	AITarget            112     1240.68 1359.10 255     1.00    0.00    0       -1    0.00 1     
	AITarget            113     1361.97 1190.23 255     1.00    0.00    0       -1    0.00 1     
	AITarget            114     1505.60 1318.71 255     1.00    0.00    0       -1    0.00 1     
	AITarget            115     1375.70 1448.20 255     1.00    0.00    0       -1    0.00 1     
	AITarget            116     1560.55 1162.79 255     1.00    0.00    0       -1    0.00 1     
	AITarget            117     1222.83 1162.20 255     1.00    0.00    0       -1    0.00 1     
	AITarget            118     1228.25 1471.43 255     1.00    0.00    0       -1    0.00 1     
	AITarget            119     1552.84 1496.91 255     1.00    0.00    0       -1    0.00 1     
	AIObjective         120     74.28   1260.77 1       1.00    0.00    0        122
	AIObjectiveMarker   121     1036.57 1307.97 255     1.00    0.00    0       100.00  120   0   0
	AIObjective         122     71.08   1403.45 255     1.00    0.00    0         -1
	AIObjectiveMarker   123     1555.74 1148.40 255     1.00    0.00    0       100.00  122   0   0
	AIObjectiveMarker   124     1248.48 1467.45 255     1.00    0.00    0       100.00  122   0   0
	AIObjectiveMarker   125     1563.12 1505.50 255     1.00    0.00    0       100.00  122   0   0
	AIObjective         126     2438.09 1022.08 2       1.00    0.00    0        122
	AIObjectiveMarker   127     1738.34 1369.48 255     1.00    0.00    0       100.00  126   0   0
	AIObjective         128     1312.84 2413.59 0       1.00    0.00    0        147
	AIObjectiveMarker   129     1450.90 1773.10 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   130     1291.69 1779.03 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   131     1651.86 1763.73 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   132     1799.55 1626.52 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   133     1797.56 1476.64 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   134     1806.68 1275.91 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   135     1804.79 1119.09 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   136     1608.23 915.19  255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   137     1419.29 897.68  255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   138     1221.65 897.91  255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   139     1091.16 898.07  255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   140     928.25  1027.42 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   141     929.27  1197.49 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   142     927.11  1403.14 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   143     1084.43 1634.25 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   144     1657.14 1606.86 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   145     1689.18 1029.35 255     1.00    0.00    0       100.00  128   0   0
	AIObjectiveMarker   146     1387.17 1048.40 255     1.00    0.00    0       100.00  147   0   0
	AIObjective         147     1462.75 2433.29 0       1.00    0.00    0        151
	AIObjectiveMarker   148     1410.35 1611.56 255     1.00    0.00    0       100.00  147   0   0
	AIObjectiveMarker   149     1097.08 1365.84 255     1.00    0.00    0       100.00  147   0   0
	AIObjectiveMarker   150     1656.58 1323.05 255     1.00    0.00    0       100.00  147   0   0
	AIObjective         151     1605.45 2432.89 255     1.00    0.00    0         -1
	AIObjectiveMarker   152     1571.24 1491.39 255     1.00    0.00    0       100.00  151   0   0
	AIObjectiveMarker   153     1250.82 1454.40 255     1.00    0.00    0       100.00  151   0   0
	AIObjectiveMarker   154     1544.07 1151.31 255     1.00    0.00    0       100.00  151   0   0
	AITarget            155     2078.44 1381.54 255     1.00    0.00    0       -1    0.00 0     
	AITarget            156     1907.39 823.92  255     1.00    0.00    0       -1    0.00 0     
	AITarget            157     1328.13 666.34  255     1.00    0.00    0       -1    0.00 0     
	AITarget            158     853.53  798.70  255     1.00    0.00    0       -1    0.00 0     
	AITarget            159     634.55  1418.54 255     1.00    0.00    0       -1    0.00 0     
	AITarget            160     914.98  1831.88 255     1.00    0.00    0       -1    0.00 0     
	AITarget            161     1374.26 2045.41 255     1.00    0.00    0       -1    0.00 0     
	AITarget            162     1919.31 1860.06 255     1.00    0.00    0       -1    0.00 0     
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
CameraMounts_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        0  1696.7  1661.8     20    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1753.8  1467.3     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1737.5  1224.7     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1696.1  1007.6     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1500.6   974.3     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1293.1   972.7     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1100.3   987.2     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0   983.1  1124.4     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0   961.2  1423.1     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1050.1  1578.0     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1194.9  1692.6     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1387.8  1684.4     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1531.4  1443.7     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1234.2  1440.5     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1524.9  1174.7     15    0      -1   106.6     0.0     0.0   -1   -1    0
	Darwinian        0  1235.9  1200.1     30    0      -1    87.6     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

