MultiwiniaOptions_StartDefinition
	GameTypes	Blitzkrieg 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	3
	LevelOptions	airstrikecapturezones 3	
	Difficulty	intermediate
	MultiwiniaZone      5       2119.10 913.00  255     1.00    0.00    0       100.00   6
	MultiwiniaZone      6       1856.20 1539.05 255     1.00    0.00    0       100.00   4   3
	TrunkPort           7       1902.91 3542.65 0       -0.74   -0.68   1       -1      
	TrunkPort           8       397.79  1045.72 2       0.90    -0.43   1       -1      
	TrunkPort           9       3474.41 1339.33 1       -0.55   0.84    1       -1      
	LaserFence          10      2118.95 3740.23 0       0.85    0.52    0       17      1.00  2
	LaserFence          11      1998.10 3053.88 0       0.85    -0.52   0       10      1.00  2
	LaserFence          12      1733.72 2765.47 0       -0.03   -1.00   0       11      1.50  2
	LaserFence          13      1470.11 2742.16 255     -0.08   -1.00   0       -1      1.50  0
	LaserFence          14      1161.99 2857.79 0       -0.85   -0.53   0       13      1.00  2
	LaserFence          15      1199.55 3333.17 0       -0.77   0.64    0       14      1.00  2
	LaserFence          16      1679.95 3628.85 0       -0.42   0.91    0       15      1.00  2
	LaserFence          17      1882.59 3740.91 0       -0.28   0.96    0       16      1.00  2
	LaserFence          18      2969.10 1593.96 1       -0.99   0.14    0       27      1.50  2
	LaserFence          19      2968.53 1349.44 1       -0.99   -0.14   0       18      1.50  4
	LaserFence          20      3167.90 1110.50 1       -0.63   -0.78   0       19      1.00  2
	LaserFence          21      3540.27 1111.53 1       0.27    -0.96   0       20      1.00  2
	LaserFence          22      3828.22 1267.24 1       0.76    -0.64   0       21      1.00  2
	LaserFence          23      3813.30 1650.27 1       0.62    0.78    0       28      1.00  2
	LaserFence          24      3578.62 1624.45 1       0.70    0.72    0       23      1.00  2
	LaserFence          25      3456.21 1905.43 1       0.70    0.72    0       24      1.00  2
	LaserFence          26      3303.00 1972.62 1       -0.13   0.99    0       25      1.00  2
	LaserFence          27      3155.81 1878.47 1       -0.77   0.64    0       26      1.00  2
	LaserFence          28      3882.02 1443.00 1       1.00    0.00    0       22      1.00  2
	LaserFence          29      416.25  1486.37 2       0.45    0.89    0       30      1.00  2
	LaserFence          30      543.98  1200.09 2       0.17    0.99    0       31      1.00  2
	LaserFence          31      739.98  1234.58 2       -0.74   0.68    0       32      1.00  2
	LaserFence          32      798.09  1411.42 2       -0.50   0.86    0       33      1.00  2
	LaserFence          33      1019.12 1392.29 2       0.73    0.68    0       43      1.00  2
	LaserFence          34      1226.87 1104.08 2       0.83    0.56    0       35      1.50  2
	LaserFence          35      1254.59 885.19  2       0.85    -0.52   0       36      1.00  2
	LaserFence          36      1187.66 725.78  2       0.66    -0.75   0       37      1.00  2
	LaserFence          37      1031.00 655.34  2       0.36    -0.93   0       38      1.00  2
	LaserFence          38      572.19  594.23  2       -0.28   -0.96   0       39      1.00  2
	LaserFence          39      337.89  686.91  2       -0.80   -0.60   0       40      1.00  2
	LaserFence          40      164.09  877.52  2       -0.94   -0.33   0       41      1.00  2
	LaserFence          41      110.18  1111.55 2       -1.00   -0.04   0       42      1.00  2
	LaserFence          42      160.08  1378.77 2       -0.74   0.68    0       29      1.00  2
	LaserFence          43      1064.97 1270.96 2       0.70    0.72    0       34      1.50  4
	SolarPanel          44      2869.70 3602.03 255     0.00    0.99    0       46      
	SolarPanel          45      2781.64 3480.24 255     0.00    0.93    0       60      
	SolarPanel          46      2874.35 3521.93 255     -0.00   0.99    0       45      
	SolarPanel          47      303.44  2131.08 255     -0.00   0.96    0       55      
	SolarPanel          48      325.92  2230.70 255     0.00    0.94    0       47      
	SolarPanel          49      232.91  2213.32 255     0.00    0.92    0       47      
	SolarPanel          50      3011.89 760.66  255     0.00    0.87    0       54      
	SolarPanel          51      2975.14 679.82  255     -0.00   0.94    0       50      
	SolarPanel          52      2913.66 592.22  255     -0.00   0.93    0       51      
	PylonEnd            53      2962.52 1348.38 255     -0.98   -0.19   0       19      
	Pylon               54      3058.75 1116.07 255     -1.00   0.06    0       53      
	Pylon               55      733.66  1912.96 255     -0.63   -0.78   0       56      
	Pylon               56      999.64  1612.12 255     -0.86   -0.52   0       57      
	PylonEnd            57      1069.25 1275.57 255     0.58    0.81    0       43      
	PylonEnd            58      1738.78 2762.92 255     0.90    -0.43   0       12      
	Pylon               59      2155.25 2958.74 255     0.73    -0.68   0       58      
	Pylon               60      2420.30 3294.14 255     0.73    -0.68   0       59      
	AITarget            61      1671.19 3273.79 255     1.00    0.00    0       -1    0.00 1     
	AITarget            62      3344.46 1495.28 255     1.00    0.00    0       -1    0.00 1     
	AITarget            63      781.96  895.66  255     1.00    0.00    0       -1    0.00 1     
	AITarget            64      1852.68 1534.50 255     1.00    0.00    0       -1    0.00 0     
	AITarget            65      2121.77 913.70  255     1.00    0.00    0       -1    0.00 0     
	AITarget            66      2397.87 2133.39 255     1.00    0.00    0       -1    0.00 0     
	AITarget            67      1172.82 1947.62 255     1.00    0.00    0       -1    0.00 0     
	AITarget            68      1517.74 1759.13 255     1.00    0.00    0       -1    0.00 0     
	AITarget            69      1985.67 1223.51 255     1.00    0.00    0       -1    0.00 0     
	AITarget            70      2113.97 1875.93 255     1.00    0.00    0       -1    0.00 0     
	SpawnPopulationLock 71      1763.34 3403.00 255     1.00    0.00    0       500.00   300   
	SpawnPopulationLock 72      3378.52 1505.80 255     1.00    0.00    0       500.00   300   
	SpawnPopulationLock 73      658.69  987.85  255     1.00    0.00    0       500.00   300   
	SpawnPopulationLock 74      1934.00 1618.82 255     1.00    0.00    0       919.22   400   
	Tree                75      1273.42 3233.72 255     1.00    0.00    0       151.07  2.46    0.37    1.23    6       32511   -14661510   -13750785   0       0       0       
	Tree                76      1355.02 3153.94 255     1.00    0.00    0       164.82  2.46    0.37    1.23    6       57355   -14661510   -13750785   0       0       0       
	Tree                77      1341.29 3303.93 255     1.00    0.00    0       149.95  2.46    0.37    1.23    6       57368   -14661510   -13750785   0       0       0       
	Tree                78      1377.72 3364.39 255     1.00    0.00    0       150.68  2.46    0.37    1.23    6       57395   -14661510   -13750785   0       0       0       
	Tree                79      1383.24 3202.31 255     1.00    0.00    0       136.53  2.46    0.37    1.23    6       57435   -14661510   -13750785   0       0       0       
	Tree                80      2758.05 3212.75 255     1.00    0.00    0       137.98  2.46    0.37    1.23    6       57496   -14661510   -13750785   0       0       0       
	Tree                81      2813.55 3243.41 255     1.00    0.00    0       168.44  2.46    0.37    1.23    6       57505   -14661510   -13750785   0       0       0       
	Tree                82      1636.08 1968.19 255     1.00    0.00    0       169.16  2.46    0.37    1.23    6       57535   -14661510   -13750785   0       0       0       
	Tree                83      1651.45 2020.21 255     1.00    0.00    0       169.16  2.46    0.37    1.23    6       57535   -14661510   -13750785   0       0       0       
	Tree                84      1752.96 2002.23 255     1.00    0.00    0       154.29  2.46    0.37    1.23    6       57545   -14661510   -13750785   0       0       0       
	Tree                85      1754.77 2079.16 255     1.00    0.00    0       139.42  2.46    0.37    1.23    6       57557   -14661510   -13750785   0       0       0       
	Tree                86      415.64  728.23  255     1.00    0.00    0       170.60  2.46    0.37    1.23    6       57597   -14661510   -13750785   0       0       0       
	Tree                87      363.85  812.18  255     1.00    0.00    0       155.74  2.46    0.37    1.23    6       57606   -14661510   -13750785   0       0       0       
	Tree                88      3279.96 814.67  255     1.00    0.00    0       156.46  2.46    0.37    1.23    6       57636   -14661510   -13750785   0       0       0       
	Tree                89      3196.53 422.21  255     1.00    0.00    0       172.05  2.46    0.37    1.23    6       57654   -14661510   -13750785   0       0       0       
	Tree                90      3268.26 484.31  255     1.00    0.00    0       157.18  2.46    0.37    1.23    6       57667   -14661510   -13750785   0       0       0       
	AITarget            91      278.92  2189.09 255     1.00    0.00    0       -1    0.00 1     
	AITarget            92      2819.22 3539.22 255     1.00    0.00    0       -1    0.00 1     
	AITarget            93      2945.20 711.32  255     1.00    0.00    0       -1    0.00 1     
	AITarget            94      2747.18 1491.34 255     1.00    0.00    0       -1    0.00 1     
	AITarget            95      2241.77 1534.16 255     1.00    0.00    0       -1    0.00 1     
	AITarget            96      1234.34 1258.51 255     1.00    0.00    0       -1    0.00 1     
	AITarget            97      1723.21 1285.11 255     1.00    0.00    0       -1    0.00 1     
	AITarget            98      1624.09 2797.23 255     1.00    0.00    0       -1    0.00 1     
	AITarget            99      1805.80 2248.36 255     1.00    0.00    0       -1    0.00 1     
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0         2665.77  648.71 4204.86 -0.45 -0.56 -0.70 -0.30 0.83 -0.47
	player1         3754.10  663.37  425.73 -0.54 -0.40 0.74 -0.24 0.92 0.32
	player2         -181.20  640.94  783.24 0.69 -0.51 0.52 0.41 0.86 0.31
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        2   284.5  2190.9     15    0      -1    96.3     0.0     0.0   -1   -1    0
	Darwinian        0  2819.1  3544.6     15    0      -1    99.3     0.0     0.0   -1   -1    0
	Darwinian        1  2971.2   678.9     15    0      -1   124.0     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
