# =================================================
# Errors
# =================================================

error                                  Fehler
help_engineer_summon_2_icons_xin       Wähle einen der Anfangsbereiche (derzeit markiert), um einen Ingenieur zu erstellen. Oder beende das Ingenieur-Programm.
help_engineer_use_kbd                  Ingenieure erledigen automatisch alles, was in der Nähe gerade zu tun ist, etwa tote Seelen einsammeln oder Gebäude umprogrammieren. Klicke mit der linken Maustaste, um den Ingenieur zu einer Aufgabe zu bewegen.
help_engineer_use_xin                  Ingenieure erledigen automatisch alles, was in der Nähe gerade zu tun ist, etwa tote Seelen einsammeln oder Gebäude umprogrammieren. Bewege den Ingenieur einfach zu einer Aufgabe.

help_officer_create_kbd                Du kannst mit gewöhnlichen Darwinianern andere Darwinianer herumkommandieren, indem du sie zu Offizieren beförderst. Zeichne diese Geste für einen Offizier und klicke mit der linken Maustaste auf einen Darwinianer.
help_officer_create_xin                Du kannst mit gewöhnlichen Darwinianern andere Darwinianer herumkommandieren, indem du sie zu Offizieren beförderst. Zeichne diese Geste für einen Offizier und wähle einen Darwinianer aus.
help_officer_create_icons_kbd          Du kannst mit gewöhnlichen Darwinianern andere Darwinianer herumkommandieren, indem du sie zu Offizieren beförderst. Öffne den Task Manager und klicke auf das Offiziers-Symbol, dann auf einen Darwinianer.
help_officer_create_icons_xin          Du kannst mit gewöhnlichen Darwinianern andere Darwinianer herumkommandieren, indem du sie zu Offizieren beförderst. Öffne den Task Manager und wähle das Offiziers-Symbol und dann einen Darwinianer.
help_officer_create_2_kbd              Klicke auf einen Darwinianer, um ihn zu einem Offizier zu befördern. Oder drücke STRG-C, um das Offizier-Programm zu beenden.
help_officer_create_2_xin              Wähle einen Darwinianer, um ihn zu einem Offizier zu befördern. Oder beende das Offizier-Programm.
help_officer_create_2_icons_kbd        Klicke auf einen Darwinianer, um ihn zu einem Offizier zu befördern. Oder drücke [KEYICONSTASKMANAGERENDTASK], um das Offizier-Programm zu beenden.
help_officer_create_2_icons_xin        Wähle einen Darwinianer, um ihn zu einem Offizier zu befördern. Oder beende das Offizier-Programm.
help_officer_use_kbd                   Zum Bewegen eines Offiziers klickst du mit der linken Maustaste. Rechtsklick in die Landschaft aktiviert GEHEZU-Befehl, damit die übrigen Darwinianer folgen. Rechtsklick neben dem Offizier annulliert seine Befehle.
help_officer_use_1mb_kbd               Zum Bewegen eines Offiziers kannst du klicken. Klicke in die Landschaft und halte die Taste gedrückt, um den GEHEZU-Befehl zu aktivieren, damit die übrigen Darwinianer folgen. Klicke neben dem Offizier und halte die Taste gedrückt, um seine Befehle zu annullieren.
help_officer_toggle_kbd                Um alle verfügbaren Befehle zu durchlaufen, klickst du mit der rechten Taste in die Nähe des Offiziers.
help_officer_toggle_1mb_kbd            Um alle verfügbaren Befehle zu durchlaufen, klickst du in die Nähe des Offiziers und hältst die Taste gedrückt.

help_showobjectives_kbd                Für eine Liste der Ziele rufst du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager auf und scrollst nach rechts, indem du die Maus nach rechts bewegst, oder mithilfe von [KEYCAMERARIGHT].
help_showobjectives_xin                Für eine Liste der Ziele öffnest du den Task Manager und scrollst dann nach rechts.
help_showobjectives_icons_kbd          Für eine Liste der Ziele rufst du mit [KEYICONSTASKMANAGERDISPLAY] den Task Manager auf und scrollst nach rechts, indem du die Maus nach rechts bewegst, oder mithilfe von [KEYMENUDOWN].
help_showobjectives_icons_xin          Für eine Liste der Ziele öffnest du den Task Manager und scrollst dann nach unten.
help_armour_summon_kbd                 Klicke mit der linken Maustaste auf einen der Anfangsbereiche (derzeit markiert), um einen Panzer zu erstellen. Panzer können nur in der Nähe von Verbindungsportalen, die in deinem Besitz befindlich sind, erstellt werden.
help_armour_summon_xin                 Wähle einen der Anfangsbereiche (derzeit markiert), um einen Panzer zu erstellen. Panzer können nur in der Nähe von Verbindungsportalen, die in deinem Besitz befindlich sind, erstellt werden.
help_armour_use_kbd                    Klicke mit der linken Maustaste, um deinen Panzer zu bewegen. Klicke mit der rechten Maustatse neben den Panzerwagen, um die Darwinianer ein- oder aussteigen zu lassen. Klicke mit der rechten Maustaste auf die Landschaft, um den Panzer als Kanone einzusetzen.
help_armour_use_1mb_kbd                Klicke mit der linken Maustaste, um deinen Panzer zu bewegen. Klicke neben dem Panzerwagen und halte die Taste gedrückt zum Ein- und Ausladen der Darwinianer. Klicke auf die Landschaft und halte die Maustaste gedrückt, um den Panzer als Kanone einzusetzen.

help_radardish_1_kbd                   Dieser Radarschirm kann eingesetzt werden, um Menschen an andere Radarschirme zu strahlen. Klicke darauf, um ihn zu steuern.
help_radardish_1_xin                   Dieser Radarschirm kann eingesetzt werden, um Menschen an andere Radarschirme zu strahlen. Wähle ihn, um ihn zu steuern.
help_radardish_2_kbd                   Zum Anpeilen des zweiten Radarschirms klickst du mit der linken Maustaste darauf. Der Ziel-Radarschirm muss auf Dich ausgerichtet sein. Drücke [KEYUNITDESELECT] zum Abwählen des Radarschirms.
help_radardish_2_xin                   Zum Anpeilen des zweiten Radarschirms wählst du ihn aus. Der Ziel-Radarschirm muss auf Dich ausgerichtet sein.
help_incubator                         Dieses Gebäude ist ein Inkubator. Du kannst Ingenieure einsetzen, um Seelen hierher zu bringen, die dann als Darwinianer wiedergeboren werden.
help_trunkport                         Dies ist ein Verbindungsportal. Er dient als Sternentor, das verschiedene Örtlichkeiten von Darwinia miteinander verbindet.
help_refinery                          Dies ist die Hauptraffinerie. Sie produziert Energie für die Bergbauindustrie der Inseln. Um den Betrieb wieder aufzunehmen, musst du einige Darwinianer sicher an diesen Platz führen.
help_mine                              Dieses Gebäude ist eine Mine. Sie baut rohe Polygone aus den Hügeln ab. Diese werden in die Wagen geladen. Die Bedienung erfordert mehrere Darwinianer
help_anthill                           Wääääh, wie eklig!  Dieses Gebiet ist voller Ameisen!  Dies scheint eins ihrer Nester zu sein. Ein paar strategisch platzierte Granaten sollten Abhilfe schaffen.
help_controltower                      Dies ist ein Kontrollturm. Schicke einen deiner Ingenieure aus, um ihn neu zu programmieren, dann kannst du das Gebäude nutzen, mit dem er verbunden ist.
help_researchitem                      Du hast etwas von meiner Forschungsarbeit entdeckt!  Ausgezeichnet. Erstelle ein paar Ingenieure in der Nähe, damit sie die Ergebnisse in das System laden. Hoffentlich ist es etwas Nützliches.
help_gunturret_1_kbd                   Die Kanone kann nur von Darwinianern bedient werden. Diese werden automatisch auf alle in der Nähe befindlichen Feinde schießen. Auf Wunsch kannst du darauf klicken, um die Steuerung selbst zu übernehmen.
help_gunturret_1_xin                   Die Kanone kann nur von Darwinianern bedient werden. Diese werden automatisch auf alle in der Nähe befindlichen Feinde schießen. Auf Wunsch kannst du sie auswählen, um die Steuerung selbst zu übernehmen.
help_gunturret_2_kbd                   Die Kanone folgt deinem Cursor. Mit Rechtsklick Feuer geben. Drücke [KEYUNITDESELECT] zum Abwählen.
help_gunturret_2_1mb_kbd               Die Kanone folgt deinem Cursor. Klicke und halte die Taste gedrückt, um Feuer zu geben. Drücke [KEYUNITDESELECT] zum Abwählen.

help_pressh_kbd                        Drücke [KEYSEPULVEDAHELP] für Hilfe
help_keyboardshortcut                  Tastaturkürzel
help_explainobjective                  Erklärung des Ziels

language_english                       Englisch
language_french                        Französisch
language_german                        Deutsch
language_italian                       Italienisch
language_spanish                       Spanisch


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 UngültigerTyp
entityname_engineer                    Ingenieur
entityname_virii                       Virii
entityname_squadie                     Squadie
entityname_egg                         Ei
entityname_sporegenerator              Sporengenerator
entityname_centipede                   Tausendfüßler
entityname_spaceinvader                Space-Invader
entityname_spider                      Spinne
entityname_darwinian                   Darwinianer
entityname_officer                     Offizier
entityname_armyant                     Armee-Ameise
entityname_armour                      Panzer
entityname_souldestroyer               Seelentöter
entityname_triffidegg                  Triffiden-Ei
entityname_ai                          KI
entityname_lander                      Landefahrzeug
entityname_lasertroop                  Laser-Trupp
entityname_tripod                      Dreibein


# ================================================
# Engineer states
# ================================================

engineer_idle                          untätig
engineer_towaypoint                    Gehezu
engineer_tospirit                      sammeln
engineer_toincubator                   zurückbringen
engineer_reprogramming                 umprogrammieren
engineer_researching                   forschen
engineer_bridge                        Brücke

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       PROGR. AUSFÜHREN
taskmanager_msg1                       SYNTAXFEHLER
taskmanager_msg2                       PROGRAMM BEENDET
taskmanager_msg3                       ERWORBEN
taskmanager_msg4                       AUFGERÜSTET
taskmanager_msg5                       ZIELE ERREICHT
taskmanager_mapeditor                  Karten-Editor
taskmanager_accessallareas             Zugang zu allen Bereichen

taskmanager_taskmanager                TASK MANAGER
taskmanager_research                   FORSCHUNG
taskmanager_objectives                 ZIELE
taskmanager_primarys                   PRIMÄRE ZIELE
taskmanager_secondarys                 SEKUNDÄRE ZIELE
taskmanager_complete                   VOLLSTÄNDIG
taskmanager_incomplete                 UNVOLLSTÄNDIG


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  Es können keine weiteren Programme ausgeführt werden. Schalte welche ab, indem du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager öffnest und mit Tab die alten Tasks ansteuerst und STRG-C drückst.
task_manager_full_xin                  Es können keine weiteren Programm ausgeführt werden. Schalte welche ab.
task_manager_full_icons_kbd            Es können keine weiteren Programme ausgeführt werden. Halte [KEYICONSTASKMANAGERDISPLAY] gedrückt und schließe einige Programme, um Kapazität freizusetzen. Klicke auf die Schließsymbole.
task_manager_full_icons_xin            Es können keine weiteren Programme ausgeführt werden.
task_manager_targetfirst_kbd           Es können keine weiteren Programme ausgeführt werden bist du deine bestehenden platziert hast. Klicke in einen der Anfangsbereiche, um es zu platzieren.
task_manager_targetfirst_xin           Es können keine weiteren Programme ausgeführt werden bist du deine bestehenden platziert hast. Wähle einen der Anfangsbereiche, um es zu platzieren.
task_manager_needsquadfirst            Du musst erst einen Trupp erstellen, ehe du den Waffentyp festlegen kannst.
officer_notwalkable                    Leider sind die Darwinianer nicht schlau genug, um den Weg entlang dieser Route zu finden. Sie müssen sehen können, wohin sie laufen.
armour_cantconvert                     Das Gelände dort ist zu steil - eine Kanone muss flach stehen.

objective_capture_trunk                Verbindungsportal aktivieren
objective_research                     Forschungs-Objekt sammeln
objective_capturetrunk_1               Hier musst du für mich das Verbindungsportal öffnen.
objective_capturetrunk_2               Es ist ein Standard-Kontrollturm in der Nähe, also kannst du einen deiner Ingenieure beauftragen, umzuprogrammieren.
objective_capturetrunk_3               Sobald es umprogrammiert ist, wird die damit verbundene Örtlichkeit für uns verfügbar.
objective_research_1                   Ich sehe Objekte meiner Forschung vor mir. Das musst du für mich holen.
objective_research_2                   Erstelle einen Ingenieur in der Nähe, damit er die Forschungs-Objekte in das System lädt. Mit etwas Glück ist es etwas, was wir gegen den Virenbefall einsetzen können.

building_captured                      Die Ingenieure haben das Gebäude umprogrammiert.
primaryObjectivesComplete_kbd          Gute Arbeit! Sieht aus, als hättest du alle Primärziele geschafft. Drücke [KEYMENUESCAPE], um diesen Ort zu verlassen, wenn du fertig bist.
primaryObjectivesComplete_xin          Gute Arbeit! Sieht aus, als hättest du alle Primärziele geschafft.
primaryObjectiveComplete               Primärziel erreicht.
primaryObjectiveFail_kbd               Sieht aus, als sei deine Mission erfolglos verlaufen. Du kannst es gerne noch mal versuchen. Drücke jetzt [KEYMENUESCAPE].
primaryObjectiveFail_xin               Sieht aus, als sei deine Mission erfolglos verlaufen.

privatedemo1                           > INTERNAL PRE-ALPHA BUILD FOR SOMEBODY
privatedemo2                           > STRICTLY CONFIDENTIAL
privatedemo3_kbd                       > Drücke [KEYCREATESCREENSHOT] für ein Bildschirmfoto

sepulveda_pressreturn_kbd              (drücke [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (drücke [KEYSKIPMESSAGE] zum Überspringen der Szene)

objective_currentcount                 Aktuelle Anzahl
objective_totalinfection               Gesamtinfektion
objective_output                       Ausgabe
objective_refined                      Raffiniert
objective_fuelpressure                 Kraftstoffdruck
objective_fuel                         Kraftstoff
objective_passengers                   Passagiere
objective_redpopulation                Rote Bevölkerung
objective_throughput                   Durchsatz


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwinianer
researchname_squad                     Trupp
researchname_engineer                  Ingenieur
researchname_laser                     Laser
researchname_grenade                   Granate
researchname_rocket                    Rakete
researchname_airstrike                 Luftangriff
researchname_armour                    Panzer
researchname_taskmanager               TaskManager
researchname_officer                   Offizier
researchname_controller                Controller

research_notyetavailable               Ich habe das Programm noch nicht zu Ende geprüft, du musst warten, bis es einsatzfähig ist.
research_nomorepossible                Ich glaube nicht, dass ich an dem Programm noch Verbesserungen vornehmen kann. Ich glaube, du solltest für mich eine andere Aufgabe finden.

research_squad                         Ich werde das Trupp-Programm weiter verbessern. Es sollte mir gelingen, die Anzahl der Mitglieder in einem Trupp zu erhöhen.
# research_squad_v1                  Unused
research_squad_v2                      Ich habe das Trupp-Programm, das du verwendest, aufgerüstet. Jetzt kannst du in einem Trupp 4 Leute haben.
research_squad_v3                      Ich habe das Trupp-Programm noch weiter verbessert. Jetzt kannst du 5 Leute haben.
research_squad_v4                      Jetzt habe ich alles getan, was am Trupp-Programm möglich war. Du kannst jetzt 6 Leute haben. Mehr als das werde ich wohl aus diesem Programmcode nicht herausholen!

research_laser                         Ich werd versuchen, das Laser-Programm für Dich zu verbessern. Mit etwas Glück sollte ich die Reichweite verbessern können.
# research_laser_v1                  Unused
research_laser_v2                      Ich habe einige Verbesserungen an den Lasern vorgenommen. Sie müssten jetzt eine größere Reichweite haben.
research_laser_v3                      Ich habe die Laser-Reichweite weiter verbessert.
research_laser_v4                      Diese Laser sind jetzt einsame Klasse. Sie reichen fast 3 Mal weiter als ursprünglich. Viel mehr lässt sich aus diesem Programm nicht rausholen.

research_grenade                       Ich werde mir mal das Granaten-Programm anschauen. Es müsste möglich sein, die Reichweite zu verbessern.
research_grenade_v1_kbd                Du hast meine Forschungsstudien zu den Granaten gefunden!  Das ist fantastisch. Während dein Trupp seinen Laser feuert, kannst du mit der linken Maustaste eine Granate werfen.
research_grenade_v1_xin                Du hast meine Forschungsstudien zu den Granaten gefunden!  Das ist fantastisch. Dein Trupp kann jetzt Granaten werfen.
research_grenade_v1_1mb_kbd            Du hast meine Forschungsstudien zu den Granaten gefunden!  Das ist fantastisch. Mit Umschalt-Klick kannst du eine Granate werfen.
research_grenade_v2                    Ich habe die Reichweite des Granaten-Programms vergrößert.
research_grenade_v3                    Ich habe die Wurfreichweite der Granaten noch weiter verbessert.
research_grenade_v4                    Okay, das reicht für die Granaten. Damit sind wir bei der maximalen Reichweite angelangt.

research_rocket                        Ich werde mich den Raketen zuwenden. Ich denke, ich sollte die maximale Reichweite etwas verbessern können.
research_rocket_v1_kbd                 Ausgezeichnet, du hast das Raketen-Programm wiedergefunden. Du kannst diese Waffe mit der Raketen-Geste auswählen. Während dein Trupp seinen Laser feuert, kannst du mit der linken Maustatse eine Rakete starten.
research_rocket_v1_xin                 Ausgezeichnet, du hast das Raketen-Programm wiedergefunden. Du kannst diese Waffe mit der Raketen-Geste auswählen. Dein Trupp kann jetzt Raketen starten.

research_rocket_v1_icons_kbd           Ausgezeichnet, du hast das Raketen-Programm wiedergefunden. Du kannst diese Waffe auswählen, indem du im Task Manager auf das Raketen-Symbol neben deinem Trupp klickst. Während dein Trupp seinen Laser feuert, kannst du mit der linken Maustatse eine Rakete starten.
research_rocket_v1_icons_xin           Ausgezeichnet, du hast das Raketen-Programm wiedergefunden. Du kannst diese Waffe auswählen, indem du im Task Manager das Raketen-Symbol neben deinem Trupp wählst. Dein Trupp kann jetzt Raketen starten.
research_rocket_v1_1mb_kbd             Ausgezeichnet, du hast das Raketen-Programm wiedergefunden. Du kannst diese Waffe mit der Raketen-Geste auswählen. Mit Umschalt-Klick kannst du eine Rakete starten.
research_rocket_v2                     Die Reichweite der Raketen wurde verbessert.
research_rocket_v3                     Ich hab's geschafft, die Raketenreichweite weiter zu verbessern.
research_rocket_v4                     Damit ist die max. Reichweite der Raketen erreicht.

research_airstrike                     Ich werd versuchen, den Luftangriff für Dich zu verbessern.
