MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	-1
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	trunkportarmour 3	defenderreinforcementtype AirStrike	forceradarteammatch	noradarcontrol	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	PlayTime	15
	Difficulty	intermediate
	AttackingTeams	0 
	  1607  -6.79   3775   1468  4.00   1.00    262      0    310   2.00     5   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAALHLEMHAAAAAAAAAAAAACAGACACAIAJAMAAAAAAAAAAAAAAAAAAAAAAIOLPMFPPPPPPPPPPPPKAJKEBEBDLDFEGDJDFDKDPDMGIAAAAAAAAAAAAAAAAADHMDODMIKPPPPPPPPPPBDBEBFBFBKBEBEBEBFBFBEBDCJAEAAAAAAAAAAAAAAAGHDBECHGLPDPPPPPPPPBGBDBEBEBEBEBEBDBDBEBEBECMAIAAAAAAAAAAAAAAAFGACKEMLAPBPPPPPPPPBDBFBEBDBDBEBEBEBEBDBDBECKAHAAAAAAAAAAAAAAAAGNBOEKKNPDPPPPPKPJBEBEBEBDBEBEBEBDBEBEBDBECIAKAAAAAAAAAAAAAAAAIIGBHEMMPDPPPPPPPPCKBEBEBBBDBDBEBDBEBDBDBECGAHAAAAAAAAAAAAAAAAKPNBMGPPPPPPPPPPPPPJLLGBFPENEIEJDNEGDHDNDMGJAGAAAAAAAAAAAAAAAAAAAAAAAALFJAJHBFAAAAAAAMAAAAAAAAAAAFAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  2162   0.00   1518   1084  1.20   0.11    162      2 1329274   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  2098   0.00   2213    634  7.60   0.52    156      1      1   1.00     4   AHAAAPDPIBNMPPPPPPPPPPPPPPPPAAAAAAAPFLFJPPPPPPPPPPPPPPPPPPAAAAACBGDCEKPCPPPPPPPPPPPPPPPPAAAAAABLDMEDOHPPPPPPPPPPPPPPKMAAAAAABDDEDHPEOLPPNMPPPPPPPPBDAHAAAAANBJBFOCNCKDOCPKPPOEIGDECFAAAAAKCADBKJMDLENOPAONPNLEFEBNAAAABEEOGOHBJMMHNDNCMMNGLDFKBKAAAIDDHKJIIBJDJNIPLJLALLKGEFBGAABJFKIFIDHDJOKBHCKAMELHJKENAMAOCPEGGLGCHNIDGIFFHMKPJEFKDABCBGDEDADHEBGAFPFBEDHAHLHKDOBHAGBCBJDHBCBMCPEJEMDADEDICPBDAGAAAJBPBHBEBNBJDGDACABBBCBBAAAAAAACAJBABAAGAKBAAKAFAEAAAAAAAAAA
	  2669   0.00   2232    634  7.88   1.11    156      1      1   1.00     4   AAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPACAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAENPEPPPPPPPPAAAAAAAAAAAAAAAACLOKPBPPPPPPPPAAAAAAAAAAAAAABFKGPBOLPPPPPPPPBIAAAAAAAAAABMFKKNMCNJOBPBPFPGFNAEAAAAAAAACPIMLBKCLFMDNJODNJGJBIAAAAAACOHEJCJEKELBLILNNAJFFDCKAHAAAAFMJDKJKLKJLAKEKBKGGBHFEBBBAAAAAACOCPEJFLJEJDJGIHGHHFGBBPAAAAAAAAAEAHDHFEFHHKGDECFEFICJAHAAAAAAAAAACGEHEFEOEOBDCHCFBMAFAAAAAAAAAAABADBBBCBFAHAJADAAAAAA
	  2702   0.00   1657    384  4.37   1.00    222      2      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	2339.6   32.5 4464.3  124.1      0   40.0
	2587.8   32.6 4463.9  124.1      0   40.0
	1886.9   68.2 4456.1   80.4      0   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.38   0.86   0.34     1.17   1.17   1.17
	 -0.97   0.00  -0.23     1.58   1.05   0.82
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	TrunkPort           0       2477.50 4587.01 0       0.07    -1.00   1       -1      
	TrunkPort           1       2231.49 4452.83 0       1.00    -0.02   1       -1      
	TrunkPort           2       2716.11 4464.06 0       -1.00   0.06    1       -1      
	GunTurret           3       2478.16 2700.19 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           4       2577.69 2734.87 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           5       2818.90 2682.20 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           6       2734.06 2681.83 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	StaticShape         7       2582.03 3027.96 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         8       2815.03 2967.46 255     1.00    0.00    0         1.00  beachheadobstruction.shp  
	GunTurret           9       2870.04 2529.96 255     0.00    1.00    0       3   0.00 0.00 0.00 0.00 
	StaticShape         10      2557.41 3374.98 255     0.94    -0.33   0         1.00  beachheadobstruction.shp  
	StaticShape         11      2440.48 3076.40 255     -0.43   0.90    0         1.00  beachheadobstruction.shp  
	StaticShape         12      2275.81 2801.44 255     -0.88   0.47    0         1.00  beachheadobstruction.shp  
	StaticShape         13      3117.92 2824.69 255     0.09    -1.00   0         1.00  beachheadobstruction.shp  
	StaticShape         14      2356.15 3175.35 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         15      3109.25 3201.87 255     0.53    0.85    0         1.00  beachheadobstruction.shp  
	StaticShape         16      2931.71 3045.00 255     0.22    0.98    0         1.00  beachheadobstruction.shp  
	LaserFence          17      3010.87 2327.12 255     1.00    -0.05   0       61      1.07  5
	LaserFence          18      2937.57 2006.40 255     0.80    -0.61   0       24      1.24  5
	LaserFence          19      2561.20 1869.65 255     -0.37   -0.93   0       84      2.03  5
	StaticShape         38      2118.76 2991.13 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         39      2261.86 3054.14 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         40      3151.32 2976.35 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         41      3099.70 3060.62 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	RadarDish           42      2434.64 2901.59 255     0.04    -1.00   1       0    0    
	RadarDish           45      2936.79 2870.33 255     0.25    -0.97   1       0    0    
	GunTurret           46      2450.02 2935.95 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           47      2907.83 2914.78 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	StaticShape         48      2225.17 2911.18 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         49      2173.77 3169.75 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         50      2981.65 3190.67 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	RadarDish           51      2367.72 4353.09 0       0.00    1.00    1       0    1    42   
	RadarDish           52      2633.72 4351.57 0       0.00    1.00    1       0    1    45   
	ControlStation      55      2333.48 2954.32 255     -1.00   -0.01   0           42
	ControlStation      43      3017.27 2927.59 255     1.00    0.05    0           45
	GunTurret           54      2655.60 2920.37 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           56      2661.47 2780.49 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	AITarget            57      2249.70 3198.44 255     1.00    0.00    0       -1    0.00 1     
	AITarget            58      2817.38 3016.76 255     1.00    0.00    0       -1    0.00 1     
	AITarget            59      2668.46 2609.45 255     1.00    0.00    0       -1    0.00 1     
	AITarget            60      2692.06 2873.25 255     1.00    0.00    0       -1    0.00 1     
	AITarget            64      2538.98 3011.67 255     1.00    0.00    0       -1    0.00 1     
	AITarget            66      3043.81 2763.35 255     1.00    0.00    0       -1    0.00 1     
	AITarget            67      3034.51 2931.48 255     1.00    0.00    0       -1    0.00 1     
	AITarget            68      2913.08 3249.27 255     1.00    0.00    0       -1    0.00 1     
	AITarget            72      2434.66 2879.10 255     1.00    0.00    0       -1    0.00 1     
	AITarget            73      2935.65 2896.98 255     1.00    0.00    0       -1    0.00 1     
	Wall                33      2468.42 2740.18 255     0.02    -1.00   0         -1
	Wall                34      2579.31 2832.36 255     1.00    0.00    0         -1
	Wall                35      2580.26 2915.99 255     1.00    0.00    0         -1
	Wall                74      2544.77 2765.47 255     0.58    -0.81   0         -1
	Wall                36      2620.58 2961.44 255     0.02    -1.00   0         -1
	Wall                75      2704.12 2959.88 255     -0.18   -0.98   0         -1
	Wall                76      2749.95 2910.88 255     -0.99   -0.14   0         -1
	Wall                77      2761.92 2821.51 255     -0.99   -0.14   0         -1
	Wall                78      2808.93 2776.36 255     0.09    1.00    0         -1
	Wall                79      2871.76 2735.46 255     0.89    0.46    0         -1
	LaserFence          83      3065.18 2594.00 255     0.66    -0.75   0       31      1.05  5
	PulseBomb           82      2891.03 1823.59 1       1.00    0.00    0       900.00  86  88  87  
	ControlStation      86      2499.33 1938.68 255     0.23    0.97    0           -1
	ControlStation      87      2985.34 2097.94 255     0.96    -0.29   0           -1
	ControlStation      88      2645.86 2657.66 255     0.97    0.25    0           -1
	AITarget            123     2304.44 2952.16 255     1.00    0.00    0       -1    0.00 1     
	StaticShape         126     2136.80 2819.79 255     -0.88   0.47    0         1.00  beachheadobstruction.shp  
	StaticShape         37      2602.02 3225.49 255     -0.92   -0.40   0         1.00  beachheadobstruction.shp  
	StaticShape         127     2758.22 3335.77 255     0.73    0.68    0         1.00  beachheadobstruction.shp  
	StaticShape         128     3113.95 3444.77 255     0.43    -0.90   0         1.00  beachheadobstruction.shp  
	StaticShape         129     2432.74 3429.36 255     0.94    -0.33   0         1.00  beachheadobstruction.shp  
	GunTurret           130     2740.21 4592.62 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           131     2736.13 4321.31 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          84      2399.66 1838.32 255     -0.88   -0.47   0       154     1.58  5
	LaserFence          154     2459.79 2062.14 255     -0.94   -0.33   0       155     1.46  5
	LaserFence          155     2403.96 2216.60 255     -0.88   -0.47   0       121     1.21  5
	Tree                118     2102.15 2471.99 255     1.00    0.00    0       85.62   1.00    0.72    1.11    6       0       -14069126   -14869083   0       0       0       
	Tree                170     2138.42 2219.15 255     1.00    0.00    0       95.24   1.00    0.72    1.11    6       71125   -14069126   -14869089   0       0       0       
	Tree                172     2177.36 2455.40 255     1.00    0.00    0       78.39   1.00    0.72    1.11    6       71144   -14069126   -14869109   0       0       0       
	Tree                173     3235.62 2515.43 255     1.00    0.00    0       88.05   1.00    0.72    1.11    6       71223   -14069126   -14869084   0       0       0       
	Tree                174     3332.70 2559.82 255     1.00    0.00    0       96.88   1.00    0.72    1.11    6       71244   -14069126   -14869119   0       0       0       
	LaserFence          121     2340.82 2239.43 255     -0.37   -0.93   0       81      1.00  2
	LaserFence          62      3145.23 2631.26 255     0.73    -0.68   0       83      1.08  5
	LaserFence          24      2963.62 1944.74 255     0.32    -0.95   0       63      1.33  5
	AIObjective         189     907.31  3624.23 255     1.00    0.00    0        203
	AIObjectiveMarker   190     2328.41 2950.97 255     1.00    0.00    0       46.36  189   0   0
	AIObjectiveMarker   191     3015.76 2929.15 255     1.00    0.00    0       39.77   20   0   0
	AIObjectiveMarker   200     2242.99 3198.20 255     1.00    0.00    0       100.00  207   0   0
	AIObjectiveMarker   201     2911.92 3241.17 255     1.00    0.00    0       100.00  208   0   0
	AIObjective         203     767.23  2760.72 255     1.00    0.00    0         26
	AIObjectiveMarker   204     2475.95 2700.51 0       1.00    0.00    0       0.00  203   0   0
	AIObjectiveMarker   205     2577.01 2735.55 0       1.00    0.00    0       0.00  203   0   0
	AITarget            199     2626.65 4453.11 255     1.00    0.00    0       206   0.05 1     
	AITarget            202     2482.60 4502.01 255     1.00    0.00    0       -1    0.00 1     
	AITarget            206     2322.75 4449.13 255     1.00    0.00    0       199   0.00 1     
	AIObjective         207     1253.91 3930.36 0       1.00    0.00    0        189
	AIObjective         208     1886.30 3964.92 0       1.00    0.00    0         20
	GunTurret           22      2559.26 1937.79 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           23      2988.35 2171.11 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           25      2501.87 2002.78 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	AIObjective         26      1681.32 2362.19 255     1.00    0.00    0         -1
	AIObjectiveMarker   27      2652.82 2660.44 255     1.00    0.00    0       100.00   26   0   0
	AIObjectiveMarker   28      2500.19 1941.03 255     1.00    0.00    0       100.00   26   0   0
	AIObjectiveMarker   29      2993.17 2097.29 255     1.00    0.00    0       100.00   26   0   0
	AIObjective         20      1780.17 3764.88 255     1.00    0.00    0        203
	AIObjectiveMarker   44      2907.15 2919.18 0       1.00    0.00    0       0.00   20   0   0
	AIObjectiveMarker   53      2451.09 2932.05 1       1.00    0.00    0       0.00  189   0   0
	LaserFence          30      3250.86 2703.16 255     0.73    -0.68   0       62      1.08  5
	LaserFence          31      3031.38 2495.53 255     0.88    -0.48   0       17      1.05  2
	LaserFence          32      3470.87 2656.28 255     1.00    0.00    0       30      1.05  2
	LaserFence          61      3049.49 2078.27 255     1.00    -0.00   0       18      1.07  5
	LaserFence          63      3014.93 1894.62 255     1.00    0.00    0       69      1.42  2
	LaserFence          69      3015.86 1724.06 255     1.00    0.00    0       70      1.62  2
	LaserFence          70      2894.27 1662.63 255     1.00    0.00    0       71      2.06  2
	LaserFence          71      2787.55 1705.12 255     1.00    0.00    0       80      1.96  2
	LaserFence          80      2770.31 1793.25 255     1.00    0.00    0       19      1.93  2
	LaserFence          81      2361.93 2376.14 255     -0.37   -0.93   0       85      1.00  2
	LaserFence          85      2349.69 2499.34 255     -0.37   -0.93   0       89      1.00  2
	LaserFence          89      2222.29 2529.40 255     -0.37   -0.93   0       90      1.00  2
	LaserFence          90      2067.89 2572.73 255     -0.37   -0.93   0       -1      1.00  0
	GunTurret           91      2927.09 2093.57 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	Wall                92      2443.47 2231.61 255     0.36    -0.93   0         -1
	Wall                93      2524.15 2247.38 255     0.02    -1.00   0         -1
	Wall                94      2975.60 2304.75 255     0.54    -0.84   0         -1
	Wall                95      2898.36 2280.69 255     0.02    -1.00   0         -1
	GunTurret           96      2556.17 2505.00 255     0.00    1.00    0       3   0.00 0.00 0.00 0.00 
	Wall                97      2821.53 2257.29 255     0.54    -0.84   0         -1
	Wall                98      2594.69 2219.11 255     -0.70   -0.71   0         -1
	GunTurret           99      2730.48 2007.34 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           100     2648.14 2212.64 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           101     2750.37 2234.54 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	AITarget            65      2985.75 2541.33 255     1.00    0.00    0       -1    0.00 0     
	AITarget            102     2884.40 2346.61 255     1.00    0.00    0       -1    0.00 1     
	AITarget            103     2319.96 2654.40 255     1.00    0.00    0       -1    0.00 0     
	AITarget            104     2410.68 2553.90 255     1.00    0.00    0       -1    0.00 0     
	AITarget            105     2531.15 2363.22 255     1.00    0.00    0       -1    0.00 0     
	AITarget            106     2694.33 2225.77 255     1.00    0.00    0       -1    0.00 1     
	AITarget            107     2504.96 1928.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            108     2967.33 2068.18 255     1.00    0.00    0       -1    0.00 1     
	Wall                109     2606.02 2416.96 255     -0.46   -0.89   0         -1
	Wall                110     2685.90 2398.65 255     0.02    -1.00   0         -1
	Wall                111     2748.09 2437.20 255     0.88    -0.48   0         -1
	Wall                112     2808.99 2474.29 255     0.02    -1.00   0         -1
	RestrictionZone     21      2341.12 4417.50 255     1.00    0.00    0       749.53    1
	AIObjectiveMarker   113     2091.04 2897.94 255     1.00    0.00    0       100.00  203   1  -1
	AIObjectiveMarker   114     3121.50 2924.67 255     1.00    0.00    0       100.00  203   1  -1
	AIObjectiveMarker   115     2657.83 2784.60 0       1.00    0.00    0       0.00  203   0   0
	AIObjectiveMarker   116     2733.71 2679.11 0       1.00    0.00    0       0.00  203   0   0
	AIObjectiveMarker   117     2819.70 2679.01 0       1.00    0.00    0       0.00  203   0   0
	AIObjectiveMarker   119     2660.79 2911.38 0       1.00    0.00    0       0.00  203   0   0
	AIObjectiveMarker   120     2245.10 2730.58 255     1.00    0.00    0       100.00   26   1  -1
	AIObjectiveMarker   122     3059.39 2777.64 255     1.00    0.00    0       100.00   26   1  -1
	AIObjective         124     3864.20 3375.39 1       1.00    0.00    0        134
	AIObjectiveMarker   125     2979.24 2915.82 255     1.00    0.00    0       100.00  124   0   0
	AIObjective         132     3684.71 3381.29 1       1.00    0.00    0        134
	AIObjectiveMarker   133     2381.58 2940.44 255     1.00    0.00    0       100.00  132   0   0
	AIObjective         134     3741.43 3025.85 255     1.00    0.00    0        136
	AIObjectiveMarker   135     2650.17 2717.75 255     1.00    0.00    0       100.00  134   0   0
	AIObjective         136     3759.01 2621.60 255     1.00    0.00    0        138
	AIObjectiveMarker   137     2692.77 2213.11 255     1.00    0.00    0       100.00  136   0   0
	AIObjective         138     3853.70 2122.64 255     1.00    0.00    0         -1
	AIObjectiveMarker   139     2971.13 2075.51 255     1.00    0.00    0       100.00  138   0   0
	AIObjectiveMarker   140     2504.00 1938.18 255     1.00    0.00    0       100.00  138   0   0
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0         2311.00  378.10 4832.64 0.20 -0.39 -0.90 0.08 0.92 -0.38
	player1         2984.09  630.24 1607.66 -0.31 -0.53 0.79 -0.19 0.85 0.50
CameraMounts_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        1  2793.8  2601.0     30    0      -1    53.2     0.0     0.0   -1   -1    0
	Darwinian        1  2574.0  2651.3     30    0      -1    54.8     0.0     0.0   -1   -1    0
	Darwinian        1  2430.6  2926.5     10    0      -1    32.0     0.0     0.0   -1   -1    0
	Darwinian        1  2942.2  2898.2     10    0      -1    36.4     0.0     0.0   -1   -1    0
	Darwinian        1  2692.3  2878.0     10    0      -1    22.9     0.0     0.0   -1   -1    0
	Darwinian        1  2671.8  2731.7     40    0      -1    86.8     0.0     0.0   -1   -1    0
	Darwinian        1  2300.2  2975.9     40    0      -1   110.1     0.0     0.0   -1   -1    0
	Darwinian        1  3016.5  2954.5     40    0      -1   108.7     0.0     0.0   -1   -1    0
	Darwinian        1  2532.4  1962.4     35    0      -1    54.7     0.0     0.0   -1   -1    0
	Darwinian        1  2959.4  2123.6     35    0      -1    70.2     0.0     0.0   -1   -1    0
	Darwinian        1  2703.8  2224.3      8    0      -1    45.4     0.0     0.0   -1   -1    0
	Darwinian        1  2734.2  2004.3      4    0      -1    21.7     0.0     0.0   -1   -1    0
	Darwinian        1  2552.5  2501.2      4    0      -1    14.9     0.0     0.0   -1   -1    0
	Darwinian        1  2866.5  2520.6      4    0      -1    18.9     0.0     0.0   -1   -1    0
	Darwinian        0  2740.7  4601.4      4    0      -1     5.0     0.0     0.0   -1   -1    0
	Darwinian        0  2740.4  4335.0      4    0      -1     5.0     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

