MultiwiniaOptions_StartDefinition
	GameTypes	CaptureTheStatue 
	PopulationCap	2000
	NumPlayers	4
	Effects	lightning 
	LevelOptions	instantspawnpointcapture	
	Difficulty	advanced
	Tree                102     2074.54 744.44  255     1.00    0.00    0       128.39  1.00    0.76    0.80    5       13519   -1          -1          0       0       1       
	Tree                103     2126.20 758.98  255     1.00    0.00    0       117.17  1.00    0.76    0.80    5       13528   -1          -1          0       0       1       
	AITarget            5       1026.75 1549.47 255     1.00    0.00    0       -1    0.00 1     
	AITarget            104     1278.71 1112.63 255     1.00    0.00    0       -1    0.00 1     
	AITarget            105     2267.60 1832.16 255     1.00    0.00    0       -1    0.00 1     
	AITarget            106     2086.22 1212.32 255     1.00    0.00    0       -1    0.00 1     
	MultiwiniaZone      107     1606.16 1677.35 255     1.00    0.00    0       50.00 
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player2         2412.11  773.15 3035.42 -0.51 -0.54 -0.67 -0.33 0.84 -0.43
	player0          720.66  955.94  214.34 0.48 -0.57 0.67 0.33 0.82 0.47
	player1         3057.96  958.43  827.90 -0.64 -0.63 0.44 -0.52 0.78 0.35
	player3          253.62 1091.22 2356.23 0.64 -0.69 -0.34 0.61 0.72 -0.32
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        0  1504.1  1064.1     40    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        1  2286.9  1477.7     40    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        2  1802.1  2270.4     40    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        3  1068.6  1817.5     40    0      -1    50.0     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
