MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	275
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	trunkportarmour 1	
	PlayTime	15
	Difficulty	advanced
	AttackingTeams	1 
	  1950   0.00   1223    901  1.20   1.00    200      1      1   0.00     4   AAAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAAAAAAAAAAAAAAAAAPNPPPPPPPPPPAAAAAAAAAAAAAAAAAAPDPGPPPPPPPPAAAAAAAAAAAAAAPPPKPAPDPPPPPPPPAAAAAAAAAAAAPPPPPPPMPMOPOHPHPPAAAAAAAAPPPPPPPPPPPOPLNHMPPHPPAAAAAAPPPPPPPPPPPPPINHLGNCPPPPAAAAAAPPPPPPPPPPPINLLEMEPIPPPPAAAAPPPPPPPPPPPPOLNBMHNNPLPPPPAAPPPPPPPHOHOPPPPJONPDPEPPPPPPAAPPPPPPPHOHOPPNPHOANNPAPPPPPPPPPPPPPPPPPHPPPPPDNMNJPAPPPPPPPPPPPPPPPPPPPPPPPPPKPJPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP
	   629   0.00   1954    901  1.20   1.00    200      1      1   0.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAPKAAAAPPPPPPPPPPAAAAAAAAAAPFPFPPAAPPPPPPPPPPPPAAAAAAPPPLPHPHPOPPPPPPPPPPPPPPPPAAPPPPPHOOOOPCPMPPPPPPPPPIPIPIAAAAPPPLPBOKOKPCPPPPPPPPPBPAPHAAAAAAPPPKPBOBMOOAPEPPPPPJNOOHAAAAAAAAPIPDNFLOMGOJPPPPPMOCNJAAPPPPPBOKOLOLMPNCPEPPPPPDOJOAAAPPAAPBODOKPBPDOOPPPPPPPKPBPBAAAAAAPIPBPBPPPPPPPPPPPPPPPPPP
	  1950   0.00   1950    901  1.20   1.00    200      1      1   0.00     4   PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPLPLPHPLPPPPPPPLPLPPPPPPPPPPPPPEPDOPPDPLPPPPOHOHPPPPPPPPPPPFOKOFOIOPPHPPPPNDPPPPPPPPPPPPOLOANPOFOPPHPPPPMHPPPPPPPPPPPPOENJNMOGPHPLPPPPNBNBPPPPPPPPPPNPNPODONPLPPPPPPOFOFOKPPPPPPOLNPNLOJPEPPPPPPPPPJPJPPPPPPPLOLNNNNOHPFPPPPPPPPPPPPPPPPPPPJOJNJNJOJPJPPPPPPAAPPPPPPPPPPPJONOBNLOHPDPPPPPPAAPPPPPPPPPPPJPDOHOHONPJPPPPAAAAPPPPPPPPPPPPPJPDPDPJPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAA
	  1331   0.00   1964    901  1.20   1.00    200      1      1   0.00     4   AAAAAAAAAAAAAAPJONOHOHPCPPPPPPAAAAAAPOPJPGPFONOFNLOBONPPPPPPAAAAPNPHOKODOFODOBOAOFOJPPPPPPPPPPPLOONMNCNENOOFODNOOEPPPPPPPPPPPJOLNGMJNCOAONOGNLNJPPPPPPPPPPPLOONNNBNJOEPBOKNFMJPPPPPPPPPPPOPCOCNLOCOMPGOHNBMHPPPPPPPPPPPPPEOIOBODOKOPOKNKNAPPPPPPPPPPPLONODNLNLOFOLOLOFOCPPPPPPPPPHOOOENMNJNPOFONOPOOOOPPPPPPPKOLNONENENPOHOOPEPGPIPPPPPPPPPEODNBMJNDOEPCPIPKPMPOPPPPPPPPPDOCNAMONJOMPMPPPPPPPPPPPPPPPPPIOKNNNMOEPGPNPPPPPPPPPPPPPPPPPOPFONONPEPKPOPPPPPPPPPPPPPPPP
	  1417   0.00   1524    754  1.20   1.00    200      1      1   0.00     4   ANBIBIBEBEAJAAAMAAAAAAAAAAAAAAAPBMCNCJBFBLCDAMBIAAAAAAAAAAAAAOCBCLDBCNBNEFCABGAAAAAAAAAAAAAHBHCJCPEDCIFNECDNAGAAAAAAAAAAAABICICLFNFKGHFKGABJAMAGAAAAAAAAAGCADOGKGEHIFPFPENCFBOAKAAAAAAAABEBFEOHCIDIHIKHFGFELCNAAAAAAAAAICFFFHLIJIKJCJAKAIKGEBPAAAAAAAABKEAGNJLKIKOLLMCNKLDGPBDAAAAAAAMDHGGKMNCMPNHNGOPPPPOIHAAAAAAAGBKFBKKNMNNPHPPPPPLPPPPAAAAAAAAAIDHHKMANPPGPFPPPOPPPPAAAAAAAAAACAFBJKOJOGPOPOPPPPPPAAAAAAAAAAAODIJBPPPGPPPPPPPPPPAAAAAAAAAAAACHHOPPPPPPPPPPPPMP
	    16  -5.00     12   1121  1.80   2.50    200      1 1174093   0.57     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.00   0.60   0.80     0.72   0.55   0.50
	 -0.83   0.02   0.55     1.93   1.61   1.05
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	PulseBomb           0       2460.82 2540.65 0       1.00    0.00    0       900.00  52  51  50  
	LaserFence          1       2351.87 1585.64 0       -0.42   -0.91   0       2       1.00  2
	LaserFence          2       2217.98 1602.27 0       -0.88   -0.47   0       3       1.00  2
	LaserFence          3       2223.02 1711.26 0       -0.92   -0.38   0       4       1.50  2
	LaserFence          4       2101.71 1789.07 0       -0.92   -0.38   0       5       2.00  2
	LaserFence          5       2067.62 1979.10 0       -0.99   -0.14   0       97      2.50  2
	LaserFence          6       1768.65 2148.20 0       0.36    -0.93   0       7       2.50  2
	LaserFence          7       1623.24 2103.94 0       -0.03   -1.00   0       8       2.00  2
	LaserFence          8       1472.75 2207.55 0       -0.32   -0.95   0       9       1.50  2
	LaserFence          9       1290.00 2278.94 0       -0.42   -0.91   0       10      1.00  2
	LaserFence          10      1063.26 2441.47 0       -0.70   -0.71   0       11      1.00  2
	LaserFence          11      936.18  2607.20 0       -0.94   -0.33   0       12      1.00  2
	LaserFence          12      959.45  2768.32 0       -0.63   0.78    0       13      1.00  2
	LaserFence          13      1244.29 2784.04 0       -0.03   1.00    0       14      1.00  2
	LaserFence          14      1680.64 2784.27 0       0.07    1.00    0       15      1.00  2
	LaserFence          15      2024.47 2788.95 0       0.12    0.99    0       16      1.00  2
	LaserFence          16      2463.59 2777.63 0       0.36    0.93    0       17      1.00  2
	LaserFence          17      2607.15 2715.82 0       0.70    0.72    0       18      1.00  2
	LaserFence          18      2687.28 2569.56 0       0.88    0.48    0       19      1.00  2
	LaserFence          19      2766.81 2419.00 0       0.95    0.30    0       20      1.00  2
	LaserFence          20      2769.24 2155.54 0       1.00    0.00    0       21      1.00  2
	LaserFence          21      2765.03 1882.64 0       1.00    0.00    0       22      1.00  2
	LaserFence          22      2761.06 1557.09 0       1.00    0.00    0       23      1.00  2
	LaserFence          23      2755.50 1317.73 0       0.54    -0.84   0       24      1.00  2
	LaserFence          24      2552.00 1339.87 0       -0.70   -0.71   0       25      1.00  2
	LaserFence          25      2452.09 1489.19 0       -0.83   -0.56   0       1       1.00  2
	TrunkPort           26      622.42  423.95  1       -0.63   0.78    1       -1      
	TrunkPort           27      447.70  478.44  1       0.58    0.81    1       -1      
	TrunkPort           28      351.46  620.87  1       0.95    -0.30   1       -1      
	GunTurret           39      1589.44 1529.05 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           40      1466.30 1635.29 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           48      1806.59 2141.86 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           49      2020.42 1987.08 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	ControlStation      50      1455.59 2494.09 255     0.02    1.00    0           -1
	ControlStation      51      2514.82 1685.37 255     -1.00   -0.06   0           -1
	ControlStation      52      2356.62 2392.79 255     -0.73   0.69    0           -1
	Wall                55      2610.32 1709.09 255     1.00    -0.05   0         -1
	Wall                56      2583.24 1634.96 255     0.76    -0.64   0         -1
	Wall                57      2440.96 1629.04 255     -0.70   -0.71   0         -1
	Wall                58      2513.47 1601.63 255     0.02    -1.00   0         -1
	Wall                59      2411.79 1701.34 255     1.00    0.00    0         -1
	Wall                60      2597.24 1791.08 255     0.94    0.33    0         -1
	Wall                61      2425.13 1783.99 255     0.95    -0.30   0         -1
	LaserFence          62      2582.24 1829.88 0       0.02    -1.00   0       63      1.00  2
	Wall                64      1385.48 2415.51 255     -0.63   -0.78   0         -1
	Wall                65      1354.00 2484.75 255     1.00    0.00    0         -1
	Wall                66      1381.76 2555.79 255     -0.70   0.71    0         -1
	Wall                67      1460.68 2390.33 255     0.02    -1.00   0         -1
	Wall                68      1454.78 2585.49 255     0.02    -1.00   0         -1
	Wall                69      1539.96 2409.81 255     0.45    -0.89   0         -1
	Wall                70      1532.97 2569.09 255     0.45    0.89    0         -1
	LaserFence          71      1571.12 2550.35 0       1.00    0.00    0       72      1.00  2
	LaserFence          72      1577.97 2429.76 0       1.00    0.00    0       -1      1.00  0
	GunTurret           73      1522.63 2484.34 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           74      2505.50 1786.17 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          75      2186.42 2563.94 0       -0.94   0.35    0       76      1.00  2
	LaserFence          76      2311.36 2713.40 0       0.07    1.00    0       77      1.00  2
	LaserFence          77      2543.71 2656.94 0       0.80    0.61    0       78      1.00  2
	LaserFence          78      2654.07 2448.53 0       0.97    -0.25   0       79      1.00  2
	LaserFence          79      2533.02 2287.51 0       0.36    -0.93   0       80      1.00  2
	LaserFence          80      2351.97 2235.95 255     -0.18   -0.98   0       -1      1.00  0
	LaserFence          81      2175.16 2353.78 0       -0.88   -0.47   0       75      1.00  2
	GunTurret           82      2217.86 2362.07 255     -0.70   -0.71   0       0   0.00 0.00 0.00 0.00 
	GunTurret           83      2325.52 2267.61 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	SolarPanel          84      2193.33 702.36  0       0.00    0.93    0       87      
	SolarPanel          85      2021.47 652.57  0       -0.00   0.96    0       84      
	SolarPanel          86      2146.22 615.39  0       -0.00   0.96    0       84      
	Pylon               87      2445.17 962.48  255     0.70    -0.72   0       88      
	Pylon               88      2630.78 1298.71 255     1.00    0.00    0       89      
	Pylon               89      2639.21 1484.19 255     1.00    0.00    0       90      
	Pylon               90      2675.19 1660.80 255     1.00    0.00    0       91      
	PylonEnd            91      2590.13 1829.98 255     1.00    0.00    0       62      
	LaserFence          63      2436.28 1824.05 255     0.02    -1.00   0       -1      1.00  0
	GunTurret           103     2075.47 817.43  255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           104     1988.30 748.62  255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	TrunkPort           105     1920.35 2734.05 0       0.02    -1.00   1       -1      
	SolarPanel          106     755.02  2095.31 0       -0.00   1.00    0       107     
	SolarPanel          107     888.99  2116.66 0       -0.00   0.98    0       109     
	SolarPanel          108     709.83  1994.66 0       -0.00   0.98    0       107     
	Pylon               109     958.55  2233.91 255     -1.00   -0.09   0       110     
	Pylon               110     843.55  2417.89 255     0.02    -1.00   0       111     
	Pylon               111     1053.64 2575.29 255     0.45    -0.89   0       112     
	Pylon               112     1264.10 2668.26 255     0.12    -0.99   0       113     
	Pylon               113     1505.65 2678.38 255     -0.28   -0.96   0       114     
	PylonEnd            114     1570.94 2556.38 255     0.07    1.00    0       71      
	GunTurret           126     881.51  1977.14 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          29      2127.93 1626.07 0       0.62    -0.78   0       30      2.00  2
	LaserFence          30      2011.88 1521.51 0       0.70    -0.72   0       31      2.00  2
	LaserFence          31      1779.02 1317.74 0       -0.28   -0.96   0       32      2.00  2
	LaserFence          32      1612.01 1487.91 255     -0.74   -0.68   0       -1      2.00  0
	LaserFence          33      1431.81 1650.73 0       -0.74   -0.68   0       34      2.00  2
	LaserFence          34      1249.89 1808.26 0       -0.99   0.11    0       35      2.00  2
	LaserFence          35      1356.72 2003.41 0       -0.69   0.72    0       36      2.00  2
	LaserFence          36      1441.26 2140.21 255     -0.73   0.69    0       -1      2.00  0
	LaserFence          37      1958.13 725.21  0       1.00    0.00    0       38      1.00  2
	LaserFence          38      1887.07 669.15  0       1.00    0.00    0       42      1.00  2
	LaserFence          42      2072.32 464.48  0       1.00    0.00    0       43      1.00  2
	LaserFence          43      2345.16 681.71  0       1.00    0.00    0       44      1.00  2
	LaserFence          44      2184.21 894.86  0       1.00    0.00    0       45      1.00  2
	LaserFence          45      2119.24 843.02  255     1.00    0.00    0       -1      1.00  0
	LaserFence          46      842.62  1934.40 255     1.00    0.00    0       -1      1.00  0
	LaserFence          47      753.05  1843.09 0       1.00    0.00    0       46      1.00  2
	LaserFence          92      573.14  2019.79 0       1.00    0.00    0       47      1.00  2
	LaserFence          93      814.14  2237.64 0       1.00    0.00    0       92      1.00  2
	LaserFence          94      991.65  2082.37 0       1.00    0.00    0       93      1.00  2
	LaserFence          95      933.00  2024.27 0       1.00    0.00    0       94      1.00  2
	LaserFence          96      1882.03 2306.66 0       -0.03   -1.00   0       6       1.25  5
	LaserFence          97      2168.71 2100.73 0       -0.92   -0.38   0       96      1.25  2
	GunTurret           99      1968.77 2130.53 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	SolarPanel          100     1992.79 1636.64 0       0.00    0.98    0       116     
	SolarPanel          101     1899.23 1530.39 0       -0.00   0.98    0       100     
	SolarPanel          102     1479.94 1997.80 0       0.00    0.99    0       121     
	SolarPanel          115     1406.85 1877.43 0       0.00    0.93    0       102     
	Pylon               116     2115.36 1738.79 255     0.70    -0.72   0       118     
	Pylon               118     2318.44 1753.66 255     -0.94   -0.33   0       119     
	Pylon               119     2212.02 1881.56 255     0.95    0.30    0       120     
	PylonEnd            120     2175.34 2102.89 255     0.98    0.20    0       97      
	Pylon               121     1517.42 2136.87 255     -0.96   -0.29   0       122     
	Pylon               122     1292.56 2249.77 255     0.80    -0.61   0       123     
	Pylon               123     1467.43 2338.09 255     0.27    -0.96   0       124     
	Pylon               124     1701.21 2307.74 255     0.09    1.00    0       125     
	Pylon               125     1864.26 2333.81 255     0.54    0.84    0       120     
	JumpPad             53      650.14  840.88  255     0.77    0.64    0       108.48 0.83 
	AITarget            54      647.56  840.95  255     1.00    0.00    0       -1    0.00 1     
	JumpPad             142     761.21  769.63  255     0.92    0.38    0       110.99 1.04 
	JumpPad             143     584.04  966.41  255     0.66    0.75    0       104.47 0.51 
	AITarget            144     752.66  770.39  255     1.00    0.00    0       -1    0.00 1     
	AITarget            145     579.25  955.42  255     1.00    0.00    0       -1    0.00 1     
	AITarget            147     850.36  2028.69 255     1.00    0.00    0       -1    0.00 1     
	AITarget            148     1008.28 1517.60 255     1.00    0.00    0       -1    0.00 1     
	AITarget            149     1302.19 1302.89 255     1.00    0.00    0       -1    0.00 1     
	AITarget            150     1526.79 1005.19 255     1.00    0.00    0       -1    0.00 1     
	AITarget            152     2068.87 752.04  255     0.70    -0.72   0       -1    0.00 1     
	AITarget            154     1944.20 2102.83 255     1.00    0.00    0       -1    0.00 1     
	AITarget            155     2307.58 2357.98 255     1.00    0.00    0       -1    0.00 1     
	AITarget            156     2528.86 1727.73 255     1.00    0.00    0       -1    0.00 1     
	AITarget            157     1448.62 2500.48 255     1.00    0.00    0       -1    0.00 1     
	AITarget            117     1536.51 1602.09 255     1.00    0.00    0       -1    0.00 1     
	TrunkPort           130     753.94  529.71  1       -0.63   0.78    1       -1      
	TrunkPort           131     402.87  768.55  1       0.95    -0.30   1       -1      
	Tree                132     2654.06 1118.20 255     1.00    0.00    0       173.91  43.97   0.67    0.68    6       99339   -13470533   -9609642    0       0       0       
	Tree                133     2519.90 1184.43 255     1.00    0.00    0       169.45  43.97   0.67    0.68    6       62012   -13470533   -9609642    0       0       0       
	Tree                134     2520.44 1113.96 255     1.00    0.00    0       152.33  43.97   0.67    0.68    6       62022   -13470533   -9609642    0       0       0       
	Tree                135     2562.00 1051.62 255     1.00    0.00    0       187.39  43.97   0.67    0.68    6       62034   -13470533   -9609642    0       0       0       
	Tree                136     2099.29 408.13  255     1.00    0.00    0       188.22  43.97   0.67    0.68    6       62064   -13470533   -9609642    0       0       0       
	Tree                137     2171.67 438.59  255     1.00    0.00    0       171.11  43.97   0.67    0.68    6       62074   -13470533   -9609642    0       0       0       
	Tree                138     527.47  2050.44 255     1.00    0.00    0       189.06  43.97   0.67    0.68    6       62092   -13470533   -9609642    0       0       0       
	Tree                139     539.29  2074.48 255     1.00    0.00    0       171.94  43.97   0.67    0.68    6       62104   -13470533   -9609642    0       0       0       
	Tree                140     511.49  2337.89 255     1.00    0.00    0       171.94  43.97   0.67    0.68    6       62104   -13470533   -9609642    0       0       0       
	Tree                141     523.95  2246.47 255     1.00    0.00    0       154.83  43.97   0.67    0.68    6       62113   -13470533   -9609642    0       0       0       
	Tree                146     502.25  2213.70 255     1.00    0.00    0       189.89  43.97   0.67    0.68    6       62122   -13470533   -9609642    0       0       0       
	Tree                151     1185.62 2104.73 255     1.00    0.00    0       155.66  43.97   0.67    0.68    6       62144   -13470533   -9609642    0       0       0       
	Tree                158     926.59  2534.31 255     1.00    0.00    0       173.61  43.97   0.67    0.68    6       62162   -13470533   -9609642    0       0       0       
	Tree                159     949.27  2467.46 255     1.00    0.00    0       173.61  43.97   0.67    0.68    6       62162   -13470533   -9609642    0       0       0       
	Tree                160     959.19  2382.19 255     1.00    0.00    0       156.49  43.97   0.67    0.68    6       62171   -13470533   -9609642    0       0       0       
	Tree                161     2564.57 499.24  255     1.00    0.00    0       175.27  43.97   0.67    0.68    6       62223   -13470533   -9609642    0       0       0       
	Tree                162     2539.38 504.50  255     1.00    0.00    0       175.27  43.97   0.67    0.68    6       62223   -13470533   -9609642    0       0       0       
	Tree                163     2474.47 455.33  255     1.00    0.00    0       158.16  43.97   0.67    0.68    6       62232   -13470533   -9609642    0       0       0       
	Tree                164     725.60  290.93  255     1.00    0.00    0       174.65  43.97   0.67    0.68    6       62321   -13470533   -9609642    0       0       0       
	Tree                165     560.71  299.07  255     1.00    0.00    0       212.76  43.97   0.67    0.68    6       62333   -13470533   -9609642    0       0       0       
	Tree                166     326.36  292.93  255     1.00    0.00    0       194.16  43.97   0.67    0.68    6       62342   -13470533   -9609642    0       0       0       
	Tree                167     377.52  243.20  255     1.00    0.00    0       194.16  43.97   0.67    0.68    6       62342   -13470533   -9609642    0       0       0       
	Tree                168     147.52  610.03  255     1.00    0.00    0       213.67  43.97   0.67    0.68    6       62360   -13470533   -9609642    0       0       0       
	Tree                169     161.53  712.18  255     1.00    0.00    0       195.06  43.97   0.67    0.68    6       62373   -13470533   -9609642    0       0       0       
	AIObjective         170     894.53  1477.57 1       1.00    0.00    0        176
	AIObjectiveMarker   171     709.90  1994.01 1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   172     2021.40 650.34  1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   173     1477.66 1996.26 1       1.00    0.00    0       0.00  176   0   0
	AIObjectiveMarker   174     1900.13 1527.07 1       1.00    0.00    0       0.00  176   0   0
	AIObjective         176     2168.02 1306.07 255     1.00    0.00    0        190
	AIObjective         177     2699.17 2251.41 255     1.00    0.00    0         -1
	AIObjectiveMarker   178     2354.98 2393.58 255     1.00    0.00    0       100.00  177   0   0
	AIObjectiveMarker   179     2512.25 1694.16 255     1.00    0.00    0       100.00  177   0   0
	AIObjectiveMarker   180     1457.80 2495.02 255     1.00    0.00    0       100.00  177   0   0
	AITarget            181     2467.99 2027.19 255     1.00    0.00    0       -1    0.00 1     
	AITarget            182     1899.96 2486.40 255     1.00    0.00    0       -1    0.00 1     
	AITarget            183     2154.65 2248.05 255     1.00    0.00    0       -1    0.00 1     
	AIObjectiveMarker   184     755.67  2095.36 1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   185     888.13  2115.87 1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   186     2146.98 612.82  1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   187     2191.51 701.52  1       1.00    0.00    0       0.00  170   0   0
	AIObjectiveMarker   188     1990.36 1637.98 1       1.00    0.00    0       0.00  176   0   0
	AIObjectiveMarker   189     1404.60 1879.99 1       1.00    0.00    0       0.00  176   0   0
	AIObjective         190     2190.94 1965.94 255     1.00    0.00    0        177
	AITarget            192     1906.52 1605.92 255     1.00    0.00    0       -1    0.00 1     
	AITarget            193     1498.22 1937.66 255     1.00    0.00    0       -1    0.00 1     
	AITarget            153     1768.81 1870.61 255     1.00    0.00    0       -1    0.00 0     
	Tree                175     2218.72 1259.93 255     1.00    0.00    0       192.47  43.97   0.67    0.68    6       42224   -13470533   -9609642    0       0       0       
	Tree                194     2147.65 1184.30 255     1.00    0.00    0       175.29  43.97   0.67    0.68    6       42237   -13470533   -9609642    0       0       0       
	Tree                195     2124.81 1288.93 255     1.00    0.00    0       158.10  43.97   0.67    0.68    6       42246   -13470533   -9609642    0       0       0       
	Tree                196     2082.81 1241.23 255     1.00    0.00    0       193.31  43.97   0.67    0.68    6       42255   -13470533   -9609642    0       0       0       
	Tree                197     1120.40 1836.28 255     1.00    0.00    0       161.44  43.97   0.67    0.68    6       42365   -13470533   -9609642    0       0       0       
	Tree                198     1131.01 1755.98 255     1.00    0.00    0       161.44  43.97   0.67    0.68    6       42365   -13470533   -9609642    0       0       0       
	Tree                199     1667.55 580.42  255     1.00    0.00    0       197.49  43.97   0.67    0.68    6       42405   -13470533   -9609642    0       0       0       
	Tree                200     1643.25 682.04  255     1.00    0.00    0       180.30  43.97   0.67    0.68    6       42414   -13470533   -9609642    0       0       0       
	Tree                201     1589.70 773.40  255     1.00    0.00    0       163.11  43.97   0.67    0.68    6       42426   -13470533   -9609642    0       0       0       
	Tree                202     1529.33 829.59  255     1.00    0.00    0       198.32  43.97   0.67    0.68    6       42435   -13470533   -9609642    0       0       0       
	Tree                203     2263.16 1433.68 255     1.00    0.00    0       181.97  43.97   0.67    0.68    6       42475   -13470533   -9609642    0       0       0       
	Tree                204     2329.45 1381.05 255     1.00    0.00    0       164.78  43.97   0.67    0.68    6       42484   -13470533   -9609642    0       0       0       
	AITarget            205     2218.71 689.73  255     0.70    -0.72   0       -1    0.00 1     
	AITarget            206     2139.28 584.99  255     0.70    -0.72   0       -1    0.00 1     
	AITarget            207     2021.18 614.44  255     0.70    -0.72   0       -1    0.00 1     
	AITarget            208     886.75  2147.84 255     1.00    0.00    0       -1    0.00 1     
	AITarget            209     739.63  2125.07 255     1.00    0.00    0       -1    0.00 1     
	AITarget            210     677.20  1998.84 255     1.00    0.00    0       -1    0.00 1     
	AITarget            127     1483.68 2035.40 255     1.00    0.00    0       -1    0.00 1     
	AITarget            128     1374.34 1895.91 255     1.00    0.00    0       -1    0.00 1     
	AITarget            129     2022.37 1605.52 255     1.00    0.00    0       -1    0.00 1     
	AITarget            211     1909.63 1489.51 255     1.00    0.00    0       -1    0.00 1     
	AIObjectiveMarker   212     2021.98 1984.23 1       1.00    0.00    0       0.00  190   0   0
	AIObjectiveMarker   213     1807.86 2143.55 1       1.00    0.00    0       0.00  190   0   0
	AIObjectiveMarker   214     1969.29 2132.65 1       1.00    0.00    0       0.00  190   0   0
	AIObjective         215     1809.63 178.68  0       1.00    0.00    0        218
	AIObjectiveMarker   216     2118.95 683.29  255     1.00    0.00    0       130.47  215   0   0
	AIObjectiveMarker   217     771.98  2057.40 255     1.00    0.00    0       130.47  215   0   0
	AIObjective         218     2009.18 164.81  255     1.00    0.00    0        220
	AIObjectiveMarker   219     1543.79 1606.22 255     1.00    0.00    0       100.00  218   0   0
	AIObjective         220     2144.94 180.93  255     1.00    0.00    0        223
	AIObjectiveMarker   221     1910.70 1593.46 255     1.00    0.00    0       100.00  220   0   0
	AIObjectiveMarker   222     1443.29 1950.27 255     1.00    0.00    0       100.00  220   0   0
	AIObjective         223     2282.88 181.60  255     1.00    0.00    0        225
	AIObjectiveMarker   224     1940.17 2075.71 255     1.00    0.00    0       100.00  223   0   0
	AIObjective         225     2424.98 180.62  255     1.00    0.00    0         -1
	AIObjectiveMarker   226     2515.38 1735.00 255     1.00    0.00    0       100.00  225   0   0
	AIObjectiveMarker   227     2366.61 2419.68 255     1.00    0.00    0       100.00  225   0   0
	AIObjectiveMarker   228     1444.05 2472.06 255     1.00    0.00    0       100.00  225   0   0
	AIObjectiveMarker   229     1111.05 1964.53 255     1.00    0.00    0       100.00  170   1  -1
	AIObjectiveMarker   230     1702.39 1789.95 255     1.00    0.00    0       100.00  176   1  -1
	AIObjectiveMarker   231     1954.10 2083.78 255     1.00    0.00    0       100.00  177   1  -1
	RestrictionZone     41      544.56  613.66  255     1.00    0.00    0       585.33    1
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player1          161.49  342.61  398.55 0.74 -0.37 0.56 0.30 0.93 0.22
	player0         2879.36  634.73 2648.44 -0.72 -0.46 -0.53 -0.37 0.89 -0.27
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        0  1596.6  1531.5      4    0      -1    10.0     0.0     0.0   -1   -1    0
