MultiwiniaOptions_StartDefinition
	GameTypes	CaptureTheStatue 
	PopulationCap	1500
	DefenderPopulationCap	-1
	NumPlayers	3
	LevelOptions	instantspawnpointcapture	
	Difficulty	intermediate
	   556  -5.00   2016    825  3.07   2.00     47      1 372266   1.00     3   AAAAPPPPPPAAAAAAAAPPPPPPAAAAAAAAPPPPPPPPAAAAAAPPPPPPAAAAPPPPPPPPPPAAAAAAAAPPPPPPAAAAAAAAAAPPAAAAAA
	  1123  -5.00   1455    439  3.07   2.00     41      1 453230   1.00     2   AAAAAAAAAAAAAAAAAA
	  1697  -5.00    348   1125  3.07   2.00     47      1 584503   1.00     3   AAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAA
	   761  -5.00    862    825  3.07   2.00     41      1 453230   1.00     2   AAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	1981.8   86.5 1627.8   56.5      3   24.1
	 681.8   87.9 1378.1  119.1      3   40.0
	 587.0   96.2 1076.5  128.4      3   40.0
	 756.2   97.1  864.1   93.4      3   40.0
	1391.2   28.7 1116.4  102.8      4   25.6
	 943.8   17.8 1088.3  115.2      4   26.5
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.83   0.53   0.14     0.62   0.62   0.62
	  0.68   0.00   0.73     2.89   1.30   0.21
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	MultiwiniaZone      0       1061.65 1346.91 255     1.00    0.00    0       60.54 
	MultiwiniaZone      1       352.22  284.95  255     1.00    0.00    0       50.00 
	MultiwiniaZone      2       944.18  2561.48 255     1.00    0.00    0       50.00 
	MultiwiniaZone      3       2465.00 800.68  255     1.00    0.00    0       50.00 
	MultiwiniaZone      4       608.08  1412.86 0       1.00    0.00    0       100.00
	MultiwiniaZone      5       1118.21 780.37  1       1.00    0.00    0       100.00
	MultiwiniaZone      6       1524.31 1576.76 2       1.00    0.00    0       100.00
	SpawnPoint          60      1227.23 664.38  1       -0.72   0.69    0       
	SpawnPoint          61      999.86  673.69  1       0.76    0.64    0       
	SpawnPoint          62      1107.25 632.07  1       0.02    1.00    0       
	SpawnPoint          63      450.37  1405.86 0       1.00    0.00    0       
	SpawnPoint          64      528.72  1540.05 0       0.70    -0.72   0       
	SpawnPoint          65      505.46  1292.66 0       0.80    0.61    0       
	SpawnPoint          66      1626.24 1693.27 2       -0.67   -0.75   0       
	SpawnPoint          67      1678.21 1561.50 2       -1.00   -0.06   0       
	SpawnPoint          68      1501.74 1739.73 2       -0.03   -1.00   0       
	SpawnPointMaster    69      888.08  114.51  255     1.00    0.00    0       60    62    61    65    63    64    67    68    66    
	AITarget            70      1525.14 1579.20 255     1.00    0.00    0       -1    0.00 1     
	AITarget            71      2462.92 804.93  255     1.00    0.00    0       -1    0.00 1     
	AITarget            72      1120.55 782.79  255     1.00    0.00    0       -1    0.00 1     
	AITarget            73      353.76  287.96  255     1.00    0.00    0       -1    0.00 1     
	AITarget            74      606.01  1412.68 255     1.00    0.00    0       -1    0.00 1     
	AITarget            75      948.88  2564.40 255     1.00    0.00    0       -1    0.00 1     
	AITarget            76      1099.33 1293.07 255     1.00    0.00    0       -1    0.00 1     
	AITarget            77      1232.41 1840.56 255     1.00    0.00    0       -1    0.00 1     
	AITarget            78      752.03  1803.01 255     1.00    0.00    0       -1    0.00 1     
	AITarget            79      1592.04 961.36  255     1.00    0.00    0       -1    0.00 1     
	MultiwiniaZone      81      1154.39 1259.28 255     1.00    0.00    0       60.00 
	AITarget            82      1701.73 1390.84 255     1.00    0.00    0       -1    0.00 1     
	AITarget            84      595.31  1064.64 255     1.00    0.00    0       -1    0.00 1     
	AITarget            7       677.51  702.14  255     1.00    0.00    0       -1    0.00 1     
	AITarget            8       997.53  2023.72 255     1.00    0.00    0       -1    0.00 1     
	AITarget            9       1919.94 1035.69 255     1.00    0.00    0       -1    0.00 1     
	Tree                10      2172.27 850.17  255     -0.80   -0.60   0       199.61  0.00    1.01    0.47    5       27271   -1          -1          0       0       1       
	Tree                11      2264.09 789.22  255     0.36    0.93    0       207.53  0.00    1.01    0.47    5       12091   -1          -1          0       0       1       
	Tree                12      2249.87 905.69  255     0.92    -0.39   0       187.89  0.00    1.01    0.47    5       12103   -1          -1          0       0       1       
	Tree                13      2161.86 973.96  255     1.00    0.00    0       228.13  0.00    1.01    0.47    5       12112   -1          -1          0       0       1       
	Tree                14      2063.12 959.91  255     -0.91   -0.41   0       208.49  0.00    1.01    0.47    5       12121   -1          -1          0       0       1       
	Tree                15      2096.98 828.80  255     0.35    0.94    0       188.84  0.00    1.01    0.47    5       12130   -1          -1          0       0       1       
	Tree                16      2148.54 1059.51 255     0.61    0.79    0       170.16  0.00    1.01    0.47    5       12173   -1          -1          0       0       1       
	Tree                17      2237.33 1031.84 255     0.82    -0.58   0       210.40  0.00    1.01    0.47    5       12182   -1          -1          0       0       1       
	Tree                18      2331.33 929.26  255     1.00    0.00    0       190.75  0.00    1.01    0.47    5       12192   -1          -1          0       0       1       
	Tree                19      2351.74 1045.59 255     -0.68   -0.73   0       211.35  0.00    1.01    0.47    5       12213   -1          -1          0       0       1       
	Tree                20      2474.79 960.95  255     1.00    0.00    0       191.71  0.00    1.01    0.47    5       12222   -1          -1          0       0       1       
	Tree                21      2416.91 846.36  255     1.00    0.00    0       212.31  0.00    1.01    0.47    5       12240   -1          -1          0       0       1       
	Tree                22      2350.99 727.46  255     1.00    0.00    0       173.02  0.00    1.01    0.47    5       12262   -1          -1          0       0       1       
	Tree                23      2015.09 814.27  255     -0.53   0.85    0       214.22  0.00    1.01    0.47    5       12301   -1          -1          0       0       1       
	Tree                24      2073.49 696.74  255     1.00    0.00    0       194.57  0.00    1.01    0.47    5       12311   -1          -1          0       0       1       
	Tree                25      2509.95 872.48  255     0.75    0.66    0       181.70  0.00    1.01    0.47    5       12680   -1          -1          0       0       1       
	Tree                26      2408.38 681.36  255     1.00    -0.02   0       201.77  0.00    1.01    0.47    5       12701   -1          -1          0       0       1       
	Tree                27      871.15  2463.87 255     0.30    -0.95   0       222.78  0.00    1.01    0.47    5       12750   -1          -1          0       0       1       
	Tree                28      968.58  2462.35 255     1.00    -0.02   0       203.64  0.00    1.01    0.47    5       12759   -1          -1          0       0       1       
	Tree                29      1056.83 2429.16 255     -0.71   0.70    0       184.49  0.00    1.01    0.47    5       12768   -1          -1          0       0       1       
	Tree                30      980.53  2378.87 255     0.39    -0.92   0       223.72  0.00    1.01    0.47    5       12781   -1          -1          0       0       1       
	Tree                31      1060.33 2328.87 255     0.30    -0.95   0       204.57  0.00    1.01    0.47    5       12790   -1          -1          0       0       1       
	Tree                32      955.64  2301.42 255     -0.39   -0.92   0       185.42  0.00    1.01    0.47    5       12799   -1          -1          0       0       1       
	Tree                33      856.59  2355.41 255     1.00    0.00    0       166.27  0.00    1.01    0.47    5       12811   -1          -1          0       0       1       
	Tree                34      804.11  2271.68 255     0.84    -0.54   0       205.50  0.00    1.01    0.47    5       12820   -1          -1          0       0       1       
	Tree                35      887.93  2231.61 255     1.00    0.00    0       186.35  0.00    1.01    0.47    5       12829   -1          -1          0       0       1       
	Tree                36      978.86  2239.45 255     1.00    0.00    0       167.21  0.00    1.01    0.47    5       12839   -1          -1          0       0       1       
	Tree                37      1048.31 2202.72 255     0.12    0.99    0       206.43  0.00    1.01    0.47    5       12851   -1          -1          0       0       1       
	Tree                38      952.72  2160.65 255     -0.78   0.62    0       187.28  0.00    1.01    0.47    5       12860   -1          -1          0       0       1       
	Tree                39      821.43  2134.64 255     -0.43   0.90    0       187.28  0.00    1.01    0.47    5       12860   -1          -1          0       0       1       
	Tree                40      355.51  379.35  255     -0.98   -0.22   0       190.08  0.00    1.01    0.47    5       12948   -1          -1          0       0       1       
	Tree                41      431.83  369.99  255     1.00    0.00    0       170.93  0.00    1.01    0.47    5       12961   -1          -1          0       0       1       
	Tree                42      475.52  316.41  255     0.70    -0.72   0       210.16  0.00    1.01    0.47    5       12970   -1          -1          0       0       1       
	Tree                43      459.30  217.06  255     0.85    0.52    0       191.01  0.00    1.01    0.47    5       12979   -1          -1          0       0       1       
	Tree                44      544.47  289.31  255     1.00    0.00    0       171.86  0.00    1.01    0.47    5       12988   -1          -1          0       0       1       
	Tree                45      558.85  377.09  255     -0.18   -0.98   0       171.86  0.00    1.01    0.47    5       12988   -1          -1          0       0       1       
	Tree                46      509.19  435.73  255     -0.28   0.96    0       211.09  0.00    1.01    0.47    5       13000   -1          -1          0       0       1       
	Tree                47      429.97  491.64  255     1.00    0.00    0       172.79  0.00    1.01    0.47    5       13019   -1          -1          0       0       1       
	Tree                48      364.12  435.76  255     -0.28   0.96    0       212.02  0.00    1.01    0.47    5       13028   -1          -1          0       0       1       
	Tree                49      429.00  545.09  255     1.00    -0.05   0       192.87  0.00    1.01    0.47    5       13040   -1          -1          0       0       1       
	Tree                50      523.91  512.09  255     1.00    0.00    0       173.72  0.00    1.01    0.47    5       13049   -1          -1          0       0       1       
	Tree                51      596.56  488.42  255     0.09    -1.00   0       193.80  0.00    1.01    0.47    5       13067   -1          -1          0       0       1       
	Tree                52      647.65  395.76  255     0.88    0.48    0       174.66  0.00    1.01    0.47    5       13080   -1          -1          0       0       1       
	Tree                53      499.56  588.00  255     -0.67   -0.75   0       175.59  0.00    1.01    0.47    5       13107   -1          -1          0       0       1       
	Tree                54      1009.97 2387.09 255     0.12    0.99    0       186.72  0.00    1.01    0.47    5       13745   -1          -1          0       0       1       
	AITarget            55      865.65  815.13  255     1.00    0.00    0       -1    0.00 1     
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0          200.39  556.11 1616.54 0.78 -0.56 -0.28 0.53 0.83 -0.19
	player1         1063.31  552.51  367.29 0.08 -0.63 0.78 0.06 0.78 0.62
	player2         1874.83  514.71 1914.27 -0.65 -0.55 -0.52 -0.43 0.83 -0.35
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        2  1529.5  1580.1     40    0      -1    42.9     0.0     0.0   -1   -1    0
	Darwinian        1  1121.9   776.6     40    0      -1    42.9     0.0     0.0   -1   -1    0
	Darwinian        0   611.4  1412.6     40    0      -1    42.9     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
