MultiwiniaOptions_StartDefinition
	Name		NewLevel
	GameTypes	Assault 
	PopulationCap	1500
	DefenderPopulationCap	200
	NumPlayers	4
	LevelOptions	trunkportreinforcements 60	trunkportarmour 3	
	InvalidCrates	Armour	
	PlayTime	20
	Difficulty	advanced
	AttackingTeams	2 3 
	   551   0.00   3408    614  1.70   1.00     99      1      1   1.00     4   AAAAAAPPPPAAAAAAAAPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPNPPPPPPPPPPAAAAPPPPPPPPPPPPPOMGNLPPPPPPPPAAAAPPPPPPPPPPPPPBLMKIMAPPPPPPAAAAPPPPPPPPPPPCOGLDIKHAIAMOAAAAAAAAPPPPPPPPPPOILKHBDLBEAJAAAAAAAAAAPPPPPPPPPPKPGNCAAAAAAAAAAAAAAAAAPPPPPPPPPPFHAAAAAAAAAAAAAAAAAAAAAAPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	   404   0.00   2728    954  1.70   1.00    151      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPAAPGOPOFOGPHAAAAPPAAAAAAAAAAAAAAAJMALHMJLBAAAAAAAAAAAAAAAAAAAAAAKKLAKMICAAAAAAAAAAAA
	   916   0.00   2737    754  1.70   1.00    209      1      1   1.00     4   AAAAAAAAPPPPAAAAPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPLBMEONPPPPPPPPPPPPPPPPPPPPPPPPLNMPONPPPPPPPPPPPPPPPPPPPPPPPPLNNEOLPPPPPPPPPPPPPPPPPPPPPPPPMEMFOHPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	  4143   0.00   3692    834  1.65   1.00    115      1 2114311   1.04     4   AAAAAAPPAAAAAAPPPPAAPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPKHKELIPPPPPPPPLDLGLKPPPPAAPPPPHBHJHKPPPPPPPPJBIHJGPPAAAAAAAACFFCFLPPPPPPPPGIGLAAPPAA
	  4309   0.00   3079    884  1.70   1.00    200      1 1268084   1.00     4   AAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPAAAAAAPPAAAAAAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPCPDPAOPAAAAAAAAAAAAAAAAAAAAPPNDNGNGNKNFAAAAAAAAAAAAAAAAAAMHMBKLNBMJMEAAAAAAAAAAAAAAAAAAAAJCJNNLNKMIAAAAAAAAAAAAAA
	  3963   0.00   2113   1334  1.70   1.00    200      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPAAAAAAAAPPPPAAAAAAAAPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPAAAAPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	4572.0   82.6 4697.0  231.8      3   40.0
	4651.2   65.3 4427.7   16.0      2   40.0
	4480.6   64.9 4425.4   13.8      2   40.0
	4652.4   69.8 4462.3   22.6      3   40.0
	4466.5   54.1 4461.2   25.3      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	  0.64   0.74   0.18     0.50   0.50   0.50
	 -0.72   0.21  -0.67     2.22   1.73   1.30
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	PulseBomb           0       2828.81 2786.25 1       1.00    0.00    0       1200.00  134 135 133 
	TrunkPort           1       2743.24 2490.81 1       0.12    0.99    1       -1      
	TrunkPort           2       3604.87 3757.13 0       0.17    0.99    1       -1      
	TrunkPort           4       5330.91 5023.62 2       -0.59   -0.81   1       -1      
	TrunkPort           5       5196.99 5023.58 2       0.23    -0.97   1       -1      
	TrunkPort           6       1298.89 5421.91 3       0.58    -0.81   1       -1      
	TrunkPort           7       1282.80 5044.51 3       0.77    0.64    1       -1      
	LaserFence          8       2628.50 3284.11 0       0.41    0.91    0       9       2.50  2
	LaserFence          9       2963.82 3176.83 0       0.54    0.84    0       10      2.50  2
	LaserFence          10      3318.03 2874.96 0       0.85    0.52    0       11      3.00  2
	LaserFence          11      3331.99 2636.14 0       0.88    0.48    0       13      3.00  2
	LaserFence          13      3228.24 2443.65 0       -0.23   -0.97   0       16      2.50  2
	LaserFence          16      2939.24 2190.92 0       0.50    -0.87   0       17      2.00  2
	LaserFence          17      2748.25 2363.59 0       -0.50   -0.86   0       20      2.00  2
	LaserFence          20      2505.54 2527.51 0       -0.80   -0.60   0       21      2.00  2
	LaserFence          21      2398.19 3057.85 0       -1.00   -0.04   0       8       2.50  2
	LaserFence          23      2308.49 3506.69 1       -0.55   0.84    0       24      1.50  2
	LaserFence          24      2507.74 3490.24 1       0.36    0.93    0       25      1.50  2
	LaserFence          25      2811.61 3293.39 1       0.32    0.95    0       26      1.50  2
	LaserFence          26      3048.78 3268.00 1       0.54    0.84    0       360     1.50  2
	LaserFence          27      3664.78 2727.81 1       0.95    0.30    0       28      1.50  2
	LaserFence          28      3601.36 2317.81 1       0.76    -0.64   0       29      1.50  2
	LaserFence          29      2960.22 2101.22 1       0.22    -0.98   0       30      1.50  2
	LaserFence          30      2429.41 2259.96 1       -0.83   -0.56   0       31      1.50  2
	LaserFence          31      2285.56 2515.98 1       -0.88   -0.47   0       32      1.50  2
	LaserFence          32      2163.32 2813.90 1       -0.98   -0.19   0       33      1.50  2
	LaserFence          33      2183.46 3228.70 1       -0.98   0.21    0       23      1.50  2
	LaserFence          34      2248.41 3583.87 0       -0.63   0.78    0       35      1.00  2
	LaserFence          35      2506.77 3617.16 0       0.12    0.99    0       36      1.00  2
	LaserFence          36      2943.57 3507.77 0       0.22    0.98    0       37      1.00  2
	LaserFence          37      3340.88 3333.90 0       0.62    0.78    0       38      1.00  2
	LaserFence          38      3738.51 2903.50 0       0.92    0.39    0       39      1.00  2
	LaserFence          39      3777.76 2376.11 0       0.95    -0.30   0       40      1.00  2
	LaserFence          40      3600.40 2198.22 0       0.50    -0.87   0       41      1.00  2
	LaserFence          41      3031.72 2048.45 0       0.02    -1.00   0       42      1.00  2
	LaserFence          42      2673.44 2037.89 0       -0.37   -0.93   0       43      1.00  2
	LaserFence          43      2173.16 2235.95 0       -0.74   -0.68   0       44      1.00  2
	LaserFence          44      2061.46 2751.05 0       -1.00   0.01    0       45      1.00  2
	LaserFence          45      2097.37 3205.57 0       -0.97   0.26    0       34      1.00  2
	LaserFence          46      5318.44 4348.63 0       0.07    -1.00   0       47      1.50  2
	LaserFence          47      4999.94 4438.82 0       -0.59   -0.81   0       363     1.50  2
	LaserFence          48      4828.44 3849.84 0       0.88    -0.48   0       364     1.50  2
	LaserFence          49      5402.15 2928.62 0       0.97    0.25    0       50      1.50  2
	LaserFence          50      5134.22 2506.84 0       0.70    -0.72   0       51      1.50  2
	LaserFence          51      4573.68 2655.09 0       -0.23   -0.97   0       52      1.50  2
	LaserFence          52      3986.08 2691.25 0       -0.97   -0.24   0       53      1.50  2
	LaserFence          53      3930.91 3323.88 0       -0.97   -0.24   0       322     1.50  2
	LaserFence          54      4225.29 4106.64 0       -1.00   -0.09   0       55      1.50  2
	LaserFence          55      4226.23 4343.64 0       -1.00   0.06    0       321     1.50  2
	LaserFence          56      4289.03 4649.80 0       -0.90   0.44    0       57      1.50  2
	LaserFence          57      4779.75 5173.47 0       -0.28   0.96    0       58      1.50  2
	LaserFence          58      5146.68 5220.49 0       0.27    0.96    0       59      1.50  2
	LaserFence          59      5605.04 4989.85 0       0.83    0.56    0       60      1.50  2
	LaserFence          60      5713.55 4629.20 0       1.00    0.00    0       61      1.50  2
	LaserFence          61      5584.22 4358.70 0       0.54    -0.84   0       46      1.50  2
	SolarPanel          70      4237.41 2943.56 0       -0.00   1.00    0       76      
	SolarPanel          71      4348.88 2979.43 0       -0.00   1.00    0       70      
	SolarPanel          72      4245.91 3072.77 0       -0.00   1.00    0       70      
	SolarPanel          73      4868.05 2925.26 0       -0.00   0.99    0       74      
	SolarPanel          74      5040.98 2960.78 0       -0.00   0.99    0       98      
	SolarPanel          75      4922.46 3046.91 0       -0.00   0.99    0       74      
	Pylon               76      4106.75 3027.70 255     -0.32   -0.95   0       78      
	Pylon               78      3817.63 3013.98 255     0.17    -0.99   0       79      
	PylonEnd            79      3744.01 2906.14 255     0.85    0.52    0       38      
	LaserFence          80      5493.01 4175.81 0       -0.65   0.76    0       95      1.00  2
	LaserFence          81      5905.54 4177.41 0       0.12    0.99    0       80      1.00  2
	LaserFence          82      6256.65 4144.08 0       0.50    0.87    0       81      1.00  2
	LaserFence          83      6453.86 3984.22 0       1.00    0.05    0       82      1.00  2
	LaserFence          84      6374.50 3746.95 0       0.76    -0.64   0       83      1.50  2
	LaserFence          85      6474.17 3485.20 0       0.95    0.30    0       84      1.50  2
	LaserFence          86      6725.78 3323.32 0       0.92    0.39    0       85      1.50  2
	LaserFence          87      6689.48 2902.79 0       0.70    -0.72   0       86      1.50  2
	LaserFence          88      6392.06 2902.02 0       -0.70   -0.71   0       87      1.50  2
	LaserFence          90      6167.92 3115.50 0       -0.55   -0.84   0       88      1.50  2
	LaserFence          91      6067.61 3375.17 0       0.50    -0.87   0       90      1.50  5
	LaserFence          92      5762.07 3279.89 0       -0.32   -0.95   0       91      1.00  2
	LaserFence          93      5661.65 3570.48 0       -0.86   -0.52   0       92      1.00  2
	LaserFence          94      5505.23 3656.76 0       -0.92   -0.38   0       93      1.00  2
	LaserFence          95      5477.81 3909.90 0       -0.99   0.16    0       94      1.00  2
	LaserFence          96      6126.81 3479.47 0       -0.55   -0.84   0       91      1.00  2
	LaserFence          97      6273.15 3625.07 0       0.62    0.78    0       84      1.50  2
	Pylon               98      5168.47 3001.88 255     1.00    0.00    0       99      
	Pylon               99      5483.03 3075.94 255     1.00    0.00    0       100     
	Pylon               100     5981.50 3242.28 255     -0.99   0.16    0       101     
	Pylon               101     6507.41 3842.79 255     -0.95   0.30    0       102     
	PylonEnd            102     6381.48 3746.88 255     1.00    0.00    0       84      
	GunTurret           103     6235.90 3600.65 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           104     6143.06 3506.84 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	StaticShape         105     6007.19 3975.28 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         106     6048.74 3687.03 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         107     5963.39 3784.50 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         108     5873.15 3690.43 255     -0.55   -0.84   0         1.00  beachheadobstruction.shp  
	StaticShape         109     6006.62 3602.87 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         110     5939.09 3527.72 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         111     5831.97 3610.70 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         112     6148.04 3800.25 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         113     6298.43 3849.04 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         114     6221.66 3930.23 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         115     6144.85 3895.15 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         116     5950.30 3680.91 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         117     5858.88 3777.96 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         118     5960.61 3882.13 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         119     6050.49 3793.55 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         120     6115.95 3961.18 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	StaticShape         121     5760.45 3719.55 255     -0.80   -0.60   0         1.00  beachheadobstruction.shp  
	SolarPanel          122     6589.64 3061.14 0       -0.00   1.00    0       124     
	SolarPanel          123     6451.62 3082.78 0       -0.00   0.99    0       126     
	SolarPanel          124     6556.16 3185.24 0       -0.00   1.00    0       123     
	GunTurret           125     6386.73 3287.49 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	Pylon               126     6494.88 2407.54 255     0.62    0.78    0       127     
	Pylon               127     5129.11 1651.86 255     0.45    0.89    0       128     
	Pylon               128     4490.79 1535.92 255     0.58    0.81    0       129     
	Pylon               129     3645.45 1574.80 255     0.36    0.93    0       130     
	Pylon               130     3114.30 1656.65 255     1.00    0.00    0       131     
	Pylon               131     3142.90 2301.56 255     -0.13   -0.99   0       132     
	PylonEnd            132     2945.21 2190.66 255     1.00    0.00    0       16      
	ControlStation      133     3101.65 2809.59 255     0.12    -0.99   0           -1
	ControlStation      134     2603.65 2789.85 255     0.12    0.99    0           -1
	ControlStation      135     2807.55 3019.82 255     0.99    0.15    0           -1
	SolarPanel          140     3083.82 4461.72 1       0.00    1.00    0       141     
	SolarPanel          141     2914.68 4454.85 1       -0.00   1.00    0       191     
	SolarPanel          142     2990.91 4547.52 1       -0.00   1.00    0       141     
	StaticShape         151     2521.02 5261.34 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         152     2512.68 5036.16 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         153     2614.27 5125.16 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         162     2599.88 5266.40 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         163     2465.53 5162.58 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         164     2621.19 5024.82 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         165     2692.27 4987.97 255     0.85    -0.52   0         1.00  beachheadobstruction.shp  
	StaticShape         166     2428.87 4935.60 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         167     2398.35 5061.66 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	StaticShape         168     2424.42 5257.94 255     0.32    -0.95   0         1.00  beachheadobstruction.shp  
	LaserFence          171     1066.51 3761.25 1       0.88    -0.48   0       172     1.50  5
	LaserFence          172     1017.67 3659.52 1       0.98    0.20    0       222     1.50  5
	LaserFence          175     1131.54 3309.25 1       0.88    0.48    0       199     1.50  2
	LaserFence          179     659.58  3696.89 1       -0.92   -0.38   0       180     1.50  2
	LaserFence          180     612.80  3755.31 1       -0.99   0.11    0       182     1.50  2
	LaserFence          182     751.38  3920.70 1       0.12    0.99    0       184     1.50  2
	LaserFence          184     918.09  4090.62 1       -0.74   0.68    0       185     1.00  2
	LaserFence          185     1038.16 4226.54 1       -0.63   0.78    0       186     1.00  2
	LaserFence          186     1161.65 4335.19 1       0.12    0.99    0       187     1.00  2
	LaserFence          187     1344.27 4172.12 1       0.95    0.30    0       188     1.00  2
	LaserFence          188     1379.32 3994.01 1       0.66    -0.75   0       189     1.00  2
	LaserFence          189     1223.20 4020.47 1       0.27    -0.96   0       190     1.00  2
	LaserFence          190     1113.65 3882.75 1       0.76    -0.64   0       171     1.00  2
	Pylon               191     2772.81 4405.77 255     -0.42   0.91    0       192     
	Pylon               192     2599.52 4699.45 255     -0.23   -0.97   0       193     
	Pylon               193     2347.39 4730.66 255     -0.13   0.99    0       194     
	Pylon               194     1865.90 4746.40 255     -0.03   -1.00   0       195     
	Pylon               195     1388.35 4654.09 255     0.41    -0.91   0       196     
	Pylon               196     915.15  4344.53 255     0.41    -0.91   0       197     
	Pylon               197     722.38  4204.12 255     1.00    0.00    0       198     
	PylonEnd            198     749.54  3928.00 255     -0.28   0.96    0       182     
	SolarPanel          201     1428.22 3162.53 1       0.00    1.00    0       202     
	SolarPanel          202     1417.66 2970.99 1       0.00    0.99    0       204     
	SolarPanel          203     1258.93 3079.97 1       -0.00   1.00    0       201     
	Pylon               204     1483.68 2874.36 255     0.99    -0.15   0       207     
	Pylon               207     1873.31 2566.90 255     -0.23   -0.97   0       208     
	Pylon               208     2184.77 2532.73 255     -0.08   -1.00   0       209     
	PylonEnd            209     2278.77 2513.77 255     -0.90   -0.43   0       31      
	AITarget            231     2615.66 2805.66 255     1.00    0.00    0       -1    0.00 1     
	AITarget            232     2799.82 3014.72 255     1.00    0.00    0       -1    0.00 1     
	AITarget            233     3097.89 2829.73 255     1.00    0.00    0       -1    0.00 1     
	AITarget            234     3075.08 3023.48 255     1.00    0.00    0       -1    0.00 1     
	AITarget            235     2507.69 3099.84 255     1.00    0.00    0       -1    0.00 1     
	AITarget            236     5826.30 3972.65 255     1.00    0.00    0       -1    0.00 1     
	AITarget            237     6203.22 3537.58 255     1.00    0.00    0       -1    0.00 1     
	AITarget            238     6568.30 3145.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            239     6469.86 3034.66 255     1.00    0.00    0       -1    0.00 1     
	AITarget            240     6604.93 3017.89 255     1.00    0.00    0       -1    0.00 1     
	AITarget            254     3637.39 3892.78 255     1.00    0.00    0       -1    0.00 1     
	AITarget            255     2747.46 2551.18 255     1.00    0.00    0       -1    0.00 1     
	AITarget            256     1309.94 5233.35 255     1.00    0.00    0       -1    0.00 1     
	AIObjective         257     3640.50 3345.65 255     1.00    0.00    0        264
	AIObjectiveMarker   258     4238.60 2941.30 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   259     4350.73 2976.21 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   260     4246.91 3070.87 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   261     4923.34 3044.92 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   262     4868.33 2922.82 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   263     5040.48 2958.08 2       1.00    0.00    0       0.00  257   0   0
	AIObjective         264     6346.45 2552.25 255     1.00    0.00    0        269
	AIObjectiveMarker   265     6555.31 3183.68 2       1.00    0.00    0       0.00  264   0   0
	AIObjectiveMarker   266     6588.86 3061.63 2       1.00    0.00    0       0.00  264   0   0
	AIObjectiveMarker   267     6450.33 3083.06 2       1.00    0.00    0       0.00  264   0   0
	AIObjectiveMarker   268     5825.87 3995.61 255     1.00    0.00    0       100.00  264   1   0
	AIObjective         269     2853.26 3948.57 255     1.00    0.00    0         -1
	AIObjectiveMarker   270     2808.82 3014.13 255     1.00    0.00    0       43.50  269   0   0
	AIObjectiveMarker   271     2611.63 2780.38 255     1.00    0.00    0       43.50  269   0   0
	AIObjectiveMarker   272     3094.37 2809.41 255     1.00    0.00    0       43.50  269   0   0
	AIObjective         273     2281.93 4574.82 3       1.00    0.00    0        278
	AIObjectiveMarker   274     2990.65 4544.57 3       1.00    0.00    0       0.00  273   0   0
	AIObjectiveMarker   275     2913.85 4450.39 3       1.00    0.00    0       0.00  273   0   0
	AIObjectiveMarker   276     3081.17 4456.82 3       1.00    0.00    0       0.00  273   0   0
	AIObjectiveMarker   277     2295.85 5142.20 255     1.00    0.00    0       66.49  273   1   0
	AIObjective         278     1486.57 3787.43 255     1.00    0.00    0        269
	AIObjectiveMarker   279     1164.44 4151.90 255     1.00    0.00    0       100.00  278   1   0
	AIObjectiveMarker   280     1261.01 3078.89 3       1.00    0.00    0       0.00  278   0   0
	AIObjectiveMarker   281     1429.46 3160.89 3       1.00    0.00    0       0.00  278   0   0
	AIObjectiveMarker   282     1419.67 2969.93 3       1.00    0.00    0       0.00  278   0   0
	SolarPanel          283     4690.56 2921.03 0       0.00    1.00    0       284     
	SolarPanel          284     4619.96 3052.87 0       -0.00   0.99    0       285     
	SolarPanel          285     4554.63 2978.24 0       -0.00   1.00    0       292     
	AIObjectiveMarker   286     4555.56 2974.49 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   287     4619.77 3049.56 2       1.00    0.00    0       0.00  257   0   0
	AIObjectiveMarker   288     4689.58 2917.28 2       1.00    0.00    0       0.00  257   0   0
	PylonEnd            292     4575.04 2662.30 255     0.15    0.99    0       51      
