MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	1600
	DefenderPopulationCap	200
	NumPlayers	4
	LevelOptions	trunkportreinforcements 75	
	InvalidCrates	Armour	
	PlayTime	15
	Difficulty	advanced
	AttackingTeams	0 1 
	  1842   0.00   1519   1334  2.00   1.00    155      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAPPPPAAAAAAAAAAPPPPPPNGAAAAAAAAPPPPPPPPAAAAPPPPPPPPNELDHFAAAAAAPPPPPPPPAAPPPPPPPPNPKPIGAAAAAAPPPPPPPPPPPPPPPPPPOAKEGPAAAAAAPPPPPPPPPPPPPPPPPPNMKMHKAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAA
	  1903   0.00   1863   1084  2.00   1.00    200      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPLDLDLGMBLNAAAAAAAAAAAAAAPPPPPPMINFNMNMOJPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAA
	  2070   0.00   1191    584  2.00   1.00    257      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPAAPPPPPPPPAAAAAAAAAAAAAAAAPPAAAAAAAAPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	   490   0.00   2691   1084  2.00   1.00    200      1      1   1.00     4   AAAAAAPPAAAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPLLKIBKAAAAAAAAAAAAAAPPPPPPPPPPNJMEIPAAAAAAAAAAAAAAPPPPPPPPPPPPNPNEKHAAAAAAAAAAAAPPPPPPPPPPPPPPOMMPLAAJAAAAAAAAAAPPPPPPPPPPPPPPOCMNMCAAABAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAAAPPPPPPPPAAAAAA
	   198   0.00   3075    834  2.00   1.00    261      1      1   1.00     4   AAAAAAAAPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPPCNHLPAAAAAAAAAAAAPPPPPPPPPPPPPPNOOAMCAAAAAAAAAAPPPPPPPPPPPPPPPPPANBLIAAAAAAAAPPPPPPPPPPPPPPPPPPOENILPAAAAAAAAPPPPPPPPPPPPPPPPPPOLNDMEAAAAAAPPPPPPPPPPPPPPPPPPPPOONAPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAA
	   193   0.00   2975    834  2.00   1.00    261      1      1   1.00     0
	     7   0.00   2089   1984  1.20   1.00    132      0 1654933   1.00     0
	   534   0.00    371   1334  2.00   1.00    135      1      1   1.00     4   AAAAAAAAPPPPPPAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPAAAAAAPPPPPPAAAAPPPPPPPPPPPPAAAAAAAAPPPPPPAAAAPPPPPPPPPPPPAAAAAAAAAAPPAAAAAAAAAAAAAAAAPPPPAAAAAAAAAAAAAA
	   345   0.00    483   1084  2.00   1.00    200      1      1   1.00     4   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPPPPAAAAPPAAAAAAAAAAAAAAAAAAAAAAPPPPPPPPPPAAPPPPAAAAAAAAAAAAAAAAPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPNGKDAAAAAAAAPPPPPPPPPPPPPPPPPPNAJLAAAAPPPPPPPPPPPPPPPPPPPPPPMPJPAAAAPPPPPPPPPPPPPPPPPPPPPPMPJKAAAAAAPPPPPPPPPPPPPPPPPPPPMNJHAAAAAAPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPOAAAAAAAAAAAAAAAAAAAAAAAAPPAAAAAAAAAAAA
	   902   0.00    417    384  3.23   1.00    220      1      1   1.00     3   AAAAAAPPPPAAAAAAPPPPPPPPPPAAPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPLPEPIPPAAAABDNMNPOBAAAA
	   179   0.00   1040   1034  2.00   1.00    256      1      1   1.00     4   AAAAAAPPPPPPPPPPPPAAAAAAAAAAAAAAAAAAPPPPPPPPPPPPMGAAAAAAAAAAAAAAPPPPPPPPPPPPPIODLJAAAAAAAAAAAAPPPPPPPPPPPPPPPCNPKOAAAAAAAAPPPPPPPPPPPPPPPPPPOPNGKFAAAAPPPPPPPPPPPPPPPPPPPPPPONNEJLAAPPPPPPPPPPPPPPPPPPPPPPPPPPPPAAPPPPPPPPPPPPPPPPPPPPPPPPPPAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAPPPPPPPPPPPPPPPPPPPPAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAPPPPPPPPPPPPPPPPAAAAAAAAAAAAAAAAPPPPPPPPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
LandscapeTiles_EndDefinition

LandFlattenAreas_StartDefinition
	# x      y       z      size
	# ==========================
	3433.4  112.2 1489.7  413.4      3   87.3
	3537.8  125.7 2406.1  516.0      3   87.3
	3239.4  125.7 2870.6  345.0      3   87.3
	2426.9  126.2 1925.9  327.5      4  118.4
	1051.9  141.8 2462.1  151.0      3   40.0
LandFlattenAreas_EndDefinition

Lights_StartDefinition
	# x      y      z        r      g      b
	# =========================================
	 -0.35   0.84   0.42     0.48   0.45   0.38
	  0.34   0.06  -0.94     2.04   1.85   1.64
Lights_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
	PulseBomb           0       2355.43 1475.17 2       -0.37   -0.93   0       900.00  44  43  41  42  
	TrunkPort           1       3172.69 1539.56 0       1.00    -0.01   1       -1      
	TrunkPort           2       3210.96 1391.58 0       0.70    0.72    1       -1      
	TrunkPort           3       3336.10 1329.05 0       -0.03   1.00    1       -1      
	TrunkPort           4       3478.07 1337.95 1       -0.03   1.00    1       -1      
	TrunkPort           5       3612.28 1404.79 1       -0.76   0.65    1       -1      
	TrunkPort           6       3651.99 1545.05 1       -1.00   0.01    1       -1      
	LaserFence          7       3060.16 1900.04 2       -0.86   -0.52   0       8       1.25  5
	LaserFence          8       2819.99 1872.21 3       0.41    -0.91   0       9       2.00  2
	LaserFence          9       2715.72 1841.90 2       0.17    -0.99   0       10      2.00  2
	LaserFence          10      2625.74 2035.76 3       0.73    -0.68   0       11      2.00  2
	LaserFence          11      2518.60 2151.21 2       0.99    0.15    0       12      2.00  2
	LaserFence          12      2468.80 2114.57 3       0.97    -0.25   0       13      2.00  2
	LaserFence          13      2403.98 2092.02 2       -0.42   -0.91   0       30      2.00  2
	LaserFence          17      2231.87 2409.38 3       -0.92   -0.38   0       18      2.00  5
	LaserFence          18      2300.70 2484.94 2       -0.94   0.33    0       19      2.00  2
	LaserFence          19      2337.13 2774.05 3       -0.70   0.71    0       20      2.00  2
	LaserFence          20      2674.20 2785.88 2       0.58    0.81    0       21      2.00  2
	LaserFence          21      2723.64 2513.10 3       0.62    0.78    0       22      2.00  2
	LaserFence          22      2727.40 2450.89 2       0.90    0.43    0       23      2.00  2
	LaserFence          23      2795.14 2328.47 3       0.88    0.48    0       24      2.00  2
	LaserFence          24      2923.86 2259.06 2       0.70    0.72    0       25      2.00  2
	LaserFence          25      3062.37 2177.71 3       -0.67   0.75    0       7       1.25  2
	GunTurret           26      3018.28 1940.93 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           27      3019.20 2155.02 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           28      3018.54 2003.24 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           29      3020.77 2067.49 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	LaserFence          30      2354.58 2049.74 3       -0.79   0.61    0       31      1.00  2
	LaserFence          31      2194.55 2392.87 2       -0.95   0.30    0       17      1.00  5
	SolarPanel          32      2540.92 2672.16 3       -0.00   1.00    0       34      
	SolarPanel          33      2437.58 2646.13 3       0.00    1.00    0       34      
	SolarPanel          34      2508.95 2592.44 3       0.00    1.00    0       36      
	PylonEnd            35      2237.83 2413.77 255     0.92    0.39    0       30      
	Pylon               36      2313.88 2420.92 255     0.03    -1.00   0       35      
	LaserFence          38      2620.28 2486.44 2       -0.16   0.99    0       21      1.00  2
	LaserFence          39      2391.16 2467.44 2       1.00    0.00    0       18      1.00  2
	GunTurret           37      2443.05 2464.22 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           40      2568.91 2463.60 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	ControlStation      41      1233.23 3536.84 255     1.00    0.00    0           -1
	ControlStation      42      382.17  3635.06 255     0.73    0.68    0           -1
	ControlStation      43      705.23  1678.77 255     0.12    0.99    0           -1
	ControlStation      44      1060.47 611.68  255     -0.46   0.89    0           -1
	RadarDish           45      2231.75 2220.05 255     1.00    -0.03   1       1    1    47   
	RadarDish           46      2227.29 2058.52 255     1.00    0.02    1       1    1    48   
	RadarDish           47      1483.33 2580.75 255     -0.81   0.58    1       1    1    45   
	RadarDish           48      1652.89 1245.49 255     -0.81   -0.59   1       1    1    46   
	StaticShape         57      2840.45 1893.85 255     1.00    0.00    0         1.00  temple4.shp  
	StaticShape         67      2840.09 2246.38 255     1.00    0.00    0         1.00  temple3.shp  
	LaserFence          60      938.10  2836.00 2       -0.18   -0.98   0       68      2.00  2
	LaserFence          68      808.62  2847.60 2       -0.28   -0.96   0       69      2.00  2
	LaserFence          69      674.04  2844.87 2       -0.13   -0.99   0       70      2.00  2
	LaserFence          70      593.34  2938.08 2       -0.70   -0.71   0       54      2.00  2
	LaserFence          71      515.54  3189.29 2       -0.94   -0.33   0       113     2.00  2
	LaserFence          72      364.55  3459.43 2       -0.92   -0.38   0       73      2.00  2
	LaserFence          73      294.69  3580.39 2       -0.97   -0.24   0       74      2.00  2
	LaserFence          74      295.66  3716.34 2       -0.99   0.16    0       75      2.00  2
	LaserFence          75      504.25  3697.32 2       -0.03   1.00    0       76      2.00  2
	LaserFence          76      624.91  3783.53 2       0.17    0.99    0       77      2.00  2
	LaserFence          77      725.01  3707.63 2       0.12    0.99    0       53      2.00  2
	LaserFence          78      992.71  3583.80 2       0.22    0.98    0       52      2.00  2
	LaserFence          79      1375.82 3518.73 2       0.80    0.61    0       80      2.00  2
	LaserFence          80      1317.78 3388.69 2       0.95    -0.30   0       81      2.00  2
	LaserFence          81      1275.67 3343.46 2       0.94    -0.34   0       82      2.00  2
	LaserFence          82      1250.64 3167.86 2       1.00    0.00    0       105     2.00  2
	LaserFence          83      1298.67 880.94  3       0.99    -0.15   0       84      2.00  2
	LaserFence          84      1191.43 688.04  3       0.83    -0.56   0       85      2.00  2
	LaserFence          85      1135.46 516.82  3       0.36    -0.93   0       86      2.00  2
	LaserFence          86      1007.97 549.50  3       -0.63   -0.78   0       87      2.00  2
	LaserFence          87      912.34  717.69  3       -1.00   0.01    0       88      2.00  2
	LaserFence          88      948.09  834.50  3       -1.00   0.01    0       89      2.00  2
	LaserFence          89      860.04  1012.56 3       -0.97   -0.24   0       90      2.00  2
	LaserFence          90      822.50  1195.56 3       -0.55   -0.84   0       91      2.00  2
	LaserFence          91      709.77  1157.83 3       -0.18   -0.98   0       92      2.00  2
	LaserFence          92      533.19  1145.89 3       -0.42   -0.91   0       93      2.00  2
	LaserFence          93      361.01  1337.61 3       -0.59   -0.81   0       94      2.00  2
	LaserFence          95      361.22  1487.55 3       -0.83   0.56    0       96      2.00  2
	LaserFence          96      396.80  1661.65 3       -0.80   0.60    0       97      2.00  2
	LaserFence          97      529.47  1810.37 3       0.36    0.93    0       98      2.00  2
	LaserFence          98      841.93  1748.89 3       0.70    0.72    0       99      2.00  2
	LaserFence          99      996.22  1489.73 3       0.80    0.61    0       100     2.00  2
	LaserFence          100     1115.88 1395.96 3       0.70    0.72    0       101     2.00  2
	LaserFence          101     1204.24 1324.18 3       0.76    0.64    0       102     2.00  2
	LaserFence          102     1279.07 1235.87 3       0.98    0.20    0       104     2.00  2
	LaserFence          103     1316.47 940.10  3       0.07    -1.00   0       83      1.00  2
	LaserFence          104     1308.10 1169.99 3       0.02    1.00    0       -1      1.00  0
	LaserFence          105     1219.57 3113.40 255     0.02    1.00    0       -1      1.00  0
	LaserFence          106     984.61  2917.10 2       -0.94   -0.33   0       60      1.00  2
	LaserFence          107     870.45  1228.87 3       -0.86   -0.52   0       90      1.00  2
	LaserFence          108     1064.69 1362.74 3       0.83    0.56    0       100     1.00  2
	LaserFence          109     610.26  3252.07 2       0.54    -0.84   0       71      2.00  2
	LaserFence          110     665.57  3305.90 2       -0.74   -0.68   0       109     1.00  2
	LaserFence          111     933.11  3508.35 2       0.76    -0.64   0       53      2.00  2
	LaserFence          112     860.95  3499.39 2       0.70    0.72    0       111     1.00  2
	LaserFence          113     419.43  3238.13 2       0.92    -0.39   0       -1      1.00  0
	LaserFence          114     375.81  3370.72 2       0.94    0.34    0       72      1.00  2
	LaserFence          94      335.19  1363.07 3       0.99    -0.10   0       -1      1.00  0
	RadarDish           115     304.75  1433.71 255     1.00    -0.08   1       1    1    116  
	GunTurret           117     1034.32 2955.36 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           118     1189.41 3080.01 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           119     706.84  3341.27 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           120     767.25  3403.70 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           121     822.93  3465.88 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           122     1306.69 994.20  255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           123     1303.29 1105.71 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           124     926.75  1248.33 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           125     976.78  1284.15 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           126     1024.19 1319.03 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	TrunkPort           127     606.86  1284.14 3       0.58    0.81    1       -1      
	TrunkPort           128     617.03  3712.23 2       0.07    -1.00   1       -1      
	AITarget            129     3410.96 1459.66 255     1.00    0.00    0       -1    0.00 1     
	AITarget            130     3260.37 1480.17 255     1.00    0.00    0       -1    0.00 1     
	AITarget            131     3576.82 1495.61 255     1.00    0.00    0       -1    0.00 1     
	AITarget            134     3342.15 1943.48 255     1.00    0.00    0       -1    0.00 0     
	AITarget            135     3543.52 1833.97 255     1.00    0.00    0       -1    0.00 1     
	AITarget            136     2939.64 2124.35 255     1.00    0.00    0       -1    0.00 1     
	AITarget            137     2872.58 1999.64 255     1.00    0.00    0       -1    0.00 1     
	AITarget            138     2506.90 2466.68 255     1.00    0.00    0       -1    0.00 1     
	AITarget            139     2434.86 2676.57 255     1.00    0.00    0       -1    0.00 1     
	AITarget            140     2548.96 2706.99 255     1.00    0.00    0       -1    0.00 1     
	AITarget            141     2357.47 2240.47 255     1.00    0.00    0       -1    0.00 1     
	AITarget            144     1133.16 3014.74 255     1.00    0.00    0       -1    0.00 0     
	AITarget            146     1227.38 3574.37 255     1.00    0.00    0       -1    0.00 1     
	AITarget            147     398.24  3664.46 255     1.00    0.00    0       -1    0.00 1     
	AITarget            148     614.63  3625.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            149     749.15  3430.23 255     1.00    0.00    0       -1    0.00 1     
	AITarget            150     1037.39 3304.51 255     1.00    0.00    0       -1    0.00 0     
	RadarDish           116     369.46  3269.21 255     0.87    0.50    1       1    1    115  
	AITarget            152     1304.07 1045.81 255     1.00    0.00    0       -1    0.00 0     
	AITarget            153     1058.37 600.36  255     1.00    0.00    0       -1    0.00 1     
	AITarget            154     1046.26 958.24  255     1.00    0.00    0       -1    0.00 1     
	AITarget            155     967.36  1317.67 255     1.00    0.00    0       -1    0.00 0     
	AITarget            156     707.70  1463.72 255     1.00    0.00    0       -1    0.00 1     
	AITarget            157     631.68  1325.09 255     1.00    0.00    0       -1    0.00 1     
	AITarget            158     701.63  1705.15 255     1.00    0.00    0       -1    0.00 1     
	SolarPanel          159     3039.68 2737.64 3       -0.00   0.99    0       161     
	SolarPanel          160     3212.77 2800.93 3       -0.00   1.00    0       161     
	SolarPanel          161     3162.12 2706.11 3       0.00    1.00    0       174     
	LaserFence          162     3121.28 2603.56 2       -0.46   -0.89   0       163     1.50  2
	LaserFence          163     3049.21 2657.91 2       -0.50   -0.86   0       164     1.50  2
	LaserFence          164     2936.47 2729.35 2       -0.99   -0.14   0       165     1.50  2
	LaserFence          165     3038.88 2890.13 2       -0.42   0.91    0       166     1.50  2
	LaserFence          166     3261.84 2916.27 2       0.45    0.89    0       167     1.50  2
	LaserFence          167     3341.69 2859.75 2       1.00    0.00    0       168     1.50  2
	LaserFence          168     3387.10 2786.96 2       1.00    0.00    0       169     1.50  2
	LaserFence          169     3345.14 2696.46 2       1.00    0.00    0       170     1.50  2
	LaserFence          170     3330.73 2666.64 255     0.73    0.68    0       -1      1.00  0
	LaserFence          171     3175.21 2584.00 2       -1.00   0.01    0       162     1.00  2
	GunTurret           172     3326.20 2588.23 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           173     3246.50 2550.61 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	Pylon               174     3163.90 2493.26 255     0.99    0.13    0       175     
	Pylon               175     3224.81 2358.13 255     -0.99   0.11    0       176     
	PylonEnd            176     3067.92 2181.74 255     0.76    0.64    0       25      
	AITarget            177     3536.45 2318.72 255     1.00    0.00    0       -1    0.00 1     
	AITarget            178     3145.92 2736.34 255     0.89    -0.46   0       -1    0.00 1     
	AITarget            179     3049.38 2788.46 255     1.00    0.00    0       -1    0.00 1     
	AITarget            180     3219.38 2832.37 255     1.00    0.00    0       -1    0.00 1     
	AIObjective         181     3482.57 3070.26 0       1.00    0.00    0        185
	AIObjectiveMarker   182     3210.20 2799.46 1       1.00    0.00    0       0.00  181   0   0
	AIObjectiveMarker   183     3161.51 2705.88 1       1.00    0.00    0       0.00  181   0   0
	AIObjectiveMarker   184     3038.11 2735.96 1       1.00    0.00    0       0.00  181   0   0
	AIObjective         185     2541.87 3033.92 255     1.00    0.00    0        189
	AIObjectiveMarker   186     2539.83 2671.38 0       1.00    0.00    0       0.00  185   0   0
	AIObjectiveMarker   187     2508.45 2591.20 0       1.00    0.00    0       0.00  185   0   0
	AIObjectiveMarker   188     2437.30 2645.26 0       1.00    0.00    0       0.00  185   0   0
	AIObjective         189     1469.56 1905.00 255     1.00    0.00    0         -1
	AIObjectiveMarker   190     1238.44 3534.57 255     1.00    0.00    0       55.25  189   0   0
	AIObjectiveMarker   191     383.58  3636.76 255     1.00    0.00    0       55.25  189   0   0
	AIObjectiveMarker   192     704.83  1672.69 255     1.00    0.00    0       55.25  189   0   0
	AIObjectiveMarker   193     1055.91 612.37  255     1.00    0.00    0       55.25  189   0   0
	AITarget            194     3321.96 2192.49 255     1.00    0.00    0       -1    0.00 0     
	Tree                195     3070.22 1736.44 255     1.00    0.00    0       111.59  2.54    0.52    1.01    6       99339   -4886675    -11845121   0       0       0       
