MultiwiniaOptions_StartDefinition
	GameTypes	KingOfTheHill 
	PopulationCap	1800
	DefenderPopulationCap	-1
	NumPlayers	3
	Effects	SpecialLighting 
	PlayTime	10
	Difficulty	intermediate
	SpawnPoint          1       545.70  2528.04 2       0.83    -0.56   0       
	SpawnPoint          2       1228.58 325.25  1       0.66    0.75    0       
	SpawnPoint          3       2744.23 1627.55 0       -0.97   0.26    0       
	RadarDish           4       2469.69 1702.33 255     1.00    0.07    1       1    0    9    11   8    
	RadarDish           5       777.60  2280.13 255     -0.72   0.70    1       1    0    10   11   14   
	RadarDish           6       1471.52 608.81  255     -0.65   -0.76   1       1    0    7    8    14   
	RadarDish           7       1657.33 1212.22 255     0.39    0.92    1       0    0    
	RadarDish           8       2363.62 596.52  255     0.68    -0.74   1       1    0    15   4    6    
	RadarDish           9       2007.97 1819.35 255     -0.99   -0.13   1       0    0    
	RadarDish           10      1254.38 1855.12 255     0.84    -0.55   1       0    0    
	RadarDish           11      1809.98 2558.16 255     0.00    1.00    1       1    0    12   4    5    
	RadarDish           12      1669.89 1877.06 255     -0.01   -1.00   1       0    0    
	RadarDish           13      1183.55 1472.64 255     0.93    0.36    1       0    0    
	RadarDish           14      588.94  1274.28 255     -0.91   -0.42   1       1    0    13   6    5    
	RadarDish           15      1938.77 1146.57 255     -0.56   0.83    1       0    0    
	MultiwiniaZone      16      437.27  1157.25 255     0.12    -0.99   0       80.00 
	MultiwiniaZone      17      2563.13 565.81  255     0.12    -0.99   0       80.00 
	MultiwiniaZone      18      1765.50 2714.35 255     0.12    -0.99   0       80.00 
	SpawnPoint          19      2455.57 422.94  255     0.62    0.78    0       
	SpawnPoint          20      1938.30 2824.31 255     -0.86   -0.52   0       
	SpawnPoint          21      295.43  1078.74 255     0.76    0.64    0       
	TrunkPort           22      1601.04 1595.45 255     0.45    -0.89   1       -1      
	SpawnPointMaster    23      1336.65 2183.90 255     1.00    0.00    0       24    
	SpawnLink           24      1554.55 1570.58 255     1.00    0.00    0       25    33    
	SpawnLink           25      1168.20 1567.38 255     1.00    0.00    0       26    83    
	SpawnLink           26      1071.67 1741.06 255     1.00    0.00    0       27    30    
	SpawnLink           27      796.12  1602.38 255     1.00    0.00    0       28    
	SpawnLink           28      431.72  1573.07 255     1.00    0.00    0       29    
	SpawnLink           29      272.43  1204.17 255     1.00    0.00    0       21    
	SpawnLink           30      840.20  1911.70 255     1.00    0.00    0       31    
	SpawnLink           31      518.13  2143.41 255     1.00    0.00    0       32    
	SpawnLink           32      442.12  2458.40 255     1.00    0.00    0       1     
	SpawnLink           33      1548.18 1335.60 255     1.00    0.00    0       34    40    
	SpawnLink           34      1685.87 1001.86 255     1.00    0.00    0       35    54    
	SpawnLink           35      1851.65 826.72  255     1.00    0.00    0       36    38    
	SpawnLink           36      1705.75 567.83  255     1.00    0.00    0       37    
	SpawnLink           37      1459.85 318.90  255     1.00    0.00    0       2     
	SpawnLink           38      2089.66 602.90  255     1.00    0.00    0       39    
	SpawnLink           39      2374.21 374.91  255     1.00    0.00    0       19    
	SpawnLink           40      1916.99 1621.00 255     1.00    0.00    0       41    84    
	SpawnLink           41      1973.75 2073.40 255     1.00    0.00    0       42    
	SpawnLink           42      2318.34 2172.66 255     1.00    0.00    0       43    45    
	SpawnLink           43      2529.13 2021.54 255     1.00    0.00    0       44    
	SpawnLink           44      2656.50 1832.08 255     1.00    0.00    0       3     
	SpawnLink           45      2172.53 2524.89 255     1.00    0.00    0       46    
	SpawnLink           46      1997.40 2711.35 255     1.00    0.00    0       20    
	ControlStation      47      760.41  2377.44 255     -0.21   -0.98   0            5
	ControlStation      48      512.65  1297.45 255     1.00    0.00    0           14
	ControlStation      49      1461.72 520.83  255     1.00    0.00    0            6
	ControlStation      50      2415.94 633.54  255     1.00    0.00    0            8
	ControlStation      51      2520.41 1646.10 255     1.00    0.00    0            4
	ControlStation      52      1892.22 2507.58 255     1.00    0.00    0           11
	StaticShape         53      1241.49 1280.54 255     -0.83   -0.56   0         1.00  rockhead.shp  
	StaticShape         55      1102.80 1541.89 255     1.00    0.00    0         1.00  temple4.shp  
	StaticShape         56      1098.50 1594.18 255     0.76    0.64    0         1.00  temple4.shp  
	StaticShape         57      1097.56 1643.99 255     0.99    -0.15   0         1.00  temple4.shp  
	AITarget            58      506.48  1269.00 255     1.00    0.00    0       -1    0.00 1     
	AITarget            59      1410.48 519.14  255     1.00    0.00    0       -1    0.00 1     
	AITarget            60      2438.73 617.79  255     1.00    0.00    0       -1    0.00 1     
	AITarget            61      2547.88 1665.20 255     1.00    0.00    0       -1    0.00 1     
	AITarget            62      1901.29 2542.14 255     1.00    0.00    0       -1    0.00 1     
	AITarget            63      1887.86 2802.33 255     1.00    0.00    0       -1    0.00 1     
	AITarget            64      722.96  2377.24 255     1.00    0.00    0       -1    0.00 1     
	AITarget            65      1556.26 1657.32 255     1.00    0.00    0       -1    0.00 1     
	AITarget            66      1806.21 1758.78 255     1.00    0.00    0       -1    0.00 1     
	AITarget            67      1781.62 1545.19 255     1.00    0.00    0       -1    0.00 1     
	AITarget            68      1698.08 1423.85 255     1.00    0.00    0       -1    0.00 1     
	AITarget            69      1411.92 1553.49 255     1.00    0.00    0       -1    0.00 1     
	AITarget            70      1495.84 1778.11 255     1.00    0.00    0       -1    0.00 1     
	Tree                71      1574.96 2064.46 255     1.00    0.00    0       75.53   3.00    0.43    1.19    6       99339   -11700096   -13472718   0       0       0       
	Tree                72      1477.66 1993.43 255     1.00    0.00    0       68.69   3.00    0.43    1.19    6       23471   -11700096   -13472718   0       0       0       
	Tree                73      1157.38 1799.09 255     1.00    0.00    0       77.21   3.00    0.43    1.19    6       23550   -11700096   -13472718   0       0       0       
	Tree                74      1477.31 1335.23 255     1.00    0.00    0       70.50   3.00    0.43    1.19    6       23621   -11700096   -13472718   0       0       0       
	Tree                75      1516.39 1276.94 255     1.00    0.00    0       78.30   3.00    0.43    1.19    6       23642   -11700096   -13472718   0       0       0       
	SpawnPopulationLock 76      2598.66 1708.13 255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 77      2561.12 531.95  255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 78      1314.63 429.17  255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 79      435.09  1109.48 255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 80      609.26  2441.04 255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 81      1768.70 2662.12 255     1.00    0.00    0       323.11   200   
	SpawnPopulationLock 82      1609.16 1553.52 255     1.00    0.00    0       700.00   300   
	SpawnPoint          83      1262.11 1643.24 255     1.00    0.00    0       
	SpawnPoint          84      1846.76 1927.39 255     -0.08   -1.00   0       
	SpawnPoint          54      1787.78 1177.88 255     -0.13   0.99    0       
	AITarget            86      341.97  1102.53 255     1.00    0.00    0       -1    0.00 1     
	AITarget            87      436.62  1161.93 255     1.00    0.00    0       -1    0.00 1     
	AITarget            88      2493.20 467.70  255     1.00    0.00    0       -1    0.00 1     
	AITarget            89      2560.38 570.76  255     1.00    0.00    0       -1    0.00 1     
	AITarget            90      1769.70 2714.43 255     1.00    0.00    0       -1    0.00 1     
	AITarget            91      1780.60 1233.25 255     1.00    0.00    0       -1    0.00 1     
	AITarget            92      1309.43 1645.08 255     1.00    0.00    0       -1    0.00 1     
	AITarget            93      1832.37 1860.97 255     1.00    0.00    0       -1    0.00 1     
	RestrictionZone     85      2636.05 1734.88 255     1.00    0.00    0       300.00    0
	RestrictionZone     94      1330.97 458.28  255     1.00    0.00    0       339.15    0
	RestrictionZone     95      623.92  2411.63 255     1.00    0.00    0       346.25    0
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0         3070.06  436.26 1608.57 -0.94 -0.33 0.11 -0.33 0.94 0.04
	player1         1095.90  369.08   86.62 0.43 -0.47 0.77 0.22 0.88 0.41
	player2          388.19  315.73 2677.29 0.56 -0.49 -0.67 0.31 0.87 -0.37
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        0  2522.8  1643.6      5    0      -1    20.0     0.0     0.0   -1   -1    0
	Darwinian        1  1461.1   521.1      5    0      -1    20.0     0.0     0.0   -1   -1    0
	Darwinian        2   758.4  2378.6      5    0      -1    20.0     0.0     0.0   -1   -1    0
	Darwinian        0  2681.1  1663.1     40    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        1  1295.0   385.2     40    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        2   615.9  2480.4     40    0      -1    50.0     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
