MultiwiniaOptions_StartDefinition
	GameTypes	Assault 
	PopulationCap	2000
	DefenderPopulationCap	350
	NumPlayers	2
	LevelOptions	trunkportreinforcements 100	
	InvalidCrates	Squad	Airstrike	Nuke	Meteor	
	Difficulty	basic
	AttackingTeams	1 
	Wall                18      1076.66 893.46  255     1.00    0.00    0         -1
	Wall                20      1076.66 974.85  255     1.00    0.00    0         -1
	TrunkPort           22      1115.44 418.67  0       0.19    0.98    1       -1      
	Wall                24      1108.34 1040.44 255     -0.59   0.81    0         41
	Wall                25      1182.78 1063.28 255     0.02    -1.00   0         -1
	Wall                28      1264.02 1064.94 255     0.02    -1.00   0         -1
	Wall                29      1345.12 1067.72 255     0.02    -1.00   0         -1
	Wall                31      1387.25 1027.83 255     1.00    0.00    0         -1
	Wall                34      1498.74 1030.33 255     1.00    0.00    0         -1
	Wall                37      1538.43 1071.15 255     0.02    -1.00   0         -1
	Wall                40      1619.70 1075.26 255     0.02    -1.00   0         -1
	Wall                42      1701.04 1074.43 255     0.02    -1.00   0         47
	Wall                43      1770.20 1046.85 255     -0.70   -0.71   0         50
	Wall                46      1800.96 978.23  255     1.00    0.00    0         -1
	Wall                48      1800.97 896.80  255     1.00    0.00    0         -1
	Wall                49      1800.95 815.40  255     1.00    0.00    0         -1
	Wall                52      1828.43 745.43  255     -0.70   -0.71   0         -1
	Wall                54      1828.49 689.50  255     -0.70   0.71    0         -1
	Wall                59      1895.28 623.30  255     -0.70   0.71    0         -1
	Wall                61      1953.14 622.23  255     -0.70   -0.71   0         -1
	Wall                62      2010.93 565.03  255     -0.70   -0.71   0         -1
	Wall                64      2041.46 495.90  255     1.00    0.00    0         -1
	Wall                68      2041.33 414.62  255     1.00    0.00    0         -1
	Wall                71      2041.61 333.02  255     1.00    0.00    0         -1
	Wall                72      2041.61 251.49  255     1.00    0.00    0         -1
	Wall                74      970.26  645.80  255     0.80    0.61    0         -1
	TrunkPort           75      1155.01 2476.83 1       0.62    -0.78   1       -1      
	TrunkPort           76      1908.42 2472.97 1       0.02    -1.00   1       -1      
	TrunkPort           77      2319.02 2424.04 1       -0.67   -0.75   1       -1      
	GunTurret           78      1507.70 1096.11 255     0.12    0.99    0       0   0.00 0.00 0.00 0.00 
	GunTurret           79      1372.99 1099.94 255     0.07    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           82      1907.35 677.00  255     0.73    0.68    0       0   0.00 0.00 0.00 0.00 
	GunTurret           83      1884.28 699.06  255     0.70    0.72    0       0   0.00 0.00 0.00 0.00 
	GunTurret           84      923.80  690.20  255     -0.59   0.81    0       0   0.00 0.00 0.00 0.00 
	GunTurret           85      1006.55 750.84  255     -0.55   0.84    0       0   0.00 0.00 0.00 0.00 
	GunTurret           86      1435.70 879.97  255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	AITarget            81      1446.85 1103.37 255     1.00    0.00    0       -1    0.00 1     
	AITarget            87      1733.60 521.92  255     1.00    0.00    0       -1    0.00 1     
	AITarget            88      1086.02 551.97  255     1.00    0.00    0       -1    0.00 1     
	AITarget            91      1927.14 2388.84 255     1.00    0.00    0       -1    0.00 0     
	AITarget            92      2240.80 2394.70 255     1.00    0.00    0       178   0.00 0     
	AITarget            93      1566.60 2475.53 255     1.00    0.00    0       -1    0.00 0     
	AITarget            95      1507.72 1420.36 255     1.00    0.00    0       -1    0.00 1     
	AITarget            96      2138.28 938.46  255     1.00    0.00    0       -1    0.00 0     
	AITarget            97      2448.41 1613.02 255     1.00    0.00    0       -1    0.00 0     
	AITarget            98      2449.80 1752.05 255     1.00    0.00    0       -1    0.00 1     
	TrunkPort           99      1556.37 2531.69 1       -0.13   -0.99   1       -1      
	PulseBomb           103     1432.95 570.29  0       0.02    1.00    0       900.00  15  12  11  
	AITarget            104     811.36  926.90  255     1.00    0.00    0       -1    0.00 1     
	Tree                109     2787.92 2450.10 255     1.00    0.00    0       114.20  5.94    0.76    0.95    6       99339   -12357961   -16776961   0       0       0       
	Tree                110     2792.90 2349.82 255     1.00    0.00    0       119.71  5.94    0.76    0.95    6       99110   -12357961   -16776961   0       0       0       
	Tree                111     2583.00 577.95  255     1.00    0.00    0       97.78   5.94    0.76    0.95    6       99159   -12357961   -16776961   0       0       0       
	Tree                112     2534.85 503.21  255     1.00    0.00    0       120.80  5.94    0.76    0.95    6       99171   -12357961   -16776961   0       0       0       
	Tree                113     2445.56 413.76  255     1.00    0.00    0       109.56  5.94    0.76    0.95    6       99181   -12357961   -16776961   0       0       0       
	Tree                114     220.12  200.33  255     1.00    0.00    0       99.42   5.94    0.76    0.95    6       99251   -12357961   -16776961   0       0       0       
	Tree                115     596.64  267.70  255     1.00    0.00    0       99.97   5.94    0.76    0.95    6       99281   -12357961   -16776961   0       0       0       
	Tree                116     548.42  356.86  255     1.00    0.00    0       122.99  5.94    0.76    0.95    6       99290   -12357961   -16776961   0       0       0       
	Tree                117     493.85  535.09  255     1.00    0.00    0       111.75  5.94    0.76    0.95    6       99300   -12357961   -16776961   0       0       0       
	Tree                118     743.47  580.78  255     1.00    0.00    0       123.54  5.94    0.76    0.95    6       99321   -12357961   -16776961   0       0       0       
	Tree                119     829.62  476.38  255     1.00    0.00    0       112.30  5.94    0.76    0.95    6       99330   -12357961   -16776961   0       0       0       
	Tree                120     1221.14 1666.24 255     1.00    0.00    0       113.39  5.94    0.76    0.95    6       99388   -12357961   -16776961   0       0       0       
	Tree                121     1216.74 1602.37 255     1.00    0.00    0       102.15  5.94    0.76    0.95    6       99400   -12357961   -16776961   0       0       0       
	StaticShape         123     493.41  978.77  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         122     452.32  892.40  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         124     494.47  811.42  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         125     588.05  786.36  255     1.00    0.00    0         1.00  temple2.shp  
	StaticShape         127     568.76  907.86  255     -0.88   -0.47   0         1.76  rockhead.shp  
	Wall                131     1587.58 1830.20 255     1.00    0.00    0         -1
	Wall                132     1544.59 1873.33 255     0.02    1.00    0         -1
	Wall                133     1460.79 1874.93 255     0.02    1.00    0         -1
	Wall                135     1979.56 1830.60 255     0.82    0.57    0         -1
	Wall                136     1990.11 1755.49 255     0.94    -0.34   0         -1
	Wall                137     1961.07 1675.78 255     0.94    -0.34   0         -1
	Wall                138     1907.49 1652.01 255     0.36    0.93    0         -1
	Wall                140     1322.02 1838.04 255     0.94    -0.34   0         -1
	Wall                141     1293.48 1759.11 255     0.94    -0.34   0         -1
	Wall                142     1239.25 1735.58 255     0.36    0.93    0         -1
	Wall                143     2287.96 1724.49 255     -0.03   -1.00   0         39
	Wall                144     2369.56 1721.91 255     -0.03   -1.00   0         -1
	Wall                145     2407.12 1681.13 255     -1.00   0.06    0         -1
	Wall                146     2495.59 1681.48 255     -1.00   0.06    0         -1
	Wall                147     2539.31 1719.63 255     -0.03   -1.00   0         -1
	Wall                148     2620.69 1717.19 255     -0.03   -1.00   0         -1
	Wall                149     2701.99 1714.80 255     -0.03   -1.00   0         -1
	Wall                150     2783.24 1712.26 255     -0.03   -1.00   0         -1
	Wall                151     2244.19 1686.08 255     -1.00   0.06    0         -1
	Wall                152     2239.78 1605.17 255     -1.00   0.06    0         -1
	Wall                153     2234.98 1523.98 255     -1.00   0.06    0         -1
	Wall                154     2820.82 1671.01 255     -1.00   0.06    0         -1
	Wall                155     2816.02 1589.58 255     -1.00   0.06    0         -1
	Wall                156     2773.32 1549.30 255     -0.03   -1.00   0         -1
	Wall                157     2273.84 1481.04 255     -0.03   -1.00   0         -1
	Wall                158     947.06  1620.38 255     -0.03   -1.00   0         27
	Wall                159     865.61  1622.80 255     -0.03   -1.00   0         -1
	Wall                160     784.17  1625.14 255     -0.03   -1.00   0         -1
	Wall                161     585.70  1628.08 255     0.02    1.00    0         -1
	Wall                162     503.89  1628.70 255     -0.03   -1.00   0         -1
	Wall                163     422.34  1631.13 255     -0.03   -1.00   0         -1
	Wall                164     341.23  1633.79 255     -0.03   -1.00   0         -1
	Wall                165     742.53  1586.49 255     1.00    -0.05   0         -1
	Wall                166     625.21  1585.57 255     1.00    -0.05   0         -1
	Wall                167     989.08  1579.65 255     1.00    0.00    0         -1
	Wall                168     989.02  1498.16 255     1.00    0.00    0         -1
	Wall                169     301.54  1594.98 255     1.00    0.00    0         -1
	Wall                170     301.54  1513.60 255     1.00    0.00    0         -1
	GunTurret           171     659.46  1647.46 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           172     1614.84 1868.09 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	AITarget            90      1189.58 2419.29 255     1.00    0.00    0       179   0.00 0     
	AITarget            89      700.44  1172.61 255     1.00    0.00    0       -1    0.00 1     
	AITarget            100     686.81  2100.33 255     1.00    0.00    0       -1    0.00 1     
	GunTurret           177     2475.03 1742.63 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	Wall                65      2041.57 170.02  255     1.00    0.00    0         -1
	WallBuster          1       2151.55 2360.45 255     1.00    0.00    0       
	WallBuster          2       1722.03 2398.11 255     1.00    0.00    0       
	WallBuster          6       1305.95 2382.27 255     1.00    0.00    0       
	GunTurret           7       1553.11 1840.18 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           9       1743.73 1841.94 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	ControlStation      11      1435.11 731.65  255     1.00    0.00    0           -1
	ControlStation      12      1292.12 454.50  255     -0.55   0.84    0           -1
	ControlStation      15      1540.01 479.79  255     -0.46   -0.89   0           -1
	SpawnPopulationLock 17      1432.60 546.19  255     1.00    0.00    0       633.50   500   
	AITarget            19      1537.64 463.04  255     1.00    0.00    0       -1    0.00 1     
	AITarget            21      1271.46 446.70  255     1.00    0.00    0       -1    0.00 1     
	AITarget            23      1447.12 707.44  255     1.00    0.00    0       -1    0.00 0     
	AIObjective         27      470.55  1493.24 255     1.00    0.00    0         41
	AIObjectiveMarker   30      684.97  1589.76 255     1.00    0.00    0       59.86   27   0   0
	AIObjective         33      1309.71 1620.96 1       1.00    0.00    0         47
	AIObjectiveMarker   36      1611.56 1867.25 1       1.00    0.00    0       0.00   33   0   0
	AIObjectiveMarker   38      2452.95 1675.98 255     1.00    0.00    0       40.73   39   0   0
	AIObjective         39      2745.95 1640.69 255     1.00    0.00    0         50
	AIObjective         41      739.05  692.84  255     1.00    0.00    0         53
	AIObjectiveMarker   44      924.13  688.87  1       1.00    0.00    0       0.00   41   0   0
	AIObjectiveMarker   45      1373.75 1097.75 1       1.00    0.00    0       0.00   47   0   0
	AIObjective         47      1160.84 968.58  255     1.00    0.00    0         53
	AIObjective         50      2194.64 473.67  255     1.00    0.00    0         53
	AIObjectiveMarker   51      1880.32 697.45  1       1.00    0.00    0       0.00   50   0   0
	AIObjective         53      1716.44 939.79  255     1.00    0.00    0         -1
	AIObjectiveMarker   56      1439.70 735.53  255     1.00    0.00    0       100.00   53   0   0
	AIObjectiveMarker   58      1540.77 476.16  255     1.00    0.00    0       100.00   53   0   0
	AIObjectiveMarker   60      1295.48 454.36  255     1.00    0.00    0       100.00   53   0   0
	AITarget            26      2451.37 1674.96 255     1.00    0.00    0       -1    0.00 1     
	AITarget            63      1642.92 1810.82 255     1.00    0.00    0       -1    0.00 0     
	AITarget            66      686.73  1582.25 255     1.00    0.00    0       -1    0.00 0     
	AITarget            67      1860.28 651.46  255     1.00    0.00    0       -1    0.00 0     
	AITarget            73      2646.99 2039.10 255     1.00    0.00    0       -1    0.00 1     
	AITarget            80      2443.26 1196.91 255     1.00    0.00    0       -1    0.00 1     
	AITarget            101     1925.28 717.84  255     1.00    0.00    0       -1    0.00 1     
	AITarget            105     947.22  732.38  255     1.00    0.00    0       -1    0.00 1     
	AITarget            106     1054.89 616.90  255     1.00    0.00    0       -1    0.00 1     
	AIObjectiveMarker   107     1554.83 1837.02 1       1.00    0.00    0       0.00   33   0   0
	AIObjectiveMarker   108     1745.28 1839.61 1       1.00    0.00    0       0.00   33   0   0
	AITarget            173     1638.52 1690.48 255     1.00    0.00    0       -1    0.00 0     
	AITarget            175     1439.41 1724.40 255     1.00    0.00    0       -1    0.00 0     
	AITarget            176     1796.19 1677.53 255     1.00    0.00    0       -1    0.00 0     
	AITarget            178     1997.55 1922.51 255     1.00    0.00    0       -1    0.00 1     
	AITarget            179     1569.81 2224.27 255     1.00    0.00    0       -1    0.00 0     
	GunTurret           69      1676.26 1869.66 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           70      2432.12 1741.90 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           180     710.94  1648.02 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           181     715.53  1528.79 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           182     2469.16 1625.09 255     1.00    0.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           183     1644.60 1771.82 255     0.00    1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           184     650.44  1523.56 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	GunTurret           185     2426.67 1619.90 255     -0.00   1.00    0       0   0.00 0.00 0.00 0.00 
	Wall                134     1376.98 1876.85 255     0.02    1.00    0         -1
	Wall                139     1704.58 1828.57 255     1.00    0.00    0         -1
	Wall                126     1745.14 1869.98 255     0.02    1.00    0         -1
	Wall                128     1829.08 1867.95 255     0.02    1.00    0         -1
	Wall                129     1912.98 1865.85 255     0.02    1.00    0         33
	AIObjectiveMarker   130     1677.98 1870.26 1       1.00    0.00    0       0.00   33   0   0
	AIObjectiveMarker   186     1642.60 1772.79 1       1.00    0.00    0       0.00   33   0   0
	AIObjectiveMarker   187     1640.69 1804.00 255     1.00    0.00    0       52.25   33   0   0
	AIObjectiveMarker   188     648.19  1523.79 1       1.00    0.00    0       0.00   27   0   0
	AIObjectiveMarker   189     714.92  1530.02 1       1.00    0.00    0       0.00   27   0   0
	AIObjectiveMarker   190     712.54  1647.74 1       1.00    0.00    0       0.00   27   0   0
	AIObjectiveMarker   191     659.90  1647.65 1       1.00    0.00    0       0.00   27   0   0
	AIObjectiveMarker   192     2429.42 1740.77 1       1.00    0.00    0       0.00   39   0   0
	AIObjectiveMarker   193     2473.01 1740.24 1       1.00    0.00    0       0.00   39   0   0
	AIObjectiveMarker   194     2467.14 1623.13 1       1.00    0.00    0       0.00   39   0   0
	AIObjectiveMarker   195     2424.28 1619.95 1       1.00    0.00    0       0.00   39   0   0
	AIObjectiveMarker   196     1512.96 1096.43 1       1.00    0.00    0       0.00   47   0   0
	AIObjectiveMarker   197     1007.34 752.68  1       1.00    0.00    0       0.00   41   0   0
	AIObjectiveMarker   198     1906.34 674.81  1       1.00    0.00    0       0.00   50   0   0
	AIObjective         199     116.01  2173.21 0       1.00    0.00    0        203
	AIObjectiveMarker   200     682.77  1575.33 255     1.00    0.00    0       101.68  199   0   0
	AIObjectiveMarker   201     1647.23 1822.27 255     1.00    0.00    0       122.33  102   0   0
	AIObjectiveMarker   202     2451.36 1683.59 255     1.00    0.00    0       80.64  218   0   0
	AIObjective         203     79.23   1712.16 255     1.00    0.00    0        207
	AIObjectiveMarker   204     999.21  670.70  255     1.00    0.00    0       100.00  203   0   0
	AIObjectiveMarker   205     1443.50 1073.14 255     1.00    0.00    0       100.00  203   0   0
	AIObjectiveMarker   206     1866.13 652.86  255     1.00    0.00    0       100.00  203   0   0
	AIObjective         207     68.46   1384.62 255     1.00    0.00    0         -1
	AIObjectiveMarker   208     1435.02 881.14  255     1.00    0.00    0       55.04  207   0   0
	AIObjectiveMarker   209     1294.87 457.92  255     1.00    0.00    0       55.04  207   0   0
	AIObjectiveMarker   210     1445.11 733.34  255     1.00    0.00    0       55.04  207   0   0
	AIObjectiveMarker   211     1535.76 469.93  255     1.00    0.00    0       55.04  207   0   0
	AITarget            174     972.42  1867.17 255     1.00    0.00    0       -1    0.00 0     
	AITarget            212     1256.94 2210.26 255     1.00    0.00    0       -1    0.00 0     
	AIObjectiveMarker   213     1791.74 1669.55 255     1.00    0.00    0       47.53   33   0   0
	AITarget            214     2285.20 1931.45 255     1.00    0.00    0       -1    0.00 0     
	AITarget            215     1987.49 2390.34 255     1.00    0.00    0       -1    0.00 1     
	AITarget            216     1693.25 1146.41 255     1.00    0.00    0       -1    0.00 0     
	AITarget            217     1205.92 1148.19 255     1.00    0.00    0       -1    0.00 0     
	AITarget            94      1639.43 1943.06 255     1.00    0.00    0       -1    0.00 1     
	AIObjective         102     291.15  2140.10 0       1.00    0.00    0        203
	AIObjective         218     444.01  2096.23 0       1.00    0.00    0        203
	AITarget            219     850.93  1487.34 255     1.00    0.00    0       -1    0.00 1     
	AITarget            220     1185.73 917.58  255     1.00    0.00    0       -1    0.00 1     
	AITarget            32      2330.31 1615.27 255     1.00    0.00    0       -1    0.00 1     
Buildings_EndDefinition

CameraMounts_StartDefinition
	# Name	          Pos                   Front          Up
	# =========================================================================
	player0          998.01  518.29  -29.61 0.33 -0.47 0.82 0.18 0.88 0.44
	player1         2512.69  525.28 2708.26 -0.61 -0.49 -0.63 -0.34 0.87 -0.35
CameraMounts_EndDefinition

CameraAnimations_StartDefinition
CameraAnimations_EndDefinition

Buildings_StartDefinition
	# Type              id      x       z       tm      rx      rz      isGlobal
	# ==========================================================================
Buildings_EndDefinition

InstantUnits_StartDefinition
	# Type         team    x       z   count  inUnit state   spread  waypointX waypointZ  routeId runAsTask
	# ==================================================================================
	Darwinian        0  1903.8   664.2      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1865.9   691.5      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1510.1  1097.2      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1373.3  1097.5      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1441.7   880.3      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1006.1   754.8      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0   920.4   691.3      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1316.0   467.1      5    0      -1    10.0     0.0     0.0   -1   -1    0
	Armour           0  1740.4   392.0      1    0      -1     0.0     0.0     0.0   -1   -1    1
	Armour           0  1704.1   427.8      1    0      -1     0.0     0.0     0.0   -1   -1    1
	Darwinian        0  2438.4  1715.0      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1616.0  1873.6      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0   650.9  1636.5      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  2452.4  1672.6     50    0      -1    28.5     0.0     0.0   -1   -1    0
	Darwinian        0  1647.8  1812.1     70    0      -1    37.1     0.0     0.0   -1   -1    0
	Darwinian        0   683.6  1592.3     50    0      -1    50.0     0.0     0.0   -1   -1    0
	Darwinian        0  2464.0  1718.9      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0   704.5  1625.5      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1730.8   410.5     80    0      -1   100.0     0.0     0.0   -1   -1    0
	Darwinian        0  1756.9  1834.2      4    0      -1     0.0     0.0     0.0   -1   -1    0
	Darwinian        0  1546.7  1839.9      4    0      -1     0.0     0.0     0.0   -1   -1    0
	Darwinian        0  1441.7   747.5      5    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1683.3  1875.6      4    0      -1    10.0     0.0     0.0   -1   -1    0
	Darwinian        0  1539.1   485.8      5    0      -1    10.0     0.0     0.0   -1   -1    0
InstantUnits_EndDefinition

PrimaryObjectives_StartDefinition
	NeverTrue 
PrimaryObjectives_EndDefinition
