# =================================================
# Greenhouse stuff
# =================================================

gk_nonetwork                           No Connection
control_help_cameraup                  Cam Up (Press)
control_help_cameradown                Cam Down (Press)
control_help_quickunitstart            Open TaskManager
control_help_quickunitcreate           Create Unit
control_help_quickunitplace            Place Unit
control_help_endtask                   Close Task
control_help_radar                     Aim Radar
control_help_fireturret                Fire Guns
control_help_deselect                  Deselect Unit
control_help_confirm                   Confirm / Select
control_help_next                      Next Unit
control_help_previous                  Previous Unit
control_help_secondaryaim              Aim (Hold)
control_help_secondaryfire             Fire
control_help_changesecondary           Change Weapon
control_help_officergoto               Set Goto
control_help_officermode               Change Mode
control_help_armourturret              Drop Gunturret
control_help_armourmode                Pick Up/Drop Mode
control_help_camerarotateleft		   Look Left
control_help_camerarotateright		   Look Right

#- ================================================
#- Common verb phrases
#- ================================================

#- Note that any entry with a name beginning "part_" is never used directly by the program,
#- just by other strings, and may be safely excluded where they are not used. If you add your
#- own entries which are only included within others, then please keep to this naming
#- convention, so that this is clear.

# ================================================
# Help strings
# ================================================

help_camera_movement_kbd               Move the camera around using the [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] and [KEYCAMERARIGHT] keys.  You can control the camera's height by scrolling the mouse wheel, or by using the [KEYCAMERAUP] and [KEYCAMERADOWN] keys.
help_camera_movement_xin               Move the camera around.
help_camera_height_kbd                 If you have a middle mouse button, you can scroll it to change the height of the camera.  Or you can use the [KEYCAMERAUP] and [KEYCAMERADOWN] keys to go up and down.
help_camera_zoom_kbd                   If you have a middle mouse button, click it to zoom the camera.  Or you can press the [KEYCAMERAZOOM] key.
help_camera_movefast_kbd               You can make the camera move faster by holding down [KEYCAMERASPEEDUP] while you are moving.
help_taskmanager_1_kbd                 To create things in Darwinia you draw gestures in the Task Manager.  Hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager.
help_taskmanager_2_kbd                 To see a list of available gestures, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and scroll left by moving the mouse to the left of the screen, or by pressing [KEYMENULEFT].
help_taskmanager_3_kbd                 You can only run up to THREE tasks at once.  You can shut down existing tasks by holding down [KEYGESTURESTASKMANAGERDISPLAY], tabbing along to the task, and pressing CTRL-C.
help_taskmanager_3_xin                 You can only run up to THREE tasks at once.  You can shut down existing tasks.
help_taskmanager_4_kbd                 To reselect an existing task, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and tab along to the icon representing the task.
help_showchatlog_kbd                   To read a log of everything I've said, hold the [KEYGESTURESCHATLOG] key.
help_taskmanager_1_icons_kbd           To create things in Darwinia you need to bring up the Task Manager.  Hold [KEYICONSTASKMANAGERDISPLAY] to access the Task Manager.
help_taskmanager_1_icons_xin           To create things in Darwinia you need to bring up the Task Manager.
help_taskmanager_2_icons_kbd           You can see a list of available programs while holding [KEYICONSTASKMANAGERDISPLAY].  Click any of them to create a new program.
help_taskmanager_3_icons_kbd           You can only run up to THREE tasks at once.  You can shut down the current task by pressing [KEYICONSTASKMANAGERENDTASK], or you can click on its delete icon in the Task Manager.
help_taskmanager_3_icons_xin           You can only run up to THREE tasks at once.
help_taskmanager_4_icons_kbd           To reselect an existing task, hold [KEYICONSTASKMANAGERDISPLAY] and click on its icon.  Or you can press the number keys to select tasks.
help_showchatlog_icons_kbd             To read a log of everything I've said, hold the [KEYICONSCHATLOG] key.

help_deselect_kbd                      To deselect the current object press [KEYUNITDESELECT]
help_squad_summon_1_kbd                To create a Squad, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then draw this gesture.
help_squad_summon_1_icons_kbd          To create a Squad, hold [KEYICONSTASKMANAGERDISPLAY] to access the Task Manager, then click the Squad icon.
help_squad_summon_2_kbd                Click inside one of the starting areas, now highlighted, to create your squad within the world.
help_squad_summon_2_xin                Select one of the starting areas, now highlighted, to create your squad within the world.
help_squad_use_kbd                     Left Click to move your squad.  Right Click to fire their lasers.  Press [KEYUNITDESELECT] to deselect them. Squads cannot move into the water.
help_squad_use_1mb_kbd                 Click to move your squad.  Click and hold to fire their lasers.  Press [KEYUNITDESELECT] to deselect them.
help_squad_grenade_kbd                 You can throw a grenade by tapping the Left Mouse Button whilst you are firing lasers with the Right mouse button.
help_squad_grenade_1mb_kbd             You can throw a grenade by shift clicking.
help_squad_setgrenade                  To change to the Grenade weapon, draw the Grenade gesture.
help_squad_setrocket                   To change to the Rocket weapon, draw the Rocket gesture.
help_squad_setairstrike                To change to the Airstrike weapon, draw the Airstrike gesture.
help_squad_setgrenade_icons_kbd        To change to the Grenade weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Grenade icon next to your Squad.
help_squad_setgrenade_icons_xin        To change to the Grenade weapon, open the Task Manager and select the Grenade icon next to your Squad.
help_squad_setrocket_icons_kbd         To change to the Rocket weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Rocket icon next to your Squad.
help_squad_setrocket_icons_xin         To change to the Rocket weapon, open the Task Manager and select the Rocket icon next to your Squad.
help_squad_setairstrike_icons_kbd      To change to the Airstrike weapon, hold [KEYICONSTASKMANAGERDISPLAY] and click on the Airstrike icon next to your Squad.
help_squad_setairstrike_icons_xin      To change to the Airstrike weapon, open the Task Manager and select the Airstrike icon next to your Squad.


help_building_reprogram                This building must be reprogrammed before it can be used.  To do this you must create an Engineer and move him within range of the nearby Control Tower.
help_engineer_summon_kbd               Engineers are used to collect dead spirits, and to reprogram buildings.  Hold [KEYGESTURESTASKMANAGERDISPLAY] and draw this gesture to summon an Engineer.
help_engineer_summon_xin               Engineers are used to collect dead spirits, and to reprogram buildings.  Open the Task Manager and draw this gesture to summon an Engineer.
help_engineer_summon_icons_kbd         Engineers are used to collect dead spirits, and to reprogram buildings.  Hold [KEYICONSTASKMANAGERDISPLAY] and click on the Engineer icon to summon an Engineer.
help_engineer_summon_icons_xin         Engineers are used to collect dead spirits, and to reprogram buildings.  Open the Task Manager and select the Engineer icon to summon an Engineer.
help_engineer_summon_2_kbd             Click inside one of the starting areas, now highlighted, to create your Engineer.  Or you may press CTRL-C to terminate the Engineer program.
help_engineer_summon_2_xin             Select one of the starting areas, now highlighted, to create your Engineer.  Or you may terminate the Engineer program.
help_engineer_summon_2_icons_kbd       Click inside one of the starting areas, now highlighted, to create your Engineer.  Or you may press CTRL-C to terminate the Engineer program.
help_engineer_summon_2_icons_xin       Select one of the starting areas, now highlighted, to create your Engineer.  Or you may terminate the Engineer program.
help_engineer_use_kbd                  Engineers will automatically do anything nearby that needs doing, such as collecting dead spirits or reprogramming buildings.  Just Left Click to move them near a task.
help_engineer_use_xin                  Engineers will automatically do anything nearby that needs doing, such as collecting dead spirits or reprogramming buildings.  Just move them near a task.

help_officer_create_kbd                You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Draw this gesture for Officer and click on a Darwinian.
help_officer_create_xin                You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Draw this gesture for Officer and select a Darwinian.
help_officer_create_icons_kbd          You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Bring up the Task Manager and click on the Officer icon, then click on a Darwinian.
help_officer_create_icons_xin          You can use ordinary Darwinians to order other Darwinians around, by promoting them to officers.  Bring up the Task Manager and select the Officer icon, then select a Darwinian.
help_officer_create_2_kbd              Click on a Darwinian to promote him to an Officer.  Or press CTRL-C to terminate the Officer program.
help_officer_create_2_xin              Select a Darwinian to promote him to an Officer.  Or terminate the Officer program.
help_officer_create_2_icons_kbd        Click on a Darwinian to promote him to an Officer.  Or press [KEYICONSTASKMANAGERENDTASK] to terminate the Officer program.
help_officer_create_2_icons_xin        Select a Darwinian to promote him to an Officer.  Or terminate the Officer program.
help_officer_use_kbd                   You can move an officer by Left Clicking.  Right click on the landscape to set GOTO Orders for other Darwinians to follow.  Right click near the Officer to cancel his orders.
help_officer_use_1mb_kbd               You can move an officer by clicking.  Click and hold on the landscape to set GOTO Orders for other Darwinians to follow.  Click and hold near the Officer to cancel his orders.
help_officer_toggle_kbd                To toggle through all available orders, Right Click near the officer.
help_officer_toggle_1mb_kbd            To toggle through all available orders, Click and hold near the officer.

help_showobjectives_kbd                To see a list of objectives, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then scroll right by moving the mouse to the right of the screen, or by pressing [KEYCAMERARIGHT].
help_showobjectives_xin                To see a list of objectives, open the Task Manager, then scroll right.
help_showobjectives_icons_kbd          To see a list of objectives, hold [KEYICONSTASKMANAGERDISPLAY], then scroll down by moving the mouse to the bottom of the screen, or by pressing [KEYMENUDOWN].
help_showobjectives_icons_xin          To see a list of objectives, open the Task Manager, then scroll down.
help_armour_summon_kbd                 Click inside one of the starting areas, now Highlighted, to create your Armour.  Armour can only be created near Trunk Ports that you control.
help_armour_summon_xin                 Select one of the starting areas, now Highlighted, to create your Armour.  Armour can only be created near Trunk Ports that you control.
help_armour_use_kbd                    Left Click to move your Armour.  Right Click near the armour to toggle loading and unloading of Darwinians.  Right Click on the landscape to deploy your Armour as a Battle Cannon.
help_armour_use_1mb_kbd                Left Click to move your Armour.  Click and hold the mouse button near the armour to toggle loading and unloading of Darwinians.  Click and hold the mouse button on the landscape to deploy your Armour as a Battle Cannon.

help_radardish_1_kbd                   This Radar Dish can be used to beam people to other Radar Dishes.  Click on it to control it.
help_radardish_1_xin                   This Radar Dish can be used to beam people to other Radar Dishes.  Select it to control it.
help_radardish_2_kbd                   To aim the Radar Dish simply point and click on the Radar Dish you wish to travel to.  The receiving Radar Dish must be facing you.  Press [KEYUNITDESELECT] to deselect the Radar Dish.
help_radardish_2_xin                   To aim the Radar Dish simply point and select the Radar Dish you wish to travel to.  The receiving Radar Dish must be facing you.
help_incubator                         This building is an Incubator.  You can use Engineers to carry spirits here, which will then be reborn into more Darwinians.
help_trunkport                         This is a Trunk Port.  It acts as a stargate, connecting different locations within Darwinia together.
help_refinery                          This is the main Refinery.  It powers the entire mining rig on these islands.  To bring it online you will need to safely escort some Darwinians up here.
help_mine                              This building is a Mine.  It will extract raw polygons from the hillside and dump them into the carts passing through.  It needs several Darwinians to operate.
help_anthill                           Euurgh, disgusting!  This area is infested with Ants!  This appears to be one of their nests.  A few well placed grenades should do the trick.
help_controltower                      This is a Control Tower.  Send one of your engineers to reprogram it, and you'll be able to make use of the building it's connected to.
help_researchitem                      You've found some of my research!  Excellent.  Create some Engineers nearby and they will download the research into my system.  Hopefully it will be something useful.
help_gunturret_1_kbd                   This Battle Cannon needs Darwinians operating it before it can be used.  They will automatically shoot at any nearby enemies.  Alternatively you can click on it to control it yourself.
help_gunturret_1_xin                   This Battle Cannon needs Darwinians operating it before it can be used.  They will automatically shoot at any nearby enemies.  Alternatively you can select it to control it yourself.
help_gunturret_2_kbd                   This Battle Cannon will track your cursor.  Right Click to fire.  Press [KEYUNITDESELECT] to deselect.
help_gunturret_2_1mb_kbd               This Battle Cannon will track your cursor.  Click and hold to fire.  Press [KEYUNITDESELECT] to deselect.

help_pressh_kbd                        Press [KEYSEPULVEDAHELP] for help
help_keyboardshortcut                  Keyboard shortcut
help_explainobjective                  Explain this objective

language_english                       English
language_french                        French
language_german                        German
language_italian                       Italian
language_spanish                       Spanish


# ================================================
# Entity type names
# ================================================

entityname_invalidtype                 InvalidType
entityname_engineer                    Engineer
entityname_virii                       Virii
entityname_squadie                     Squadie
entityname_egg                         Egg
entityname_sporegenerator              SporeGenerator
entityname_centipede                   Centipede
entityname_spaceinvader                SpaceInvader
entityname_spider                      Spider
entityname_darwinian                   Darwinian
entityname_officer                     Officer
entityname_armyant                     ArmyAnt
entityname_armour                      Armour
entityname_souldestroyer               SoulDestroyer
entityname_triffidegg                  TriffidEgg
entityname_ai                          AI
entityname_lander                      Lander
entityname_lasertroop                  LaserTroop
entityname_tripod                      Tripod


# ================================================
# Engineer states
# ================================================

engineer_idle                          idle
engineer_towaypoint                    goto
engineer_tospirit                      collect
engineer_toincubator                   return
engineer_reprogramming                 reprogram
engineer_researching                   research
engineer_bridge                        bridge

# ================================================
# Task Manager messages
# ================================================

taskmanager_msg0                       RUN PROGRAM
taskmanager_msg1                       SYNTAX ERROR
taskmanager_msg2                       PROGRAM TERMINATED
taskmanager_msg3                       ACQUIRED
taskmanager_msg4                       UPGRADED
taskmanager_msg5                       OBJECTIVES COMPLETED
taskmanager_mapeditor                  Map Editor
taskmanager_accessallareas             Access All Areas

taskmanager_taskmanager                TASK MANAGER
taskmanager_research                   RESEARCH
taskmanager_objectives                 OBJECTIVES
taskmanager_primarys                   PRIMARY OBJECTIVES
taskmanager_secondarys                 SECONDARY OBJECTIVES
taskmanager_statistics                 STATISTICS
taskmanager_complete                   COMPLETE
taskmanager_incomplete                 INCOMPLETE

taskmanager_kills					   KILLS
taskmanager_time					   TIME
taskmanager_survivors				   SURVIVORS
taskmanager_squaddies				   SQUADDIES

taskmanager_progress				   PROGRESS


# ================================================
# Sepulveda status messages
# ================================================

task_manager_full_kbd                  You cannot run any more programs.  Try shutting some down by holding [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, tabbing along to old tasks and pressing CTRL-C.
task_manager_full_xin                  You cannot run any more programs.  Try shutting some down.
task_manager_full_icons_kbd            You cannot run any more programs.  Hold [KEYICONSTASKMANAGERDISPLAY] and close some programs down to free up some space.  Just click on their close icons.
task_manager_full_icons_xin            You cannot run any more programs.
task_manager_targetfirst_kbd           You can't create any more programs until you've placed your existing one.  Click inside one of the starting areas to place it.
task_manager_targetfirst_xin           You can't create any more programs until you've placed your existing one.  Select one of the starting areas to place it.
task_manager_needsquadfirst            You need to create a squad first before you can set their weapon type.
officer_notwalkable                    I'm afraid the Darwinians aren't clever enough to find their way along that route.  They need to see where they are going.
armour_cantconvert                     The ground there is too steep...you can only set up a Battle Cannon on flat ground.

objective_capture_trunk                Enable Trunk Port
objective_research                     Collect Research Item
objective_capturetrunk_1               What I need you to do here is to open up this Trunk Port for me.
objective_capturetrunk_2               It's got a standard Control Tower nearby, so you can send in one of your Engineers to reprogram it.
objective_capturetrunk_3               Once it's reprogrammed, the location it is connected to will become available to us.
objective_research_1                   I can see some of my research up ahead.  I need you to retrieve it for me.
objective_research_2                   Create an Engineer nearby and he will download the Research into my computer system.  Hopefully it will be something that we can use against the Viral infection.

building_captured                      The Engineers have finished reprogramming a building
primaryObjectivesComplete_kbd          Good work, it looks like you've completed all the Primary Objectives.  Press [KEYMENUESCAPE] to leave this location when you're done.
primaryObjectivesComplete_xin          Good work, it looks like you've completed all the Primary Objectives.  Press Start to bring up the menu to exit this location when you're done.
primaryObjectiveComplete               Primary Objective Complete.
primaryObjectiveFail_kbd               It looks like you've failed at your mission.  Feel free to try again.  Press [KEYMENUESCAPE] now.
primaryObjectiveFail_xin               It looks like you've failed at your mission.  Feel free to try again.

privatedemo1                           > INTERNAL PRE-ALPHA BUILD FOR SOMEBODY
privatedemo2                           > STRICTLY CONFIDENTIAL
privatedemo3_kbd                       > Press [KEYCREATESCREENSHOT] for screenshot

sepulveda_pressreturn_kbd              (press [KEYSKIPMESSAGE])
sepulveda_pressreturn_skipall_kbd      (press [KEYSKIPMESSAGE] to skip cutscene)

objective_currentcount                 Current count
objective_totalinfection               Total Infection
objective_output                       output
objective_refined                      refined
objective_fuelpressure                 Fuel Pressure
objective_fuel                         Fuel
objective_passengers                   Passengers
objective_redpopulation                red population
objective_throughput                   throughput


# ================================================
# Research messages
# ================================================

researchname_darwinian                 Darwinians
researchname_squad                     Squad
researchname_engineer                  Engineer
researchname_laser                     Laser
researchname_grenade                   Grenade
researchname_rocket                    Rocket
researchname_airstrike                 AirStrike
researchname_armour                    Armour
researchname_taskmanager               TaskManager
researchname_officer                   Officer
researchname_controller                Controller
researchname_harvester                 Harvester
researchname_nuke                      Nuke
researchname_subversion                Subversion
researchname_personalshield            Shields
researchname_hotfeet                   Hot Feet
researchname_gunturret                 Gun Turret
researchname_shaman                    Shaman
researchname_infection                 Infection
researchname_magicalforest             Magical Forest
researchname_darkforest                Dark Forest
researchname_antnest                   Ant Nest
researchname_plague                    Plague
researchname_egg                       Eggs
researchname_meteorshower              Meteor Shower
researchname_fireextinguisher          Fire Extinguisher
researchname_rage                      Rage
researchname_tank                      Tank
researchname_dropship                  Space Ship

research_notyetavailable               I haven't finished researching that program yet, you'll have to wait before you can use it.
research_nomorepossible                I don't think I can make any more improvements to this Program.  I think you should pick something else for me to work on.

research_squad                         I'll work on improving the Squad program.  I should be able to increase the number of squad members in a single squad.
# research_squad_v1                  Unused
research_squad_v2                      I've upgraded the Squad program that you are using.  You can now have 4 members in a squad.
research_squad_v3                      I've made some more progress on the Squad program...you'll now get 5 members to a squad.
research_squad_v4                      I've done as much as I can on the Squad program now.  You can now have 6 members.  I don't think I can get anymore out of this codebase.

research_laser                         I will try to improve the Laser program for you.  Hopefully I can get the range up a bit.
# research_laser_v1                  Unused
research_laser_v2                      I've made some improvements to the Lasers.  They should have a longer range now.
research_laser_v3                      I've improved the range of the Laser weapon again.
research_laser_v4                      These lasers are amazing now.  They're nearly 3 times longer ranged than the originals.  I'm pretty much done with this program now.

research_grenade                       I'll work on the Grenade program.  I should be able to increase the weapon range.
research_grenade_v1_kbd                You've found my research into the Grenade weapon!  This is fantastic.  While you are firing lasers with your squad, tap the Left Mouse Button to throw a Grenade.
research_grenade_v1_xin                You've found my research into the Grenade weapon!  This is fantastic.  Your squad can now throw Grenades.
research_grenade_v1_1mb_kbd            You've found my research into the Grenade weapon!  This is fantastic.  Shift click to throw a Grenade.
research_grenade_v2                    I've increased the throw range of the Grenade program.
research_grenade_v3                    I've made another increase to the Grenade throw range.
research_grenade_v4                    That's it, I'm done with the grenades now.  The throw range has been pushed up as far as it will go.

research_rocket                        I'll get to work on the Rockets.  Hopefully I can increase their maximum range a bit.
research_rocket_v1_kbd                 Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  While you are firing lasers with your squad, tap the Left Mouse Button to launch a Rocket.
research_rocket_v1_xin                 Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  Your squad can now fire Rockets.

research_rocket_v1_icons_kbd           Excellent, you've recovered the Rocket program.  Click on the Rocket icon next to your Squad in the Task Manager to select this Weapon.  While you are firing lasers with your squad, tap the Left Mouse Button to launch a Rocket.
research_rocket_v1_icons_xin           Excellent, you've recovered the Rocket program.  Select the Rocket icon next to your Squad in the Task Manager to select this Weapon.  Your squad can now fire Rockets.
research_rocket_v1_1mb_kbd             Excellent, you've recovered the Rocket program.  You can select this Weapon with the Rocket gesture.  Shift click to launch a Rocket.
research_rocket_v2                     The Rocket range has been increased.
research_rocket_v3                     I've managed to increase the Rocket range again.
research_rocket_v4                     The rocket range is at its maximum now.

research_airstrike                     I'll try to improve the AirStrike for you.
research_airstrike_v1                  Oh my goodness, this is excellent.  You've found my AirStrike program!  Select Airstrike as your Squad weapon by drawing the gesture, then throw the marker grenade to show the program where to bomb.
research_airstrike_v1_icons_kbd        Oh my goodness, this is excellent.  You've found my AirStrike program!  Click on the Airstrike icon in the Task Manager to select this Weapon, then throw the marker grenade to show the program where to bomb.
research_airstrike_v1_icons_xin        Oh my goodness, this is excellent.  You've found my AirStrike program!  Select the Airstrike icon in the Task Manager to select this Weapon, then throw the marker grenade to show the program where to bomb.
research_airstrike_v2                  I've improved the AirStrike program.  Each marker grenade will now summon two Invaders to drop their bombs.
research_airstrike_v3                  I've added another Invader to each AirStrike unit.
research_airstrike_v4                  There will now be four Invaders for every AirStrike marker.  I've done all I can here.

research_taskmanager                   I'll work on upgrading the Task Manager for you. It should be possible to run more programs simultaneously, with some tweaking.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
research_taskmanager_v3                I've made some changes to the Task Manager.  You can now run up to four programs simultaneously.
research_taskmanager_v4                I've upgraded the Task Manager.  Now you can run five programs at once.  This is already pushing the system to its limits, so I don't think I can improve it anymore.

research_darwinian                     I'll try to improve the basic Darwinian code template.  Hopefully I should be able to give them some decent weapons to defend themselves.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  I've upgraded the Darwinians so they can use Lasers!  This should help them defend against the Viral attack.
research_darwinian_v4                  I've given the Darwinians Grenades.  It's a bit scary, but they should have a chance against stronger foes now.  I've done all I can here.

research_engineer                      I'll work on improving the Engineers.  I think I can increase the number of spirits they can carry.
# research_engineer_v1               Unused
research_engineer_v2                   I've increased the number of spirits your Engineers can carry to 15.
research_engineer_v3                   I've increased the number of spirits your Engineers can carry to 25.
research_engineer_v4                   I've increased the spirit capacity of your Engineers to 30.  I've finished work on the Engineers now.

research_armour                        I'll do some more work on the Armour program.  I think I can improve the capacity of the Armour, and maybe the range of the Battle Cannon.
# research_armour_v1                 Unused
research_armour_v2                     I've upgraded the Armour program.  You can now fit 20 Darwinians inside.  I've also increased the range of the Battle Cannon.
research_armour_v3                     The Armour program has been upgraded again.  You can now fit 30 Darwinians inside.  And I've increased the range of the Battle Cannon to more than twice its original spec.
research_armour_v4                     I've increased the capacity of the Armour program to 40 Darwinians.  And the Battle Cannon is now at its maximum range.  I've done all I can here.

research_officer                       I will get to work improving the Officer program.  I should be able to give him some useful Orders which we can use to influence the Darwinians.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.  Right click near an officer to toggle his orders.
research_officer_v3_xin                I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.
research_officer_v3_1mb_kbd            I've upgraded the Officer program so they can now issue a FOLLOW order as well as the existing GOTO order.  Click and hold near an officer to toggle his orders.
research_officer_v4_kbd                I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.  Right click near an officer to toggle his orders.
research_officer_v4_xin                I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.
research_officer_v4_1mb_kbd            I've given the Officers a new order called ABSORB.  This will absorb all nearby friendly Darwinians into a protective shield, which will keep the Officer safe in dangerous areas.  Click and hold near an officer to toggle his orders.

research_explanation_1                 I'm going to keep working on the programs you are using for a while...the Squads, Engineers etc.
research_explanation_2                 Most of them are still in very early stages of beta testing and I think I can improve all of them quite a bit with some work.
research_explanation_3_kbd             To see how I'm getting along, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager, then scroll left by pushing the mouse to the left of the screen, or by pressing [KEYCAMERALEFT].
research_explanation_3_xin             To see how I'm getting along, open the Task Manager, then scroll left.
research_explanation_3_icons_kbd       To see how I'm getting along, hold [KEYICONSTASKMANAGERDISPLAY], then scroll up by pushing the mouse to the top of the screen, or by pressing [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       To see how I'm getting along, open the Task Manager, then scroll up.
research_explanation_4                 From there you can set priorities for me...and I'll try to work on improving what you think is most important.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       Who the hell are you?  I thought I'd terminated all external connections.
tutorial_intro_2                       Ok fine, if you're going to stay you might as well make yourself useful.
tutorial_intro_3                       Welcome to Darwinia...what's left of it.
tutorial_intro_4                       Darwinia is the world's first ever Digital Theme Park - everything you see here is simulated on a computer.
tutorial_intro_5                       Unfortunately we're currently under attack by a major Viral Infection which has destroyed pretty much everything.
tutorial_intro_6                       This location is called the Pixel Mines.  Raw Polygons are mined from the Quarries in the distance and are refined into Primitives in this building.
tutorial_intro_7                       Essentially this entire location produces the raw materials we need to build things in Darwinia.
tutorial_intro_8                       Unfortunately it's all offline right now due to the viral infection.  I want you to help me fix that.
tutorial_intro_9                       We're going to need to wipe out the Viral infection, and rebuild the population of the native Darwinians.
tutorial_intro_10                      But let's start with the basics.

tutorial_1_kbd                         Firstly let's get to grips with the camera.Use the [KEYCAMERAFORWARDS],[KEYCAMERALEFT],[KEYCAMERABACKWARDS],[KEYCAMERARIGHT] keys to move the camera around.
tutorial_1_xin                         Firstly let's get to grips with the camera.
tutorial_2_kbd                         To change the camera's height, scroll your middle mouse button up and down.  Or you can press [KEYCAMERAUP] and [KEYCAMERADOWN].
tutorial_3                             Good stuff.  Now the first thing I want you to do is to destroy these evil Red Virii.
tutorial_3b                            We will then harvest the Souls from their dead bodies and convert them into some perky new Darwinians.
tutorial_4                             In order to destroy those Virii, we will need to create an armed offensive unit called a SQUAD.
